title,authors,tags,series,series_index,comments,languages,library_name,#world,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"The War Orphan","Anna Stuart","Genero · Romance historico, Subgenero · Belica/Guerra","Women of War","3.0","**1945,** **I stumble out of the gates, tightly grasping the hands of two smaller children. Hunger swirls in my stomach and the barren landscape swims before my eyes. I can barely believe it. We’re free. We survived. But what happens now…** **Sixteen-year-old Tasha Ancel** turns to take one last look at the imposing place that stole her freedom and her childhood. She has no idea how she continued to live when so many others did not. For the first time in months, her heart beats with hope for her future and that of the smaller children who cling to her now.  Tasha was torn from her mother’s arms by an SS guard days before the gates of Auschwitz opened. Now she only has a lock of her mother’s fiery hair. Desperate to be reunited, Tasha asks everyone she meets if they’ve seen a woman with flame-red hair. But with so many people trying to locate their loved ones in the chaotic aftermath of war finding her feels like an impossible task.  Officially an orphan, Tasha is given the chance to start a new life in the Lake District in England. She knows her mother would want her to take the opportunity but she can’t bear the thought of leaving Poland without her.  Tasha must make a heartbreaking decision; will she stay in war-ravaged Europe and cling on to the hope that the person she loves most in the world is alive, or take a long journey across the sea towards an uncertain future?  **An absolutely unputdownable and heart-wrenching WW2 story of survival against all odds and learning to live and love again. Fans of The Tattooist of Auschwitz, Orphan Train and The Nightingale will be gripped.**","eng","LFiccion","","","Tono · Trauma/Salud mental","","Ficción general","90","Ficción histórica sobre supervivencia y búsqueda familiar, sin romance central.","",""
"The Resistance Sisters","Anna Stuart","Genero · Romance historico, Subgenero · Belica/Guerra","Women of War","4.0","**1944, Poland. ‘Take this message, keep it hidden.’ Shaking, I tuck the torn slip of paper in between the loaves of bread. I pray I can make it through the bombed-out streets and into the tunnels beneath this broken city without being caught. If this secret falls into the wrong hands, my sisters’ lives are at stake…** **This heart-wrenching and unforgettable World War Two novel is inspired by the incredible true stories of the brave women who fought in the Warsaw Uprising.** **Hana** ’s home has gone up in flames; the little bakery at the heart of the city is no more. Smoke curls into the sky and the buildings around her burn. But Hana has already lost far more – her blue-eyed fiancé was wrenched from her arms at the start of the war and her brave father was murdered by the Nazis. She’s determined to protect her younger sisters but every day more people are being killed…  Hana realises that one person alone won’t win the war and she has to accept her sisters are playing their own part in the resistance. Fiery **Zuzi** is working as part of a secret all-female combat unit while gentle **Orla** is a nurse in the underground hospital. As the women of Warsaw plan to rise up against the enemy, Hana risks her life to navigate the dangerous streets. The torn piece of paper she clutches in her hand has the potential to save her precious family.  It’s time to fight back. But when the moment they’ve been waiting for comes, will Hana and her sisters finally win back their freedom? **Or will they lose their own lives as they fight for their futures…?** **An emotional and gripping WW2 story of incredible courage against all odds and of the power of love and hope in the darkest of times.**","eng","LFiccion","","","Subgenero · Belica/Guerra, Tono · Trauma/Salud mental","","Ficción general","80","Ficción histórica sobre la resistencia polaca en Varsovia; sin romance central.","",""
"The Berlin Zookeeper","Anna Stuart","Genero · Romance historico, Subgenero · Belica/Guerra","","1.0","Two women. One shocking wartime secret. And a family mystery just waiting to be discovered...   
Berlin Zoo, 1943: Ten-year-old Adelaide and her newborn sister are orphaned after a devastating night of bombing. Heartbroken and frightened, Adelaide runs to her mother’s closest friend, Katharina Heinroth, and the kind zookeeper takes the two little girls under her protection. As the bombing intensifies, Adelaide tries to shut out the horrors of war by caring for her tiny sister and playing with the adorable baby monkeys. But when Katharina organises a dangerous operation to enable children and animals to escape the battle-scarred city, something goes wrong. And Adelaide has to promise her adopted mother to keep a shocking secret. A secret that will change Adelaide’s life forever.   
Berlin Zoo, 2019: Bethan Taylor notices the elderly lady sitting on the bench next to her seems confused, her thoughts flitting between past and present. Ada talks of her childhood, played out in an underground bunker beneath the animal enclosures during the war. As Ada’s story unfolds, Bethan is surprised to hear a name she recognises…   
Katharina Heinroth is at the top of a list of German names Bethan found in a hidden compartment of her late mother’s jewellery box. Bethan’s father couldn’t tell her anything about the crumpled piece of paper and she’s been searching for the meaning ever since.   
As the two women are brought together by the pain of the past can they help each other to heal? And after decades of silence, can Ada help Bethan to uncover a long-buried family mystery?   
An unforgettable and heart-wrenching novel of a brave orphan girl and a shocking wartime secret. Inspired by a true WW2 story and perfect for fans of Orphan Train, The Tattooist of Auschwitz and The Alice Network.   
Previously titled The Zookeeper's Daughter.
","eng","LFiccion","","","Subgenero · Belica/Guerra, Tono · Trauma/Salud mental","","Ficción general","80","Ficción histórica sobre la Segunda Guerra Mundial con enfoque en un secreto familiar.","",""
"Sinántropos","Carlos Bassas","Genero · Ficcion realista","","1.0","Sinantropía. «Del griego syn (junto a) + antrhopos (ser humano). En biología, capacidad de algunas especies vegetales y animales de adaptarse a ecosistemas urbanos para sobrevivir». Los sinántropos sobreviven como pueden. O lo intentan. Como Corto, que, a lo largo de diez años, ha intentado desprenderse de su verdadera piel para hacerse pasar por alguien que no es. Porque Corto sabe, por más que se empeñe en olvidarlo, que algunos barrios son un agujero negro del que es imposible escapar. Ni siquiera la luz, tan ligera, tan liviana, puede huir de ellos. Sinántropos es la historia de un fracaso. De un regreso. De una venganza. Pero es, sobre todo, la historia de una amistad rota tejida entre calles sucias e ilusiones imposibles. Y es, por encima de todo, la voz de Corto, un protagonista empeñado en volar por encima de sus posibilidades. Con una prosa directa, contundente y poética, con un argumento donde todo encaja con la precisión de un reloj que no conoce la piedad, con una calidad literaria apabullante entretejida de voces y saltos en el tiempo, Sinántropos es una novela brillante en la que Carlos Bassas del Rey se consagra como una de las voces más personales e incontestables de la novela negra española.","spa","LFiccion","","","","","Ficción general","80","Novela literaria sobre fracaso y venganza sin elementos de género claros.","",""
"The Life, Adventures, & Piracies of the Famous Captain Singleton. Edited by George A. Aitken","Daniel Defoe","Genero · Ficcion literaria, Genero · No ficcion/Historia, Genero · Romance historico, Subgenero · Aventura/Quest","","1.0","This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.","eng","LFiccion","","","Ambientacion · Piratas","","Ficción general","95","Novela de piratas y aventuras marítimas.","",""
"The Life and Surprising Adventures of Robinson Crusoe","Daniel Defoe","Genero · Romance historico, Publico · Adultos (+18), Subgenero · Aventura/Quest, Subgenero · Young adult/Juvenil","Robinson Crusoe","1.0","This is a reproduction of a classic text optimised for kindle devices. We have endeavoured to create this version as close to the original artefact as possible. Although occasionally there may be certain imperfections with these old texts, we believe they deserve to be made available for future generations to enjoy.
","eng","LFiccion","","","Subgenero · Supervivencia","","Ficción general","95","Clásico de aventuras.","Robinson Crusoe","1.0"
"The Further Adventures of Robinson Crusoe","Daniel Defoe","Subgenero · Aventura/Quest","","1.0","","eng","LFiccion","","","Subgenero · Supervivencia","","Ficción general","95","Clásico de aventuras y supervivencia.","Robinson Crusoe","1.0"
"Vathek","William Beckford","Genero · Terror","La Biblioteca de Babel","10.0","La tierra se abre; con terror y con esperanza, Vathek baja hasta el fondo del mundo. Una silenciosa y pálida muchedumbre de personas que no se miran erra por las soberbias galerías del palacio infinito. El Alcázar del Fuego Subterráneo abunda en esplendores y talismanes, pero también es el Infierno. Saintsbury y Andrew Lang declaran o sugieren que la invención del Alcázar del Fuego Subterráneo es la mayor gloria de Beckford. Yo afirmo que se trata del primer Infierno realmente atroz de la literatura.","spa","LFiccion","","","Tono · Gotico, Tono · Oscuro","","Fantasía","95","Clásico de fantasía gótica y horror sobrenatural.","",""
"Vathek (cuento Árabe)","William Beckford","","","1.0","Fantasía oriental de finales del siglo XVIII. Escrito por el coleccionista de manuscritos antiguos y bibliófilo inglés William Beckford, inicia de cierta forma el género de la literatura fantástica moderna.Vasto conocedor de mitos y leyendas orientales que apoyan su relato, nos adentra en un laberinto que conduce a la catástrofe.Elogiada por H. P. Lovecraft en su ensayo &quot;El horror en la literatura&quot; esta novela narra la historia del califa Vathek, un personaje desmesurado a quien su sed de conocimiento acaba precipitando en el Palacio del Fuego Subterráneo, el Infierno, donde encuentra a otros príncipes condenados que le relatan, a su vez, sus desventuras.En opinión de Jorge L. Borges, en ciertas páginas de Vathek se encuentra, como en ningún otro libro anterior, el horror sobrenatural en estado puro, un mundo que a diferencia del Infierno de Dante, resulta atroz e inquietante en sí mismo: El Vathek —señala— contiene el primer infierno verdaderamente atroz de la literatura.Borges reseña que el infierno dantesco magnifica la noción de una cárcel; mientras que el infierno de Beckford, los túneles de una pesadilla.La historia del califa Vathek comienza en lo más alto de una torre, desde donde se lee el firmamento, para terminar en un subterráneo encantado; cuadros graves o gozosos, y prodigios cubren el lapso de tiempo entre ambos extremos. ¡Magistral arquitectura de la fábula y de su no menos hermoso concepto! Algo fatal, algo que parece inherente a una ley apresura la caída, del poder a los infiernos, de un príncipe acompañado de su reino; solo, al borde del precipicio, quiso renegar de la religión oficial, en la que la omnipotencia se fatiga de ir unida a la universal genuflexión, por prácticas mágicas aliadas a un insaciable deseo.","spa","LFiccion","","","Tono · Gotico, Tono · Oscuro","","Fantasía","95","Mismo libro, considerada inicio de fantasía moderna.","",""
"Pain and Agony Complete Series Boxed Set","Michael Anderle","Dinamica · Enemigos a amantes, Subgenero · Belica/Guerra, Tono · Venganza","","1.0","**Those who killed their partners will wish they had never been born.**  
**Pain is a burned ex-mercenary. Agony is a burned ex-cop.**  
Together, they might just find out.   
*The only problem? They can’t stand each other.*  
**Get the complete series boxed set and enjoy** **the exploits of two people…who might become friends.**  
**\\---**  
**Trust, it seems, doesn’t come easily between a black-ops mercenary and an ex-police detective.**  
What could make it worse for her?   
*He doesn’t like using guns.*  
**Will Pain and Agony be able to dodge the criminals trying to take them out and avoid killing each other in the process?**  
Will the criminals be able to handle the two of them together?   
Included in this boxed   
*Justice Before Law* *Cry Havoc* *Guns and Attitude* *The Fires of Hell* *Night Moves* *One Mistake Too Many* *Drumbeats of Justice* *Dogs of War* *Maximum Pain* Click BUY NOW or READ FOR FREE to join Pain and Agony on their journey
","eng","LFiccion","","","Dinamica · Grumpy/Sunshine, Dinamica · Proximidad forzada, Arquetipo · Bad boy","","Misterio·Thriller·Terror","90","Thriller policial con dúo dinámico.","Pain and Agony","1.0"
"Scars","Cheryl Rainfield","Representacion · LGBTQ+, Tono · Angst/Drama emocional, Tono · Familia disfuncional, Tono · Maldicion/Transformacion, Tono · Narrador poco fiable","","1.0","Kendra, fifteen, hasn't felt safe since she began to recall devastating memories of childhood sexual abuse, especially because she still can't remember the most important detail-- her abuser's identity. Frightened, Kendra believes someone is always watching and following her, leaving menacing messages only she understands. If she lets her guard down even for a minute, it could cost Kendra her life. To relieve the pressure, Kendra cuts; aside from her brilliantly expressive artwork, it's her only way of coping. Since her own mother is too self-absorbed to hear her cries for help, Kendra finds support in others instead: from her therapist and her art teacher, from Sandy, the close family friend who encourages her artwork, and from Meghan, the classmate who's becoming a friend and maybe more. But the truth about Kendra's abuse is just waiting to explode, with startling unforeseen consequences. *Scars* is the unforgettable story of one girl's frightening path to the truth.
","eng","LFiccion","","","Tono · Trauma/Salud mental, Representacion · LGBTQ+ (FF), Subgenero · Young adult/Juvenil","","Misterio·Thriller·Terror","80","Thriller psicológico adolescente sobre abuso y cutting; el romance lésbico es secundario frente al misterio.","",""
"Finales Violentos","Chloe Gong","Dinamica · Enemigos a amantes, Dinamica · Prohibido, Genero · Ficcion historica, Temas.Trángulo Amoroso, Tono · Protagonista incriminado","These Violent Delights","2.0","«Estos placeres violentos conducen a finales violentos, siempre lo has sabido».Corre el año 1927 y Shanghái se tambalea al borde de la revolución.Después de sacrificar su relación con Roma para protegerlo de la guerra entre clanes, Juliette se centra en llevar a cabo su objetivo. Un movimiento en falso y su primo usurpará su puesto como heredera de la Pandilla Escarlata. La única forma de salvar al chico que ama de la ira de los Escarlatas es provocar que él desee su muerte por asesinar a sangre fría a su mejor amigo.Roma todavía se está recuperando de la muerte de Marshall, y su primo Benedikt apenas le dirige la palabra. Sabe que es culpable de haber permitido volver a entrar en su vida a la despiadada Juliette y está decidido a arreglar las cosas: a pesar de que eso signifique acabar con la chica que odia y ama en igual medida.Pero Shanghái está al borde del colapso ante una inminente guerra civil, el exterminio de la supremacía de las familias de gánsteres y una nueva...
","spa","LFiccion","","","Dinamica · Enemigos a amantes, Tono · Oscuro, Tono · Angst/Drama emocional","","Paranormal","90","Romance central en Shanghái histórico con monstruo sobrenatural.","These Violent Delights","1.0"
"Placeres Violentos","Chloe Gong","Dinamica · Enemigos a amantes, Dinamica · Prohibido, Genero · Ficcion historica, Temas.Trángulo Amoroso, Tono · Protagonista incriminado","These Violent Delights","1.0","Corre el año 1926 y Shanghái vibra al ritmo del libertinaje.   
Una antigua guerra de sangre entre dos bandas baña las calles de rojo, dejando a la ciudad indefensa ante las garras del caos. En el centro de esta disputa se halla Juliette Cai, la orgullosa heredera de la Pandilla Escarlata, una red de gánsteres que opera por encima de la ley. Sus únicos rivales son los criminales rusos que integran la Banda de las Flores Blancas; detrás de cada movimiento está su heredero: Roma Montagov, el primer amor de Juliette... y su primera traición.   
Pero cuando la población parece ser poseída por una locura que la hace desgarrar su propia garganta hasta morir, comienza a correr el rumor acerca de un contagio provocado por un monstruo oculto en las sombras. A medida que las muertes se acrecientan, Juliette y Roma deberán dejar sus rencores de lado y trabajar unidos antes de que la ciudad que ansían dominar desaparezca por completo.
","spa","LFiccion","","","Dinamica · Enemigos a amantes, Tono · Oscuro, Tono · Angst/Drama emocional","","Paranormal","95","Primer libro de la serie, gánsteres y plaga sobrenatural.","These Violent Delights","1.0"
