title,authors,tags,series,series_index,comments,languages,library_name,#language_code,#world,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Dark Obsession","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Argyle Investigations","1.0","DCI Sean Argyle has the unenviable task of catching a serial killer, and all the evidence points to a suspect thousands of miles away.   
Common sense would indicate that there is another suspect, or that the killer has an accomplice, but Argyle is more worried by an even more bone-chilling possibility.   
What if the real killer is indeed thousands of miles away? And worse, how do you stop him?
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Caza de un asesino en serie con pistas que apuntan a un sospechoso lejano; thriller policiaco.","DCI Sean Argyle","1.0"
"Blood on the Harbour","Duncan Wallace","Subgenero · Policiaco/Detective","MIS Alasdair","1.0","A strange murder. An abducted family. A case with no leads. Murder Investigation Specialist Alasdair Abernathy has to cut through the fog, figuratively and literally, to save a family before they are murdered to settle an unknown vendetta. Or he might become the next victim.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Asesinato extraño y familia secuestrada; thriller policiaco con niebla.","Alasdair Abernathy","1.0"
"A Family Affair","Duncan Wallace","Subgenero · Policiaco/Detective","Inspector Finlay Files","1.0","Blood runs thicker than water, but it still runs. When Inspector Glenn Finlay responds to the scene of the murder of a wealthy patriarch, he quickly realizes that what looked like a palatial estate was in fact a den of vipers. Everyone is a suspect, everyone has a motive, and only Scotland’s best detective can crack the case before the killer covers their tracks… or strikes again.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Inspector investiga asesinato de un patriarca; thriller policiaco en Escocia.","Inspector Glenn Finlay","1.0"
"Death Behind Silent Walls","Blythe Baker","Genero · Misterio/Thriller","Victoria Sedgewick Mystery","1.0","After her husband dies under suspicious circumstances, Victoria Sedgewick is drawn down a dark and spiraling path of family secrets. There, she uncovers a deception so deep it threatens to destroy everything she holds dear.  Will the private inquiry agent investigating her husband’s murder complicate matters? Or might Mr. Branwell Keats prove to be an ally, as a growing shadow of danger looms over Victoria’s household?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Continuación del misterio victoriano de Victoria Sedgewick.","Victoria Sedgewick Series","1.0"
"A Drink of Death","Blythe Baker","Tono · Cozy/Ligero","Japanese Tea Garden Mysteries","2.0","**When tea and death mix ...** Maddie Morgan hasn't had long to recover from a recent murder investigation and to settle back into running her new tea garden, when disaster strikes again. Like most catastrophes, this one involves Mamma Jackie and her crazed old parrot. With the clock ticking down and time running out, can Maddie save Mamma Jackie from the clutches of a fiendish villain? Or will the mysteries of her ex-mother-in-law's disappearance and Maddie's strange discovery of a lucky cat statue be doomed to remain unsolved forever?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Otro cozy mystery de Maddie Morgan con el jardín de té.","Maddie Morgan Series","1.0"
"A Simple Country Murder","Blythe Baker","Genero · Misterio/Thriller","Helen Lightholder Murder Mystery","1.0","**Murder. Spies. Treason. Shadowy secrets lurk beneath the surface of an idyllic country village...** When Helen Lightholder’s world is shattered by the death of her husband during the London Blitz, she escapes to the countryside, hoping to leave the war behind her. But managing an inherited property in a quaint Gloucestershire village turns out to be more perilous than she expects. Cozy little Brookminster isn’t the peaceful haven Helen dreamed of, and it isn’t long before she discovers that, even here, dark threats and dangerous secrets await. As family duty compels her to meddle in a police investigation into the suspicious death of a relative, she finds herself at odds with the local inspector. Can Helen bring justice to her little corner of the country, while war rages on in the greater world outside? Or will her investigation make her the next target of a fiendish killer who has everything to lose?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Mismo estilo y protagonista, misterio rural.","Helen Lightholder Series","1.0"
"A Simple Country Funeral","Blythe Baker","Genero · Misterio/Thriller","Helen Lightholder Murder Mystery","2.0","**Death returns to the country ...** A quiet country life continues to elude Helen Lightholder, as she wrestles with her recent bereavement. When the grisly murder of a nameless vagabond shocks the local community, Helen sets out to unearth the truth behind the inexplicable killing. But Bookminster hides secrets almost as old as it’s 14th century market place, and the village’s inhabitants will do anything to thwart a prying outsider. Helen’s snooping at a convalescent home for wounded soldiers leads to an apparent dead end, even as other obstacles loom in her path. With Inspector Graves blocking her investigation at every turn and a mysterious, shadowy figure continuing to dog her steps, can Helen unmask the most dangerous killer she has ever faced?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio cozy ambientado en un pueblo durante la Segunda Guerra Mundial.","Helen Lightholder Series","1.0"
"A Taste of Trickery","Blythe Baker","Tono · Cozy/Ligero","Japanese Tea Garden Mysteries","3.0","**When tea tastes like danger ...** Maddie’s difficult ex-mother-in-law and her crazed old parrot are at it again, stirring up new drama in the Morgan household. Maddie has no sooner resolved the last crises involving her family, than a new problem arrives in the form of a dangerous business rival determined to shut down her tea garden. To make matters worse, a severed hand has just been found in the tea garden and no one seems to know where it’s come from! Can Maddie discover the truth and unravel an old crime before the perpetrator gets close enough to end her investigation permanently? Or has Maddie Morgan donned her detective hat and her gardening gloves for the last time?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Continúa la serie cozy mystery de Maddie.","Maddie Morgan Series","1.0"
"A Sip of Murder","Blythe Baker","Tono · Cozy/Ligero","Japanese Tea Garden Mysteries","1.0","**When tea and murder make a bitter brew ...** Maddie Morgan’s life is going up in flames. She’s got ex-husband troubles, a mother-in-law feud, and a cantankerous parrot to contend with. But just as old doors close, a new one opens, beginning with the sudden death of Maddie’s grandmother and an unexpected inheritance. Moving to a new town, Maddie rolls up her sleeves and prepares to revive a run-down tourist attraction that could one day be returned to its former glory as a Japanese tea garden. But getting the tea garden up and running won’t be easy, not with someone trying to sabotage her efforts. Worse still, there’s a murderer on the loose and corpses are popping up like daisies in the tea garden! Can Maddie capture the killer before they strike again? Or will her life, along with her freshly brewed new business opportunity, get sucked down the drain?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Cozy mystery con jardín de té, sin elementos sobrenaturales.","Maddie Morgan Series","1.0"
"A Simple Country Mystery","Blythe Baker","Genero · Misterio/Thriller","Helen Lightholder Murder Mystery","3.0","**Death comes unexpectedly ...** With the suspicious death of a young woman in the village, Helen Lightholder finds herself once again delving into the menacing shadows that lurk beneath the pleasant surface of sunny Bookminster. Her search for suspects and motives leads her to a prisoner of war camp on the outskirts of the village, but could the real danger lie even closer to home?  Meanwhile, two very different men vie for Helen’s heart, but neither can take the place of the husband she lost. As a series of break-ins leave her feeling unsafe in her home and shop, Helen has to decide whether or not to continue in the “quiet” life she has found in the country.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Continúa las investigaciones de Helen Lightholder.","Helen Lightholder Series","1.0"
"Killing the Pretty Ones","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Ben Nevis","4.0","After a series of attractive young women are brutally murdered, DCI Mike O’Connor sets his sights on tracking down the perpetrator. Once he determines the link between the victims is the shady world of online escort services, he will have his hands full convincing an American corporation to release the confidential client information he needs to crack the case before the modern day Ripper can strike again.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Jóvenes asesinadas vinculadas a servicios de acompañantes; caza de un asesino en serie.","DCI Mike O'Connor","1.0"
"Murder and Privlege","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Argyle Investigations","3.0","In the picturesque town of St Andrews, the heir to the famous Lacteus family fortune has been found dead in the estate swimming pool. The local police quickly determine that it wasn’t an accident, and DCI Argyle and Inspector McFayden are called in to investigate. Scotland’s best detectives will have to unravel a tangled family history and the damaged relationships between the surviving members of the Lacteus clan if they hope to catch a killer intent on destroying the family’s empire.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Muerte del heredero de una fortuna; investigación de una familia adinerada.","DCI Sean Argyle","1.0"
"Killing Lady Macbeth","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Argyle Investigations","4.0","When the actress playing Lady MacBeth is savagely murdered just offstage during the play, all the eyes of Inverness are turned toward DCI Argyle as he attempts to bring the killer to justice.    The murder is just the tip of the iceberg as Sean and Edel uncover the depths of a conspiracy by one of the oldest secret societies in Scotland.    If they pry too far into long-hidden mysteries, the inspectors may find themselves the next victims.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Actriz asesinada durante una obra; investigación que involucra una sociedad secreta.","DCI Sean Argyle","1.0"
"Burn the Witch","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Ben Nevis","3.0","Some superstition is harmless, some superstition is just good fun, but some superstitions are deadly serious.    When two occult related murders rock the highlands, DCI Mike O’Connor will find that the clues to each lead in the same direction: a circle of evil that will stop at nothing to protect itself.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Novela policiaca centrada en un asesinato relacionado con el ocultismo, sin elementos sobrenaturales reales ni romance central.","DCI Mike O'Connor","1.0"
"Running Bones","Duncan Wallace","Subgenero · Policiaco/Detective","MIS Alasdair","2.0","Detective Alasdair Abernathy is called in to assist with a missing person case where nothing is what it seems. A well-loved community member disappeared during his daily run, and no shortage suspects are competing with each other to… confess to his murder? It won’t be easy to cut through the web of lies, betrayal, and deceit in order to crack this case, but if he doesn’t, a killer will remain at large among us.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Persona desaparecida durante su carrera; múltiples confesiones falsas.","Inspector Alasdair Abernathy","1.0"
"Hunting a Monster","Duncan Wallace","Subgenero · Policiaco/Detective","Logan Thorne DCI","4.0","When Edinburgh is rocked by a murder so violent and gruesome that it appears to be the work of gang of perpetrators, DCI Logan Thorne is called in to begin the hunt.  But what if the killer is operating alone? Does one man have the titanic strength needed to kill two others at the same with only his bare hands?  What if Logan isn’t trying to catch a man at all?  What if a monster roams the streets of Edinburgh at night?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Asesinato brutal en Edimburgo; posible asesino en serie con fuerza sobrehumana, pero sin sobrenatural.","DCI Logan Thorne","1.0"
"Dirge for the Girl","Duncan Wallace","Subgenero · Policiaco/Detective","Logan Thorne DCI","2.0","A young woman is missing on the Isle of Skye. The locals believe she has run away, but Logan’s not so sure. When a body is found, the finger pointing begins. Was it the jealous ex-boyfriend, the angry step-father, or somebody no one’s even considered yet?  Things are made more difficult by a local constabulary that’s leery of outsiders and a nosy writer hoping for an inside scoop for his next novel. It’s up to DCI Thorne and DI Harding to unearth the dark secrets of a small town and unravel the mystery of a teen-ager’s death before the killer selects his next victim.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Desaparición y asesinato en la Isla de Skye; misterio rural con múltiples sospechosos.","DCI Logan Thorne","1.0"
"Spying on the Killer","Duncan Wallace","Subgenero · Policiaco/Detective","Ian Forsyth MI5 Detective","1.0","Retired MI5 agent Ian Forsyth wanted nothing more than to peacefully enjoy his newfound freedom, but his relaxation is interrupted by the suicide of a friend’s child.    Suspicious at the circumstances and rebuffed by the police, Ian is forced to take the investigation into his own hand.    But as he pulls on the thread, he will find something deeper and darker than he could have ever foreseen, and it will take all his skills as a former clandestine spy to expose the truth and obtain justice.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Retired MI5 agent investigates suspicious suicide; no romance, no fantasy/sci-fi. Clear mystery/thriller.","",""
"Scorched Bones","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Murray & Burns","2.0","A homicidal arson. A mysterious body. An affair of the heart.    DCI Murray and Sergeant Burns have to solve a horrific crime where the obvious motives don’t match the few clues available.    If they do not, a murderer with no qualms about burning an innocent family to death will strike again.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Incendio provocado con víctimas; investigación de un pirómano asesino.","DCI Murray","1.0"
"Murder on the North Sea","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Ben Nevis","2.0","DCI O’Connor is enjoying a rare day off when his partner calls with a request. A dead body has been found in the kitchen of the cruise ship she’s on, but with half of Edinburgh trying to escape the summer’s heat, it will be hours before the officer on duty arrives. And time is ticking away, as the police can only keep the ship in the harbor for twenty-four hours while they hunt for the killer. But who among this boatload of strangers would want to kill the beautiful Italian with the unquenchable need for sex?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Asesinato en un crucero; la víctima tenía una vida sexual activa, pero el foco es el misterio.","DCI Mike O'Connor","1.0"
"Channeling the Dead","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Argyle Investigations","5.0","An occult seance.    A gruesome death.    Disappeared children.  DCI Argyle is called to the picturesque holiday town of St. Monans to investigate a strange death, but when there are no obvious signs of foul play, his superiors want to close the case. But Argyle will have to fight to keep the case open, since the small town is about to be torn apart by a modern day witch-hunt. If he doesn’t put the pieces together in time, there will be a bloodbath in the seaside village.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Investigación de una muerte en una sesión de espiritismo, pero sin magia real; misterio policiaco.","DCI Sean Argyle","1.0"
"Wicked Past","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Murray & Burns","1.0","A woman has gone missing, and after a week with no progress, DCI Fletcher and Sgt. Burns have been asked to lend a hand. No one is surprised when the woman’s body is found, but then a second woman disappears, quickly followed by a third. The disappearances are eerily similar to an unsolved case from five years ago, but the main suspect is long dead.  Murray and Burns find themselves on the trail of a ghost as they hunt a murderer with an unquenchable need to kill.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","DCI Fletcher and Sgt. Burns investigate missing women linked to unsolved case; police procedural.","",""
"Wicked Hunter","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Kirk Ross","3.0","A killer with a penchant for removing organs has Glasgow wracked with terror, and DCI Kirk Ross is tasked with capturing him.  Kirk is prepared to risk everything to capture such a hideous evil, but it may not be in time before he gets his last victim and he enacts his devious master plan.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Same detective hunting an organ-removing serial killer; consistent with series.","DCI Kirk Ross series","1.0"
"Buried Sins","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Argyle Investigations","2.0","DCI Sean Argyle is called into a small mining town to investigate suspicious murders at a care home, but the dark secrets he uncovers threaten to tear apart the village.  To catch a killer, Sean will have to dig up the hideous past; a past that even the innocents in the town would prefer to keep buried.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Asesinatos en residencia de ancianos en pueblo minero; thriller con secretos oscuros.","DCI Sean Argyle","1.0"
"Memories of Death","Duncan Wallace","Subgenero · Policiaco/Detective","Logan Thorne DCI","5.0","A life or death situation, with only faulty memories as clues.   A bloodied and tortured young woman has escaped her captor and made it to safety, and DCI Logan Thorne is tasked with bringing in the culprit.   Unfortunately, the victim has no memory of who she is, or how she got captured. But she does remember one detail: there is another woman being held captive, and Logan will have to act quickly to save her.   Can he?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Mujer torturada sin memoria; carrera contra el tiempo para rescatar a otra cautiva.","DCI Logan Thorne","1.0"
"On the Run","B. P. Stevens","Genero · Misterio/Thriller, Subgenero · Policiaco/Detective","Silencer","4.0","**With the clock running out, can Emma Pepper prove she’s being framed, or will she go down for a crime she didn’t commit?** As her entire life in the NYPD comes to a screeching halt, Emma finds herself in the center of this small town thriller. After someone breaks into her home, leaving a single rose in their wake, Emma finds herself utterly alone with only twenty four hours to discover evidence to prove her innocence.  As Emma scrambles to figure out the truth, she begins to uncover a deeper cover up than ever before. How far does this go? Who else is involved? And even worse, to what lengths would the people involved go to ensure that their secrets stay buried? In this police procedural thriller, Emma races against the clock and finds herself drawing ever nearer to finding out who the Silencer is…  Before they silence her.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Emma Pepper acusada, 24 horas para probar inocencia; thriller policiaco con el Silencer.","Silencer","1.0"
"Sinister Secrets","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Kirk Ross","1.0","When a drag queen is murdered in a seedy Glasgow nightclub, all signs point to a drug deal gone wrong.    But DCI Kirk Ross suspects something far more sinister.    Does a serial killer stalk in the shadows?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Asesinato de una drag queen en un club; posible asesino en serie acechando.","DCI Kirk Ross","1.0"
"The Arran Killing","Duncan Wallace","Subgenero · Policiaco/Detective","Inspector Finlay Files","3.0","The Island of Arran is a remote, rugged, and beautiful place, but the windswept grandeur is marred by the murder of a member of a tourist group.    When he discovers that the uncooperative local police would prefer to sweep it under the rug, Inspector Glenn Finlay will find out just how remote-- and dangerous-- Arran can be as he tries to bring a killer to justice.    Lies. Infidelity. Secret pasts.    Murder.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Inspector investigates murder on island; straightforward police mystery.","",""
"Legacy of the Butcher","Duncan Wallace","Subgenero · Policiaco/Detective","Logan Thorne DCI","3.0","DCI Logan Thorne is forced to reopen a cold case that has tormented Police Scotland for thirteen years when a young woman is found murdered in a similar pattern.    Logan has to do the impossible, do what his predecessor couldn’t: catch the Butcher of Holyrood.    Old wounds. Fresh blood. Terror.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Caso frío reabierto; asesino en serie apodado 'El Carnicero de Holyrood'.","DCI Logan Thorne","1.0"
"Hunting the Reaper","Duncan Wallace","Subgenero · Policiaco/Detective","MIS Alasdair","3.0","For a tiny rural farming village, a single murder would leave scars for decades. But when several women are killed in a short amount of time, the local police are in over their head, and a killer is roaming free.  Inspector Alasdair Abernathy and his cunning protégé Elspeth are called in to catch the Reaper before he strikes again, but if they don’t act quickly, they may find themselves in the killer’s sight.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Múltiples mujeres asesinadas en un pueblo rural; el inspector Abernathy persigue al 'Segador'.","Inspector Alasdair Abernathy","1.0"
"Hounds & Hares","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Kirk Ross","2.0","A playing card with Odin’s Cross is left at the scene of the murder of a young boy.The only clue to a horrid crime.Can DCI Ross and Deputy Rose use this scant lead to find the killer before he strikes again? What if they are the next victims?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Un niño asesinado y una carta con un símbolo; investigación policiaca.","DCI Kirk Ross","1.0"
"Point of No Return","B. P. Stevens","Genero · Misterio/Thriller","Violet Carter","1.0","When Mason Carter decided to seek justice for his sister, he had no idea what was in store for him.   For as long as everyone could remember, Mason has been the most reckless sibling of the Carter family. But this time, his irresponsibility finally landed him at the point of no return. After a long, intoxicated night out, his little sister is left to escort him home--only both of them never made it. Weeks later when the charred body of a female is discovered, the Carter family is left to implode from guilt and tension. Faced with a fruitless police investigation, Mason decides to take matters into his own hands. He soon finds himself thrust waist-deep into long-kept secrets that alter his outlook on the world he thought he knew. With shady characters around every corner, Mason gambles his trust and his life in order to find answers to the ever-increasing questions surrounding his sister's case. When the truth finally begins unravelling, it coils around him like a snake and threatens everything he knows. Small-town thrillers take on a new form when the lines between right and wrong don't exist.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Mason Carter investiga asesinato de su hermana; thriller en pueblo pequeño.","",""
"Death Among Fitful Shadows","Blythe Baker","Genero · Misterio/Thriller","Victoria Sedgewick Mystery","3.0","Victoria Sedgewick’s acceptance of a private case for a wealthy lady leads her into deeper danger than she ever imagined. But it isn’t only her own life at peril...  When her infant son is drawn into the dangerous game, Victoria enlists the help of Branwell Keats. Together, the pair must risk everything to win at all costs.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Misterio histórico victoriano con investigación privada.","Victoria Sedgewick Series","1.0"
"Death Under Wrathful Skies","Blythe Baker","Genero · Misterio/Thriller","Victoria Sedgewick Mystery","2.0","A vicious killer haunts the streets of London and has selected a member of Victoria Sedgewick’s household as his next victim. Still reeling from recent revelations surrounding her late husband’s murder, can Victoria identify this new killer before he claims another life?  The inquiry agent hired by her in-laws still delves into the Sedgewick family secrets, but when violence strikes close to home, Victoria must take matters into her own hands.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Asesino en Londres, misterio victoriano.","Victoria Sedgewick Series","1.0"
"Death Beneath a Troubled Roof","Blythe Baker","Genero · Misterio/Thriller","Victoria Sedgewick Mystery","4.0","When the sudden illness of her father-in-law pulls Victoria Sedgewick away from London, she finds herself at the gloomy Yorkshire estate of her late husband’s family. There she discovers that her relations are in danger from a bitter darkness that threatens to engulf them all.  With the help of Branwell Keats, Victoria investigates a plot as dramatic and haunting as the isolated landscape...","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Investigación en una finca victoriana.","Victoria Sedgewick Series","1.0"
"Close to Memories","B. P. Stevens","Genero · Misterio/Thriller, Representacion · Protagonista femenina fuerte, Subgenero · Policiaco/Detective","Shadow-Man","3.0","After being suspended from the case she was leading, Harper starts independently searching for evidence, wading through secrets and lies to solve this mystery. With the unsolved disappearance of Beth and Gina, she risks being put off the case entirely if caught.  When a suspect abruptly confesses to killing his own daughter, with no reason why, Harper gets suspicious. She now has to act fast before the actual perpetrator behind the disappearances strikes again.  B.P Stevens kidnapping thrillers are perfect if you are trying to find police books with conclusions you didn't see coming!","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Continuación del caso Shadow Man; Harper suspendida, investiga por su cuenta.","Shadow-Man","1.0"
