title,authors,tags,series,series_index,comments,#language_code,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Esa dama","Kate O'Brien","Ficción Histórica, Classics, _Biblioteca.Ficcion Historica","","1.0","Ana de Mendoza y de la Cerda, princesa de Éboli y duquesa de Pastrana es uno de los personajes más intrépidos y fascinantes de cuantos se movieron alrededor de la corte de Felipe II. A los trece años se casa con Ruy Gómez de Silva, secretario de Estado y favorito del rey. A los catorce pierde un ojo en un duelo y desde entonces sus amistades la llaman la Tuerta. Tuvo diez hijos y se mostró siempre como una esposa fiel y abnegada, pero nunca consiguió acallar a quienes en la corte la señalaban como la amante del rey. Ana enviudó a los treinta años y, a instancias de Felipe II, abandonó su retiro campestre para volver a hacerse cargo de sus responsabilidades en Madrid. En septiembre de 1577 se encontró de nuevo con un gran amigo de su marido, el arrogante y atractivo Antonio Pérez, y este encuentro alteró definitivamente su existencia. Esta novela de Kate OBrien narra la historia y la definitiva transformación de esta mujer inolvidable, alguien que descubrió tardíamente la pasión y que afrontó con una entereza extraordinaria el escándalo y la cólera del hombre que en esa época ostentaba el poder absoluto: el rey.
","spa","","Historical Fiction, Classics","Dinamica · Prohibido, Tono · Angst/Drama emocional","","Romance histórico","90","Novela histórica sobre la princesa de Éboli y su pasión con Antonio Pérez, romance central en corte de Felipe II.","",""
"Hospital general","Manuel Pombo Angulo","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Finalista premio Nadal 1947Historias de médicos en un gran hospital, situada en el primer tercio del siglo pasado. Historias personales que se cruzan: médicos jóvenes llenos de ambiciones y esperanzas, médicos veteranos en retirada... Las personas y las situaciones no nos son muy distantes.","spa","","Historical Fiction","","","Ficción general","90","Historias de médicos en un hospital, sin romance central.","",""
"Battle Is Fought to Be Won","Francis Clifford","Historical, _Biblioteca.Ficcion Historica","","1.0","MILITARY/WAR-A CIVILIAN HASTILY ENROLLED IN THE BRITISH ARMY.TONY GILLING WAS ALL TOO HUMAN.FRAUGHT WITH COMPLEXES AND HUMILIATED BY FAILURE IN A WORLD THAT WAS NOT HIS OWN,HE AND HIS DEPLETED COMPANY WERE THROWN INTO THE BREACH TO STEM THE TIDE OF FANATICAL JAPANESE FOR A FEW PRECIOUS HOURS.THE PATTERN WAS RELENTLESSLY THE SAME-DEMOLISH A BRIDGE,DEPLOY THE MEN AND REPULSE AN ONSLAUGHT OF BANZAI SCREAMING ENEMY;RETREAT A FEW MILES BLOW UP THE ROAD AND FACE THEM AGAIN.ALL THE TIME LOSING MEN,ALL THE TIME TORTURED BY SELF DOUBT BUT,IN THE END,GILLING WAS BETTER THAN HE KNEW.","eng","","","Subgenero · Belica/Guerra","","Ficción general","90","Novela bélica sobre la Segunda Guerra Mundial, sin romance central.","",""
"La Ciudad Expoliada","Olivia Manning","Historical, war, Classics, _Biblioteca.Ficcion Historica","Balkan Trilogy","2.0","**'Her gallery of personages is huge, her scene painting superb, her pathos controlled, her humour quiet and civilised' - Anthony Burgess** **'Glittering characterisation, sharp and eloquent writing' - *Sunday Telegraph*** **'** **Wonderfully** **entertaining' -** *Observer* Bucharest, 1940. The city is on the brink of invasion and Guy and Harriet Pringle find their position growing ever more dangerous. Harriet longs for safety, while Guy's idealism frustrates his new wife. But when the Germans march in, Guy believes they must separate in a desperate bid to find safety, so Harriet leaves for Athens. *The Spoilt City* is a dramatic and colourful portrait of a city in turmoil, and of a young couple struggling to make their marriage work in the face of adversity.","spa","","","","","Ficción general","90","Novela literaria sobre una pareja en la Rumanía de la Segunda Guerra Mundial, romance como parte de la trama pero no pilar central.","",""
"La estrella de Strindberg","Jan Wallentin","Ficción Histórica, Crimen & Misterio, _Biblioteca.Ficcion Historica","","1.0","En una remota región de Suecia, Erik Hall, un submarinista aficionado, descubre un cadáver en el fondo de una vieja mina inundada. Junto al cuerpo, que podría llevar allí muchos años, se hallan inscripciones de un antiguo poema islandés y una vieja cruz ansada, el símbolo egipcio de la vida.  
  
Intrigado por el descubrimiento, Erik entra en contacto con el excéntrico historiador Don Titelman, un experto en nazismo y símbolos religiosos y ocultistas con una abierta adicción a los psicofármacos, que se verá inmerso en una intriga de consecuencias imprevisibles. Y es que la cruz encierra un misterio extraordinario que podría estar relacionado con una peligrosa sociedad secreta y, de forma aún más sorprendente, con la histórica y malograda expedición en globo del aventurero sueco S. A. Andrée, en 1897.  
  
La estrella de Strindberg fusiona con excepcional acierto el suspense con una insólita imaginación literaria, y recorre los aspectos más oscuros de la historia de Europa durante el siglo XX. Jugando con elementos de la magia y del misterio, el thriller y la novela histórica, Jan Wallentin nos ofrece una obra única que obtuvo en pocos meses un éxito sin precedentes en Suecia y que hará las delicias de los amantes de las intrigas más inolvidables.
","spa","","Historical Fiction, Mystery & Thriller & Suspense, Mystery & Thriller & Suspense.Mystery, Mystery & Thriller & Suspense.Thriller","","","Misterio·Thriller·Terror","95","Thriller histórico con sociedad secreta, asesinato y misterio, sin romance central.","",""
"Muerte al zar","Andrew Williams","Ficción Histórica, Crimen & Misterio, Topic.People & Places.Asia.Russia, _Biblioteca.Ficcion Historica","","1.0","Rusia, 1879. Un atentado contra la vida del zar Alejandro II lo deja ileso pero revela una conspiración muy profunda. El presunto asesino es apresado y poco después colgado. Entre sus posesiones se encuentra una lista de nombres que dará pistas a la policía para descubrir a los demás conspiradores. Porque Rusia está llena de conspiradores: movimientos revolucionarios organizados han comprendido que, para lograr un cambio, es necesario tomar acciones dramáticas; ya no valen medias tintas ni posiciones seudoconciliadoras como la del doctor Frederick Hadfield, un inglés que vive en San Petersburgo y que se verá más involucrado de lo que quisiera con el grupo de conspiradores…","spa","","Historical Fiction, Mystery & Thriller & Suspense.Thriller, Cultural.Asia.Russia","","","Misterio·Thriller·Terror","95","Thriller histórico sobre un atentado contra el zar y conspiración, sin romance central.","",""
"Al principio la noche era música","Alissa Walser","Ficción Histórica, Topic.Music, _Biblioteca.Ficcion Historica","","1.0","Esta novela cuenta la vida de Franz Anton Mesmer, célebre médico de la Viena de Mozart, que curaba a sus pacientes a través de piedras magnéticas. Uno de sus grandes desafíos le llega cuando se enfrenta al caso de una joven pianista ciega, María Teresa von Paradis -otro personaje histórico-, quien toca para la corte y más tarde se hará muy conocida.  
Uno de los ejes narrativos de la novela, donde la música juega un papel central, es el relato de los meses de tratamiento de María Teresa y su ambigua relación con Mesmer, quien gracias a su método (popularizado como mesmerismo) logra que ella recupere la vista por un tiempo, mientras simultáneamente pierde algo de su talento. Los médicos de la corte -que antes habían intentado en vano curar a la pianista- acusan de farsante a Mesmer, quien se muda a Francia. Unos años después, María Teresa, ya famosa, viaja para dar un concierto en París, donde vive su antiguo médico.  
La autora es hija del gran escritor Martin Walser y con esta primera novela cosechó grandes elogios de la crítica y produjo un fuerte impacto en los lectores.
","spa","","Historical Fiction, Music","","","Ficción general","95","Novela histórica sobre el mesmerismo y la música, drama literario sin romance central.","",""
"La curandera de Atenas","Isabel Martin","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","«Una mujer vendida como esclava se convierte en discípula de Hipócrates, el médico más aclamado de la Historia»  
  
Siglo V a.C. Helena, hija del filósofo Empédocles, es secuestrada en Sicilia y, tras un largo viaje, vendida en Atenas a Aspasia de Mileto, amante de Pericles. Allí conocerá a Hipócrates, uno de los más afamados médicos de la antigua Grecia, cuya sabiduría ha llegado hasta nuestros días. Junto a él se introducirá en el mundo de la sanación y del verdadero amor. De esclava a hetaira, de hereje a curandera, el personaje de Helena nos muestra en esta novela el momento cumbre de la Atenas clásica, una ciudad por la que en este periodo desfilan los más ilustres filósofos y donde la democracia siembra sus primeras semillas.  
  
La curandera de Atenas narra los inicios de la medicina a través de un personaje sensual y fascinante.
","spa","","Historical Fiction","","","Ficción general","95","Novela histórica en la Antigua Grecia sobre una esclava discípula de Hipócrates, el romance no es central.","",""
"Aftershock","Zhang Ling","Historical, Fiction, _Biblioteca.Ficcion Historica","","1.0","A catastrophic disaster in China triggers a mother’s heartbreaking choice and a daughter’s reconciliation with the past in a powerful novel by the author of A Single Swallow and Where Waters Meet.  In the summer of 1976, an earthquake swallows up the city of Tangshan, China. Among the hundreds of thousands of people scrambling for survival is a mother who makes an agonizing decision that irrevocably changes her life and the lives of her children. In that devastating split second, her seven-year-old daughter, Xiaodeng, is separated from her brother and the mother she loves and trusts. All Xiaodeng remembers of the fateful morning is betrayal.  Thirty years later, Xiaodeng is an acclaimed writer living in Canada with a caring husband and daughter. However, her newfound fame and success do little to cover the deep wounds that disrupt her life, time and again, and edge her toward a breaking point. Xiaodeng realizes the only path toward healing is to return to Tangshan, find her mother, and get closure.  Spanning three decades of the emotional and cultural aftershocks of disaster, Zhang Ling’s intimate epic explores the damage of guilt, the healing pull of family, and the hope of one woman who, after so many years, still longs to be saved.","eng","","","Tono · Trauma/Salud mental, Tono · Angst/Drama emocional","","Ficción general","95","Drama familiar tras un terremoto en China, sin romance central.","",""
"El enigma del Códice Bardulia","Álvaro Moreno Ancillo","Historical Fiction.Middle Ages.Early.9th Century, Crimen & Misterio, Topic.People & Places.Europe.Spain, _Biblioteca.Ficcion Historica","","1.0","¿Qué ocurriría si se descubriera una prueba histórica de que España ya estaba unida en el siglo IX? ¿De qué sería capaz una fundación radical por preservar las tesis históricas del nacionalismo vasco? Ese manuscrito podría transformar totalmente el panorama político actual.   
En plena Edad Media, un ermitaño recorre el claro de un bosque en el que yacen media docena de soldados mahometanos. Sólo encuentra cuerpos mutilados y putrefacción pero, entre los muertos sarracenos, surge la figura de un escuálido muchacho cristiano con las manos empapadas en sangre. El niño más parece un cadáver que una amenaza, sin embargo, inexplicablemente, provoca en el eremita una profunda sensación de desasosiego y temor... Al tocarlo ambos entran en un profundo trance...   
¿Sería posible que aquel niño hubiera acabado él solo con esos infieles? ¿Qué extraños poderes poseía? Y sobre todo, ¿por qué el monje sentía la certeza de que debía convertirse en su inseparable mentor?  
Un misterio que arranca en el medievo, una estirpe de guerreros que en pleno siglo XXI continúa sufriendo un estigma   
ancestral, y un descubrimiento que confirma lo que alguien en Euskadi quiere ocultar: la vinculación primigenia de los   
pueblos eusquéricos con el origen de Castilla y con la recuperación de Hispania como patria común.
","spa","","Cultural.Europe.Spain, Historical Fiction.Middle Ages.Early.9th Century, Mystery & Thriller & Suspense","","","Misterio·Thriller·Terror","70","Misterio histórico con elementos sobrenaturales pero trama principal de intriga política y crimen.","",""
