title,authors,comments,tags,languages,series,series_index,#info,#world,#clasificacion,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Betrothed to Mr. Darcy","Juliana Abbott","This is a box set—a collection of three full-length P&P variations: 
*** Mr. Darcy’s Accidental Bride ***  
  
After the disastrous proposal at Rosings, the one thing Elizabeth knows for sure is this: she never wants to see Mr. Darcy again. That’s until she has to – on their wedding day.  
  
When Elizabeth meets Darcy again after his awful proposal, she does her best to avoid him. Until an unfortunate entanglement forces her to do the impossible – marry this arrogant and intolerable man.  
  
Darcy thought his chance at happiness with Elizabeth Bennet was dashed for good. Until he finds himself standing across from her in a chapel, about to enter into marriage. If only his bride was not so unwilling.  
  
At Pemberley, Lizzy is surprised to discover another side to despicable Darcy. Here, he’s admired and well-loved. And when he vows to right his biggest wrong and promises to reunite Jane and Mr. Bingley, Lizzy can’t help but wonder: Has everything she heard about Darcy been a lie?  
  
Just as Lizzy and Darcy start to grow close, spiteful enemies from their past strike and threaten to shatter their fragile happiness - Jane is kidnapped during her visit at Pemberley.  
  
To uncover who’s taken Jane, Darcy and Lizzy have to work together and Lizzy must confront the one question she’s avoided so far: can she allow herself to trust Darcy and to develop true feelings for him, or will she let love pass her by forever?  
  
*** Deceiving Mr. Darcy ***  
  
The last thing Elizabeth intended was to deceive Mr. Darcy into thinking that she's her sister, Jane.  
  
But when he loses his memory, the two of them can finally explore their true sentiments without any prejudice.  
  
Elizabeth Bennet is in quite the predicament indeed. She finds herself captivated by the aloof yet mesmerizing Mr. Darcy, but he thinks she is someone else entirely – her sister, Jane, whom their cousin Mr. Collins wishes to marry.  
  
But having fallen for Mr. Bingley, Jane implores her sister to keep their secret for a short while so she can free herself of their cousin.  
  
Soon, Mr. Darcy uncovers their ruse and insists they confess everything.  
  
Elizabeth is sure that the truth will spell doom, not just for Jane but for the entire family.  
  
Not to mention that Mr. Darcy will despise her forever. But when he loses his memory in a carriage accident, Elizabeth realizes she can still maintain their deception while caring for her injured sister at Netherfield.  
  
Trapped in a conflicting circle of love and lies, Elizabeth cannot help but wonder: Will Darcy still feel the same once he uncovers her  
  
*** Marrying Mr. Darcy ***  
  
Elizabeth Bennet thought she’d crafted the perfect plan… until her plans went awry.  
  
Rather than see her sister marry her cousin, a horribly dry man she doesn’t love, Elizabeth Bennet hatches a plan that will see her sister marry a wealthy man and send their boring cousin packing.  
  
Moments before the ceremony, Elizabeth’s plans go awry, and she is inexplicably cast into her sister’s role as a blushing bride.  
  
Despite her best intentions, Elizabeth suddenly faces the risk of scandal and public ruin… and a marriage she never planned on.  
  
Married to the much-revered Mr. Darcy, Elizabeth struggles to understand the stirrings in her heart.  
  
When an afternoon by the lake goes awry, Fitzwilliam Darcy finds himself giving his consent to marry a woman he’s never met.  
  
He never imagined his return to Pemberley would result in a new bride, a growing scandal, and an inexplicable connection to the beautiful and tenacious Elizabeth.  
  
As he settles into his unexpected role, a threat emerges, promising to sever their relationship and possibly ruin Elizabeth’s good name.  
  
With controversy stirring from all angles, can Elizabeth convince Fitzwilliam that he is the man she’s come to care for more than anyone in the world?
","Genero · Romance historico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Enemigos a amantes, Ambientacion · Regencia","","Romance histórico","95","Variación de Orgullo y Prejuicio en la Regencia, romance central con matrimonio forzado y enemigos a amantes.","",""
"Elizabeth Bennet and the Wicked Widower","Juliana Abbott","When Mr. Bennet falls gravely ill, Elizabeth Bennet and her family must prepare for the worst. Without a suitable husband for any of the Bennet girls they might soon lose not only their patriarch but Longbourn itself. There is only one solution: Elizabeth must marry Longbourn’s heir, the widower Thomas Weston.   
A year on, she finds herself married to an insufferable, ill-mannered drunkard and isolated from her family in faraway Derbyshire. And to make matters worse, her stepson has struck up a firm friendship with their haughty neighbour’s ward.   
Fitzwilliam Darcy, as prideful as he is uppity proves another thorn in her side – until she realizes there is more to the man than meets the eye. As they grow closer, Mr. Darcy seeks to help Elizabeth find a way out of her terrible marriage. However, as they work to free her from the clutches of her husband, Elizabeth is horrified to realize her feelings of gratitude for Darcy are quickly turning into something more – and something dangerous.   
As she seeks to uncover her husband’s many secrets and lies, will she find a way to break free? Or will her husband’s darkest secret come to haunt her and end not only her chance at happiness with Mr. Darcy but her life?   
Elizabeth Bennet and The Wicked Widower is a sweet and clean variation of Jane Austen’s timeless classic, Pride and Prejudice, and it’s above 60000 words long.
","Genero · Romance historico","eng","","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Prohibido, Ambientacion · Regencia","","Romance histórico","95","Variación de P&P, Elizabeth se casa para salvar Longbourn y se enamora de Darcy estando casada.","",""
"Yuletide Promise","Juliana Abbott","At London's esteemed Twelfth Night Masquerade Ball, Christmas brings miracles as young people in disguise find love unhindered by prejudice. Elizabeth Bennet secures an invitation, hoping for her own magical moment. Can love truly blossom without seeing each other's faces?Her dreams come true when a captivating masked gentleman sweeps her off her feet with moonlit dances, passionate conversations, and a secret ice-skating rendezvous. Unfortunately, fate separates them, but they pledge to reunite at the same ball the following year.While Elizabeth attempts to find her mysterious stranger, her efforts are frustratingly fruitless. But the real obstacle in her quest is her growing affection to a certain irksome gentleman from the north, Mr. Darcy, who, despite his vexing manners, increasingly occupies her thoughts.Things take a complicated turn when the masked stranger finds Elizabeth, forcing her to make an impossible choice between the man of her dreams and the one she can't stop thinking about. Will Elizabeth's heart lead her to the right decision, or will she forever wonder, ""What if?""Yuletide Promise is a sweet and clean variation of Jane Austen’s timeless classic, Pride and Prejudice, and it’s above 60000 words long.
","Genero · Romance historico","eng","","1.0","","","Ambientacion · Navideno/Festivo, Dinamica · Triangulo amoroso, Dinamica · Amor a primera vista, Tono · Sin escenas/Sweet","","Romance histórico","95","Variación de P&P con baile de máscaras navideño, romance dulce y triángulo amoroso.","",""
"Heirs of London","Joyce Alec","**A collection of heartwarming Regency romances filled with surprising twists, forbidden love, and cozy mysteries!** **London Stranger** \- Lady Juliet wants answers. Lord Strickland does not want her involved.  **Stolen Heart** \- Lord Lindale wants the truth. Lady Ellen wants to keep her family’s secret hidden.  **Finding the Earl** \- Lady Marianne wants nothing to do with Lord Castleton—that is until a great mystery forces them to work together.  **The Duke's Truth** \- The Duke of Ellsworth and Lady Foster must discover the person who is trying to destroy their reputations!  **The Eligible Earl** \- Lady Frederica knows she needs to stay away from the Earl of Wetherby. However, she cannot seem to remove thoughts of him from her mind.","1DDU‑GB‑E: England, Ambientacion · Regencia, Dinamica · Enemigos a amantes, Dinamica · Slow burn, Formato · Antologia/Relatos, Genero · Misterio/Thriller, Genero · Romance historico, Subgenero · Policiaco/Detective, Tono · Cozy/Ligero","eng","","1.0","","","Dinamica · Prohibido, Subgenero · Cozy mystery, Ambientacion · Regencia","","Romance histórico","90","Colección de novelas románticas de la Regencia con elementos de misterio cozy.","",""
"Lords of Scandal Collection 2","Tammy Andresen","When a group of debutantes accidentally stumbles into a secret gaming hell, all hell is about to break loose...   
Viscount of Vice   
Vice is his first, middle, and last name… can this angel save him?   
The Viscount of Vice likes two types of women, the ones that fall easily into his bed and the ones that leave just as quickly. So why can’t he stop thinking about the sweet Miss Ada Chase? Her auburn hair and green eyes haunt his dreams, though they shouldn’t. She’s perfectly wrong for him…   
Baron of Bad   
He’s bad to the bone… and she looks oh so good.   
The Baron of Baderness is too dark, too dangerous for any clear minded lady to consider. And Lady Grace has her choice of men. So why can’t she stop thinking about the one man she shouldn’t want?   
Earl of Sin   
He's a man of sin and she's tempting beyond belief…   
The Earl of Sinclair is a man returning from the brink. Raising a daughter on his own and only just skirting financial disaster, he'll be the first to admit he needs help. But a beautiful tutor who whisks into house and begins making changes. He's not certain this was a good idea. It's one thing that his daughter loves her, but his own heart is in jeopardy.
","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Grumpy/Sunshine, Dinamica · Protector, Arquetipo · Bad boy, Tono · Morally grey/Antiheroe, Ambientacion · Regencia","","Romance histórico","100","Colección de novelas de la serie con vizcondes, barones y condes; romances en Regencia.","Lords of Scandal","1.0"
"A Daring Captain for Her Loyal Heart","Abby Ayles","**Τhe heart knows no boundaries when it comes to love... and his chose her.** No other man has been shrouded by rumors and mystery as much as Lieutenant Christopher Hardwicke. Reckless, mischievous, scoundrel. But the rumors are hardly ever true: his heart has always belonged to one girl, and one girl alone - a lady so far above his station that society dictates he should never dare hope for her.  But Christopher is not prone to ever giving up. And this lady is worth going to war for.  No other woman has been accompanied by rumors and scandal as much as Lady Juliana Reffern. Arrogant, whimsical, the girl who dared break an engagement. But a scandal is hardly ever fair: her heart has always remained true, given to the dashing soldier she can’t forget – a man who she patiently waits for, a rock that resists the oncoming tides of society’s expectations.  But her family has had enough. And this time, Juliana may not succeed in thwarting another marriage.  Now, Christopher and Juliana will have to race against the clock, to earn the redemption that might be their last chance to a future. But this road is full of obstacles, and the most dangerous of them are those that are hidden just below the surface…","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Segunda oportunidad, Arquetipo · Militar/SEAL, Ambientacion · Regencia, Tono · Sin escenas/Sweet","","Romance histórico","95","A dashing soldier and a scandalous lady reunite after years apart, racing against time and society.","",""
"Inconveniently Betrothed to an Earl","Abby Ayles","A reluctant Earl, an unyielding Lady. A marriage against their best intentions. What could possibly go wrong...  Eleanor Beaumont’s spirit was always a hard one to tame. When her father, the Earl of Wilfort, strikes a prosperous deal by offering her hand to his associate’s son, she can feel the cold chains of matrimony tightening around her like a noose.  Ambrose Brooks, son to the Marquess of Westington, always complied with the expectations of his family but being forced to marry a stranger was not what he had in mind.  When Eleanor and Ambrose share their thoughts with each other, they agree to go against their families' arrangements.  But what they failed to notice is that their hearts have other plans...  Now trapped in a vortex of expectations and disaster, they must find a way to carve their own future before they become pawns on someone else’s terrifying board…  *If you like engaging characters, heart- wrenching twists and turns, and lots of romance, then you’ll love “Inconveniently Betrothed to an Earl”!  Buy “Inconveniently Betrothed to an Earl” and unlock the exciting story of Ambrose and Eleanor today!  Get This Book FREE With Kindle Unlimited!","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Enemigos a amantes, Dinamica · Matrimonio fingido/conveniencia, Tono · Sin escenas/Sweet","","Romance histórico","95","Regency historical romance; reluctant betrotheds agree to oppose families but fall for each other.","",""
"Loving a Lady","Abby Ayles","She has to marry a man of status. He has nothing of the sort and is perfectly content with it. Soon they both realize that status is everything and nothing at all.  Noelle is the daughter of the Duke of Salisbury. As the eldest daughter, she is expected to marry a titled man of status and fulfill her duty. In fact, her parents plan for her to marry the Marquess of Fairfax. An eligible suitor but a dashing rogue of a man in reality. Rodrick Edwards is a gentleman of means who lives on his wealthy uncle's estate. He has no title or high status, but none of it seem to be important in his life. He has all he needs next to his mother and cousin James - the Viscount of Easton - who dote on him dearly.  When Rodrick and Lady Noelle meet at a ball at the Duke of Salisbury's London home, they feel as if they've found their equal. However, it’s completely inappropriate, especially since Noelle is supposed to meet the Marquess of Fairfax for the first time there. But what happens when the Marquess is nowhere to be seen? And how will Noelle react when she finds out that Rodrick is mysteriously connected with the Marquess of Fairfax, the man she is supposed to marry? Surely it is a coincidence…Or is it not?  If you like engaging characters, heart- wrenching twists and turns, and lots of romance, then you’ll love “Loving A Lady!”  Buy “Loving A Lady” and unlock the exciting story of Noelle today!  ""Loving A Lady"" is a clean and sweet historical regency romance novel of approximately 90,000 words.  No cheating, no cliffhangers, and a guaranteed happily ever after.  Also available with Kindle Unlimited!","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Prohibido, Dinamica · Amor a primera vista, Tono · Sin escenas/Sweet","","Romance histórico","95","Regency historical romance; duke's daughter expected to marry marquess, falls for gentleman without title.","",""
"Redeeming Love for the Haunted Ladies","Abby Ayles","A Clean & Sweet Regency Historical Romance Collection  **Three women. Three men. When they meet, they soon find out they have to fight to earn their right to love.**    Three of my best-selling Regency romance stories!  Combined the three books have more than 1,000 positive reviews on Amazon and have been downloaded over 100,000 times!  Delightful romances full of emotion, drama, action, plot twists, and of course, love!  Isabella Watts’s fall from grace after her father’s passing is long and devastating. Hunted by a ruthless enemy, she finds refuge and employment as a governess at Wintercrest Manor. As she becomes instrumental in healing the bond between the house’s residents, the kindhearted Marquess of Bellfourd shines a light of hope on her own heart. Will her looming past threaten her chance at happiness? Will Isabella finally be delivered from torment?  Lady Abigail Grant has listened to many lovely tales about the Earl of Gilchrist. When he returns home from the war, however, physically scarred and emotionally wounded, he is not the man she had expected. Nevertheless, he is the only one who can discern the concealed danger she is in. Will he find the strength to battle his greatest enemy – his own self - and save her in time? Will Abigail succeed in reaching past the scars and wounds and resuscitating the soul within?  Lady Louisa Frasier is determined to mend the relationship between her aunt and mother. She is not prepared, however, for the humiliating cruelty she will encounter… or for making the acquaintance of the insufferable but dazzling Duke of Rowland. After a fateful masquerade, the Duke desperately seeks the mysterious woman who stole his heart. Will Louisa find the courage to claim her own happiness? Will the masks finally be discarded?  Follow Isabella, Abigail, and Louisa, through their enchanting tales of bravery, perseverance, and the healing power of love.  **If you like engaging characters, heart- wrenching twists and turns, and lots of romance, then you’ll love “Redeeming Love for the Haunted Ladies!”  Buy “Redeeming Love for the Haunted Ladies” and unlock the exciting stories of Isabella, Abigail, and Louisa today!  Each book features a standalone, clean and sweet story of approximately 80,000 words. No cheating, no cliffhangers, and a sweet happily ever after.**  *Get This Collection for FREE With Kindle Unlimited!*","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Segunda oportunidad, Dinamica · Matrimonio fingido/conveniencia, Tono · Angst/Drama emocional","","Romance histórico","95","Colección de tres novelas históricas regency, romance central, sin paranormal.","",""
"Secret Dreams of a Fearless Governess","Abby Ayles","A Clean & Sweet Regency Historical Romance Novel  **In his hour of need, an angel will bring light into his life. But angels are fragile things…** After the death of his parents, Edmund Hardwicke, the young Earl of Kelt, finds himself burdened with enormous responsibilities - none heavier than being in charge of his many younger siblings. When Joanna Warrick, the new governess, arrives at his home, she breathes life into everything. Like a wind of light and hope after the family’s misfortunes, she even awakens Edmund’s sleeping heart.  But a storm is brewing, and that storm has a name: Christopher Hardwicke. Edmund’s younger brother will do everything in his power to see him suffer and ruined, and his unexpected arrival foretells nothing but trouble.  Now, Joanna will have to deftly navigate secrets, lies, and the battle of wills between two stubborn brothers who have both lost too much. But while her heart secretly dreams of a happy future and seeks to bring peace in a home divided, an old enemy reawakens, threatening them all…  **If you like engaging characters, heart- wrenching twists and turns, and lots of romance, then you’ll love “Secret Dreams of a Fearless Governess!”  Buy “Secret Dreams of a Fearless Governess” and unlock the exciting story of Joanna today!**","Ambientacion · Regencia, Genero · Romance historico","eng","","1.0","","","Dinamica · Proximidad forzada, Dinamica · Slow burn, Arquetipo · Universitario/New adult, Tono · Angst/Drama emocional","","Romance histórico","95","Regency romance con institutriz y hermanos, drama familiar, mundo real.","",""
