title,authors,tags,series,series_index,comments,identifiers,languages,library_name,#language_code,#world,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"The Gender War","Bella Forrest","Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Themes.Framed Protagonist, Tono · Familia disfuncional","The Gender Game","4.0","Continue Violet and Viggo's journey in the **ELECTRIFYING** fourth book of The Gender Game series!
","goodreads:33646426","eng","LCienciaFiccion","eng","","","Young Adults (13-18), Science fiction, Dystopian, Romance, Young Adult, Science Fiction.Dystopian","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Fourth book of The Gender Game series; same classification.","The Gender Game","1.0"
"The Gender Fall","Bella Forrest","Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Themes.Framed Protagonist, Tono · Familia disfuncional","The Gender Game","5.0","Continue Violet and Viggo's heart-racing journey in the epic fifth book of The Gender Game series. 
","goodreads:34146312","eng","LCienciaFiccion","eng","","","Young Adults (13-18), Science fiction, Dystopian, Romance","Subgenero · Distopia/Apocaliptico, Dinamica · Enemigos a amantes","","Ciencia Ficción","90","Misma serie, mismo contexto.","The Gender Game","1.0"
"The Gender Plan","Bella Forrest","Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Themes.Framed Protagonist, Tono · Familia disfuncional","The Gender Game","6.0","*""I just had to believe we'd dealt a death blow of our own.  
That today would be the beginning of the end...""*
Ready for the explosive **PENULTIMATE BOOK** in The Gender Game series? (As we move toward the grand finale in Book 7: The Gender End).
","goodreads:34750981","eng","LCienciaFiccion","eng","","","Young Adults (13-18), Science fiction, Dystopian, Romance","Subgenero · Distopia/Apocaliptico, Dinamica · Enemigos a amantes","","Ciencia Ficción","90","Misma serie.","The Gender Game","1.0"
"The Gender End","Bella Forrest","Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Themes.Framed Protagonist, Tono · Familia disfuncional","The Gender Game","7.0","The breathtaking, earth-shattering **GRAND FINALE** of the bestselling Gender Game series. 
","goodreads:35010791","eng","LCienciaFiccion","eng","","","Young Adults (13-18), Science fiction, Dystopian, Romance","Subgenero · Distopia/Apocaliptico, Dinamica · Enemigos a amantes","","Ciencia Ficción","90","Distopía de género en futuro terrestre. Romance central (Violet y Viggo) pero el mundo es Tierra, no se ajusta a Romantasy ni Paranormal; se clasifica como ciencia ficción distópica.","The Gender Game","1.0"
"The Girl Who Dared to Think","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","1.0","How do you fight an enemy when they're inside your mind?****  
**  
A gargantuan glass-walled tower looms over a deadly wilderness. They say it's all that's left.**  
*  
The Tower's survival is humanity's survival, and each must serve it faithfully...*
Twenty-year-old Liana Castell must be careful what she thinks. Her life is defined by the number on her wristband -- a rating out of ten awarded based on her usefulness and loyalty to the Tower, and monitored by a device in her skull. A device that reports forbidden thoughts. 
Liana is currently a four, the lowest possible acceptable score, and despite her parents' perfect scores of ten, she struggles to increase it. Rebellious ideas come all too easily, and resentfulness seems part of her being. She is an overseer-in-training, but her future will be dark if she cannot raise her worth... 
**Threes require drug treatment.  
Twos are isolated.  
Ones disappear.**
When Liana's worst nightmare comes to pass and she drops to a three, desperation spurs her down a path few dare to tread. A chance encounter with a cocky young man whose shockingly dissident attitude toward the Tower couldn't possibly have earned him the perfect ""ten"" on his wrist, sets her on a trail to save herself--even at the risk of dropping lower. 
Stalking the young man seemed like a simple enough task, but after events take an unexpected twist, Liana finds herself taking a treacherous dive into the darkest depths of the Tower... and the decades' old secrets buried within. 
**In a society where free thinking can make you a criminal, one girl dares to try...**
An unforgettable tale brimming with suspense, mystery and romance - The Girl Who Dared to Think**** will thrill fans of The Gender Game ** , *Divergent* & *The Hunger Games*.
","amazon:B073QV2TRK,goodreads:35609598","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","First book; dystopian sci-fi with mind control device.","The Girl Who Dared","1.0"
"The Girl Who Dared to Stand","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","2.0","Liana Castell's journey continues in the breathtaking second book of The Girl Who Dared series.
","goodreads:35941656,amazon:B074KLM7M3","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Second book; same series.","The Girl Who Dared","1.0"
"The Girl Who Dared to Descend","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","3.0","Return to the Tower and reunite with Liana Castell in the breath-stealing third book of The Girl Who Dared to Think series. Pre-order now! *Beware of spoilers in the reviews below that arewithout spoiler alerts*
","google:8KrEtAEACAAJ,amazon:B075M2DZ5Z,mobi-asin:B075M2DZ5Z,goodreads:36247953,isbn:9781976372605","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Dystopian tower society; sci-fi world.","The Girl Who Dared","1.0"
"The Girl Who Dared to Rise","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","4.0","The stakes grow ever higher for Liana Castell... and she must rise to meet them.   
Return to the Tower in the gripping fourth book of The Girl Who Dared series, where Liana will face her greatest challenge yet:   
Become Ambrose's replacement, or die trying.
","amazon:B076ZSHD11,goodreads:36504399,mobi-asin:B076ZSHD11","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Fourth book; consistent classification.","The Girl Who Dared","1.0"
"The Girl Who Dared to Lead","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","5.0","*""Honorbound! Honorbound!""   
""Congratulations, Champion Castell...""*   
Return to the Tower in the EPIC fifth book of *The Girl Who Dared* series, where the Champion has been chosen... and Liana's courage will be put to the test like never before.   
**Buy now!**  
* * *  
* * *  
*Beware of spoilers in the reviews below that arewithout spoiler alerts*
","goodreads:37457239,amazon:B0786LG8VP","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Fifth book; same dystopian sci-fi world.","The Girl Who Dared","1.0"
"The Girl Who Dared to Endure","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","6.0","******* *** *The end is near...*  
Ready to reunite with Liana in the **PENULTIMATE BOOK** of *The Girl Who Dared* series? (As we moved toward the grand finale in Book 7!)   
**Order now!**  
***Beware of spoilers in the reviews below that are without spoiler alerts***
","goodreads:38122237,mobi-asin:B0796HPHM4,amazon:B0796HPHM4","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Penultimate book of series; same dystopian sci-fi setting.","The Girl Who Dared","1.0"
"The Girl Who Dared to Fight","Bella Forrest","Dinamica · Pez fuera del agua, Subgenero · Distopia/Apocaliptico, Themes.Sentient AI, Tono · Narrador poco fiable","The Girl Who Dared","7.0","* * *  
**The ELECTRIFYING GRAND FINALE of *The Girl Who Dared* series!**  
Reunite with Liana one last time... Are you ready to return to the Tower?   
**Buy now!**  
**Beware of spoilers in the reviews below that are without spoiler alerts**  
* * *
","goodreads:39308924,mobi-asin:B07BJ7K93M,amazon:B07BJ7K93M","eng","LCienciaFiccion","eng","","","Dystopian, Romance, Science fiction, Young Adults (13-18)","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","95","Final book; consistent with series classification.","The Girl Who Dared","1.0"
"Going Back","Gene P. Abel","Ambientacion · Viaje en el tiempo, Dinamica · Grupo variopinto/Ragtag, Subgenero · Espionaje/Espias, Subgenero · Romance alienigena/Sci-fi, Themes.Alternate Timelines, Themes.Retired Hero Returns","Defenders of Time","1.0","**Time travel, science, history, and romance come together in the bestselling first novel in the Defenders of Time Series.** When two scientists at a symposium on time travel are killed, followed immediately by the shocking detection of a time displacement wave, or TDW—the science world is shaken by the signs of someone traveling back in time to change the past. While their identity and goals are unknown, it’s clear that they’ll have to be stopped before they change the pattern of history. Special Agent Lou Hessman and his team are tasked with going back to the New York City of the year 1919 to find and stop this TDW. Not an easy task under any circumstance, but the question Are these changes something they want to fix? Look for the Defenders of Time series to continue with Kidnappers from the Future, coming October 8, 2021
","amazon:1950906752,isbn:9781950906758,goodreads:57624383","eng","LCienciaFiccion","eng","","","English.Science Fiction.Time Travel, Themes.Time Travel, Themes.Aliens, Themes.Ragtag Team, Themes.Alternate Timelines, Themes.Spies and Espionage, Themes.Retired Hero Returns","Ambientacion · Viaje en el tiempo, Subgenero · Espionaje/Espias","","Ciencia Ficción","95","Viaje en el tiempo con explicación científica; romance secundario.","Defenders of Time","1.0"
"Apocalypse Paused Complete Omnibus","Michael Todd & Michael Anderle","Dinamica · Grupo variopinto/Ragtag, English.Science Fiction.Military, Subgenero · Espionaje/Espias, Subgenero · Romance alienigena/Sci-fi, Themes.Retired Hero Returns, Themes.World Within a World, Tono · Traicion","","1.0","WHEREVER YOU LOOK, LIFE AND DEATH STARE YOU IN THE FACE.   Born from the fertile imagination of bestselling author Michael Anderle  Read all 12 books of the bestselling Apocalypse Paused series at a discounted bundle price!  Fight for Life and Death   Fountain of Youth, or Valley of Death?  One missile fired at Earth. One political decision could change the future of mankind when apocalypse happened.  Fighting hard, multiple countries band together to successfully pausethe apocalypse.  Get Rich Or Die Trying   A new species of Death walking?  Dr. Christopher Lin works out a possible solution to the phantom Chimera which is slowly tearing down Wall 01. A wall which protects humanity from that which is inside the ZOO.  He has the perfect solution and volunteers to head a party into the ZOO to kill the shadowy creature, before it grounds down the U.S. Section of Wall 01.  The only problem? The ""Boss"" approves the mission, with a few minor changes Chris wasn't expecting.  Big Assed Global Kegger   When there is money, there are people trying to keep it all to themselves. Can a person survive not only the ZOO, but people hoping they will die?  Dr. Christopher Lin has to go into the ZOO a third time, but will it be the last?  He has been played by the one person he was hoping to save.  Ambassadors and Scorpions   What will it take to keep a good man down?  Wallace has received orders, but can they be serious?  Other governments want in on the action in the Sahara.  Sometimes, the ZOO is too much for just a few countries to control. Even with the big boys of the world working together, it is highly questionable if they can protect every inch of the walls surrounding the ZOO.  Nightmares from Hell   IN THE ZOO, THE ENEMY MAY WALK ON TWO FEET AND THE NIGHTMARES ARE REAL.  WHAT ELSE WILL IT TAKE TO KEEP A GOOD MAN DOWN?  Wallace has had enough thrown at him that it is creating chinks in his “orders are orders” armor.  Ordered to go back into the ZOO to fight mercenaries, he is given a rough group to command.  Calm Before the Storm  SOMETHING IS INSANELY WRONG IN THE ZOO.  BUT WHAT ELSE IS NEW?  Wallace is not unstoppable, and the ZOO is more than willing to demonstrate that to him personally.  Hall has information about Kemp, and he wants Wallace to bring her back alive.  Given his leftover doubts from his conversation with the German ambassador, will Wallace follow orders?  Also includes:  One Crazy Pilot   One Crazy Rescue   One Crazy Machine   One Crazy Life   One Crazy Set of Friends   One Crazy Set of Stories  ARE YOU READY TO ENTER THE ZOO?  \----  Join the teams as they enter the ZOO, learning how to stay alive as they find out more about the ZOO than the reports explained or they ever wanted.  Go up and click on the Read Now button and enter the ZOO.","mobi-asin:B083YT5QWH,isbn:9781642027549,amazon:B083YT5QWH,goodreads:52234839,grvotes:73","eng","LCienciaFiccion","eng","","","English.Science Fiction.Military, Themes.Aliens, Themes.Ragtag Team, Themes.Betrayal, Themes.World Within a World, Themes.Spies and Espionage, Themes.Retired Hero Returns","Subgenero · Distopia/Apocaliptico, Subgenero · Belica/Guerra, Subgenero · Supervivencia","","Ciencia Ficción","95","Militar/ciencia ficción con ZOO alienígena, apocalipsis, supervivencia.","Apocalypse Paused","1.0"
"War for Eden","Stephen Arseneault","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Subgenero · Romance alienigena/Sci-fi, Tono · Traicion","ARMS","1.0","**Just want to make a living? How about not dooming the rest of mankind in the process...** Harris Gruberg and Tawnish Freely, former Biomarines with the Domicile Defense Force, have been out of work since the centuries-old war with New Earth came to an end two years prior. Genetically engineered and trained for war, they lack the knowledge and experience needed to live among a civilian population.  Getting involved in the illegal arms trade offers the promise of working with something they know-- weapons. When the profits from their efforts run wild, they soon find out acquiring wealth so easily comes at a high cost. Will their mistakes bring a return of the Great War?  Typical review for this series:   **Amazon Customer: Enjoyable new adventure.**   ""Great characters in a new universe! Awesome read and I can't wait for more. Bring up the Arms! Thank you.""  **ARMS** is set in the future where Earth was nearing an apocalyptic event. Two competing colony ships were built, taking five million inhabitants each through a wormhole to a pair of newly discovered planets. The planets were settled and not long after the colonies looked to the surrounding star systems for ownership and expansion, which led to a centuries long war between them. A truce was declared after the aggressor side began to lose ground.  Tawnish Freely and Harris Gruberg are genetically engineered Biomarines. Their lives have been dedicated to fighting the war. They find themselves struggling to find work among a population that fears them. Work is found only by delving into the delivery of illegal arms to the outer colonies. Things go awry when they discover their illicit dealings may just be the catalyst that brings back the Great War.","goodreads:38729012,amazon:B0FSKBBPY7,grvotes:521","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Reluctant Hero, Themes.Ragtag Team, Themes.Corporate Dystopia, Themes.Betrayal","Ambientacion · Espacial/Space opera, Subgenero · Belica/Guerra","","Ciencia Ficción","100","Exsoldados involucrados en tráfico de armas en un futuro interestelar.","ARMS","1.0"
"Harris' Revenge","Stephen Arseneault","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Subgenero · Romance alienigena/Sci-fi, Tono · Traicion","ARMS","2.0","Revenge is a dish best served up from the business end of a railgun. Baxter Rumford's actions warrant vengeance. With Harris and Tawn being undercover operatives, every effort will be made to hit Bax where it hurts, in the purse. Meanwhile, attempts must be made to free Eden from the grips of the Earthers.  Also available from this author:  **SODIUM Series** A six-book series that takes Man from his first encounter with aliens all the way to a fight for our all-out survival. Do we have what it takes to rule the galaxy?  **AMP Series** Cast a thousand years into the future beyond **SODIUM**. This eight-book series chronicles the struggles of Don Grange, a simple package deliveryman, who is thrust into an unimaginable role in the fight against our enemies. Can we win peace and freedom after a thousand years of war?  **OMEGA Series** Cast a thousand years into the future beyond **AMP**. The Alliance is crumbling. When corruption and politics threaten to throw the allied galaxies into chaos, Knog Beutcher gets caught in the middle. Follow along as our hero is thrust into roles that he never expected or sought. Espionage, intrigue, political assassinations, rebellions and full-on revolutions, they are all coming to Knog Beutcher's world!  **HADRON Series** **HADRON** is a modern day story unrelated to the **SODIUM-AMP-OMEGA** trilogy series. After scientists using the Large Hadron Collider discover dark matter, the world is plunged into chaos. Massive waves of electromagnetic interference take out all grid power and forms of communication the world over. Cities go dark, food and water supplies are quickly used up, and marauders rule the highways. One group of citizens takes a stand. Can they make a difference? And the devastating EM waves, where are they coming from? After months of starvation, a benevolent species arrive in their spaceships to rescue the Human race. Only, are they really so benevolent?  **ARMS Series** **ARMS** is set in the future where Earth was nearing an apocalyptic event. Two competing colony ships were built, taking five million inhabitants each through a wormhole to a pair of newly discovered planets. The planets were settled and not long after the colonies looked to the surrounding star systems for ownership and expansion, which led to a centuries long war between them. A truce was declared after the aggressor side began to lose ground.  Tawnish Freely and Harris Gruberg are genetically engineered Biomarines. Their lives have been dedicated to fighting the war. They find themselves struggling to find work among a population that fears them. Work is found only by delving into the delivery of illegal arms to the outer colonies. Things go awry when they discover their illicit dealings may just be the catalyst that brings back the Great War. They are determined to prevent that from happening.","goodreads:38729029,amazon:B0DZ4935LN,grvotes:99","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Reluctant Hero, Themes.Ragtag Team, Themes.Corporate Dystopia, Themes.Betrayal","Ambientacion · Espacial/Space opera, Subgenero · Belica/Guerra","","Ciencia Ficción","100","Operaciones encubiertas y venganza en un conflicto interplanetario.","ARMS","1.0"
"Jebwa Atrocity","Stephen Arseneault","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Subgenero · Romance alienigena/Sci-fi, Tono · Traicion","ARMS","3.0","The third book in the **ARMS** series! When a truce world colony is slaughtered, all evidence points to Harris and his team. As they fight to make the Earthers pay for their atrocity, they are confronted with a new reality. The enemy of their enemy, may make their enemy their friend. Find out what happens as the **ARMS** series really hits its stride!  Also available from this author:  **SODIUM Series** A six-book series that takes Man from his first encounter with aliens all the way to a fight for our all-out survival. Do we have what it takes to rule the galaxy?  **AMP Series** Cast a thousand years into the future beyond **SODIUM**. This eight-book series chronicles the struggles of Don Grange, a simple package deliveryman, who is thrust into an unimaginable role in the fight against our enemies. Can we win peace and freedom after a thousand years of war?  **OMEGA Series** Cast a thousand years into the future beyond **AMP**. The Alliance is crumbling. When corruption and politics threaten to throw the allied galaxies into chaos, Knog Beutcher gets caught in the middle. Follow along as our hero is thrust into roles that he never expected or sought. Espionage, intrigue, political assassinations, rebellions and full-on revolutions, they are all coming to Knog Beutcher's world!  **HADRON Series** **HADRON** is a modern day story unrelated to the **SODIUM-AMP-OMEGA** trilogy series. After scientists using the Large Hadron Collider discover dark matter, the world is plunged into chaos. Massive waves of electromagnetic interference take out all grid power and forms of communication the world over. Cities go dark, food and water supplies are quickly used up, and marauders rule the highways. One group of citizens takes a stand. Can they make a difference? And the devastating EM waves, where are they coming from? After months of starvation, a benevolent species arrive in their spaceships to rescue the Human race. Only, are they really so benevolent?  **ARMS Series** **ARMS** is set in the future where Earth was nearing an apocalyptic event. Two competing colony ships were built, taking five million inhabitants each through a wormhole to a pair of newly discovered planets. The planets were settled and not long after the colonies looked to the surrounding star systems for ownership and expansion, which led to a centuries long war between them. A truce was declared after the aggressor side began to lose ground.  Tawnish Freely and Harris Gruberg are genetically engineered Biomarines. Their lives have been dedicated to fighting the war. They find themselves struggling to find work among a population that fears them. Work is found only by delving into the delivery of illegal arms to the outer colonies. Things go awry when they discover their illicit dealings may just be the catalyst that brings back the Great War. They are determined to prevent that from happening.","grvotes:82,amazon:B0FSKBCYBG,goodreads:38729048","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Reluctant Hero, Themes.Ragtag Team, Themes.Corporate Dystopia, Themes.Betrayal","Ambientacion · Espacial/Space opera, Subgenero · Belica/Guerra","","Ciencia Ficción","100","Masacre en una colonia de tregua y cambio de alianzas.","ARMS","1.0"
"Legends","Stephen Arseneault","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Distopia/Apocaliptico, Subgenero · Romance alienigena/Sci-fi, Tono · Traicion","Freedom","1.0","The exciting first book of the **FREEDOM** series. For 500 generations Humans have been addicted to a drug called Shackle. We are slaves to the alien species of the galaxy. Bought, traded, sold, and hunted for sport. Our value is only in credits. But a virus is sweeping through the Human population. Altering a gut bacteria, the virus is making Humans immune. As we become aware of our condition, we begin to yearn for freedom. Will the legends of our past be enough to show us the way?","mobi-asin:54965f88-7365-472a-b4a8-f56ca2e96360,amazon:B075J2HJKD,goodreads:36218666,grvotes:540","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Corporate Dystopia, Themes.Reluctant Hero, Themes.Ragtag Team, Themes.Betrayal","Ambientacion · Espacial/Space opera, Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","100","Humanos esclavizados por alienígenas, búsqueda de libertad.","FREEDOM","1.0"
"Dark Universe","Cheree Alsop","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Familia encontrada, Dinamica · Grupo variopinto/Ragtag, Subgenero · Aventura/Quest, Subgenero · Romance alienigena/Sci-fi, Themes.Enemies Forced to Work Together","Rise of the Gladiator","2.0","Captain Nova Ardis rescued her brother but lost her planet.   As a Lady of the Accord Systems, she has to figure out the depths of betrayal before she can go home.  ˃˃˃ Kovak’s Life has taken a Dangerous Turn.   . In helping Nova free her brother and choosing to fight the arena battle in his stead, the gladiator has made some very powerful enemies. Will taking the crew of the SevenWolf into the Dark Universe help them or put them in even more danger?  ˃˃˃ The Rise of the Gladiator is a clean, action-packed space opera series that will have you on the edge of your seat!","mobi-asin:B0865K9XFC,goodreads:53333515,amazon:B0865K9XFC","eng","LCienciaFiccion","eng","","","","Subgenero · Romantasy","","Ciencia Ficción","100","Space opera limpia con acción y romance secundario.","Rise of the Gladiator","1.0"
"Grey","Jon Armstrong","Dinamica · Matrimonio fingido/conveniencia, Dinamica · Prohibido, English.Science Fiction.Cyberpunk, Subgenero · Distopia/Apocaliptico, Tono · Morally grey/Antiheroe, Tono · Traicion","","1.0","For Michael Rivers, life is perfect. He is tall, handsome and worshipped by billions of fans around the globe. He is wealthy beyond measure, the heir apparent to one of the high-tech corporations that controls the world. He is fashionable, setting trends with his wardrobe of immaculate designer suits. And Michael is in love with Nora, his beautiful, witty and equally perfect fiancée. When an assassin's bullets pierce Michael's body before the cameras at a press junket, everything changes. Forcibly separated from Nora, his illusions shattered, Michael seeks to uncover the reasons behind the attempted assassination. Michael delves deep into his past, finding that all paths lead to a time when he was the golden boy, dancing furiously to the beat of notorious all-night Rage parties thrown by his father. 
Skyhorse Publishing, under our Night Shade and Talos imprints, is proud to publish a broad range of titles for readers interested in science fiction (space opera, time travel, hard SF, alien invasion, near-future dystopia), fantasy (grimdark, sword and sorcery, contemporary urban fantasy, steampunk, alternative history), and horror (zombies, vampires, and the occult and supernatural), and much more. While not every title we publish becomes a *New York Times* bestseller, a national bestseller, or a Hugo or Nebula award-winner, we are committed to publishing quality books from a diverse group of authors.
**
","mobi-asin:b38b3809-dd7f-48eb-b14f-ff419c4830e8,isbn:9781597800655","eng","LCienciaFiccion","eng","","","English.Science Fiction.Cyberpunk, Themes.Corporate Dystopia, Themes.Marriage of Convenience, Themes.Forbidden Romance, Themes.Morally Gray Characters, Themes.Betrayal","Subgenero · Distopia/Apocaliptico, Arquetipo · Billonario/CEO, Tono · Oscuro","","Ciencia Ficción","100","Distopía futurista con corporaciones, asesinato y búsqueda de la verdad.","",""
"Alien Hunters","Daniel Arenson","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Alien Hunters","1.0","Got trouble with aliens? Call the Alien Hunters.   
A group of scruffy mercenaries, the Alien Hunters travel the galaxy in their starship, a mechanical dragon that spits out plasma like dragonfire. If an alien has invaded your space station, asteroid mine, or lunar colony, the Alien Hunters will remove the pest for you. Low rates. No questions asked.   
Raphael ""Riff"" Starfire, a guitarist-turned-gunslinger, and Nova, a warrior-princess with an electric whip and a bad attitude, lead the Alien Hunters. They’re the solar system’s best pest controllers. Yet now they face a threat all their guns and grit might be unable to stop.   
The skelkrins, a race of apex predators from deep space, are swarming across the galaxy. Planets burn in their wake. As the skelkrins draw closer to Earth, will Riff and Nova be the ones hunting aliens... or will aliens hunt them?
","amazon:B0DTVVDD7F,grvotes:1649,goodreads:26195895","eng","LCienciaFiccion","eng","","","","Ambientacion · Espacial/Space opera","","Ciencia Ficción","100","Space opera con mercenarios cazando alienígenas en la galaxia.","Alien Hunters","1.0"
"Alien Sky","Daniel Arenson","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Alien Hunters","2.0","The Singularity. The day the machines gained awareness. The day they turned cruel. The day they overthrew their makers.  In a distant star system, a planet-sized computer unleashes its fleets of warships, armies of robots, and a swarm of killer drones. Their purpose is destroy all life.  As the cosmos crumbles, one team steps up to the The Alien Hunters.  The Alien Hunters are galactic pest controllers, not an army. Their spaceship is old and clunky. They specialize in crushing the odd space bug, not a fleet of vicious machines. They're a rolled-up newspaper when the cosmos needs an A-bomb.  But they're fast, they're brave, and they're just foolhardy enough to charge right into battle. As the robots spread across the galaxy, slaying all in their path, the Alien Hunters fly out to meet them. The war between life and machine begins.","goodreads:25047385,amazon:B00SLY9N0K,grvotes:323,isbn:9781927601426","eng","LCienciaFiccion","eng","","","","Ambientacion · Espacial/Space opera, Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","100","Guerra contra máquinas inteligentes en el espacio.","Alien Hunters","1.0"
"Alien Shadows","Daniel Arenson","Ambientacion · Espacial/Space opera, Arquetipo · Heroe reticente, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Alien Hunters","3.0","On a dead world orbiting a black hole, shadows awaken. Some call them ghosts. Others believe them mere figments of the imagination. Yet for the scientists stranded on this rocky outpost, the evil haunting their halls is all too real. A handful of men and women have come here, to this desolate world light-years away from civilization. They came to study the black hole, this anomaly that breaks all their calculations. A black hole more like a living creature. A god of darkness. And through the halls of the observatory, this deity's warriors scurry, whisper, reach from the shadows. Creatures woven of darkness, of an evil from beyond. Only one team of heroes can save the scientists stranded here. The Alien Hunters have never faced anything like these shadowy spirits. They're galactic pest controllers, not ghostbusters. Yet as the evil from the black hole threatens to overwhelm the entire cosmos, the Alien Hunters find themselves staring into the darkness . . . and finding terror.","amazon:B00XV4FMZ0,isbn:9781927601525,grvotes:293,goodreads:25770776","eng","LCienciaFiccion","eng","","","","Ambientacion · Espacial/Space opera, Tono · Oscuro","","Ciencia Ficción","100","Aventura espacial con sombras alienígenas en un observatorio.","Alien Hunters","1.0"
"La Invasión","K. A. Applegate","Ambientacion · Espacial/Space opera, Dinamica · Grupo variopinto/Ragtag, Subgenero · Romance alienigena/Sci-fi","Animorphs","1.0","A veces pasan cosas extrañas. Y, sino, preguntádselo a Jake.   Una tarde sus amigos y él vieron un curioso resplandor en el cielo.   La luz procedía de una nave extraterrestre que llegaba para advertirles de que la invasión había comenzado","isbn:9780439056021,grvotes:19636,amazon:0439056020,goodreads:125334","spa","LCienciaFiccion","spa","","","English.Science Fiction.Space Opera, Themes.Aliens, Themes.Ragtag Team","Subgenero · Poder alienigena, Subgenero · Supervivencia, Ambientacion · Espacial/Space opera","","Ciencia Ficción","100","Serie de ciencia ficción sobre invasión alienígena y metamorfosis animal.","Animorphs","1.0"
