title,authors,tags,series,series_index,comments,languages,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"To Find a Wonder","Jennifer Carson","_Biblioteca.Fantasia.Contemporanea, young adult fantasy","","1.0","Mortimer is the best squire in Sir Emberly’s troops, but his liege refuses to recommend him for promotion to knighthood. When Mortimer demands to prove his knight-worthiness, Sir Emberly charges him with an impossible task—finding a wonder in five days. With the help of his faithful mare, a scatterbrained wizard, a frog prince and a very special vegetable, Mortimer creates his own wonder—the first dragon to ever breathe fire! How much trouble could one fire-breathing creature cause anyway? Mortimer certainly discovers and learns along the way that being a knight is more than being talented with a sword.","eng","young adult fantasy","","","","90","Lighthearted fantasy about a squire creating the first dragon.","",""
"A Winter's Night","Rie McGaha","Fantasy, _Biblioteca.Fantasia.Contemporanea","","1.0","Four sisters discover that they are born into a line of women with powers to control the Elements. Plucked from their normal college lives and thrust into a battle to save the Earth, can they defeat the evil Montatre? The publisher is donating 100% of the royalties of this work through December 31st to the author, who lost everything she owned in a fire in June. Cover donated by Dara England.","eng","Fantasy","Subgenero · Fantasia urbana, Paranormal · Brujas/Magos, Subgenero · Young adult/Juvenil","","Paranormal","90","Elemental powers discovered by sisters, college setting, battle evil.","",""
"Blood Crimes","J. C. Hay","Fantasy, _Biblioteca.Fantasia.Contemporanea","Pathfinder Tales Short Fiction","3.0","In the dead city of Mechitar, where vampires and zombies rub shoulders with still-living citizens, life—or the lack thereof—is a delicate balance. For plucky thief Omaire, it's a perfect setting for a girl with quick hands and even quicker feet who's looking to grab a little cash. But when her bumbling ghoul associate brings her into contact with a human Pathfinder disguised as a zombie, things quickly become a whirlwind of crime lords, covert scholars, and human chattel raised to the slaughter. Can the quick-witted rogue stay one step ahead of the competition, or is she destined to join the ranks of the shambling dead? From author J. C. Hay comes an urban adventure in a city of the dead, set in the award-winning world of the Pathfinder campaign setting.","eng","","","","","90","Aventura en ciudad muerta del universo Pathfinder con vampiros y zombis; fantasía sin romance central.","",""
"Presagios y grietas","Benjamin van Ammers Velázquez","_Biblioteca.Fantasia.Contemporanea","Razas, Acero Y Sombras","1.0","Año 1362 del Calendario Continental, 1891 de la Existencia Documentada. El Emperador Belvann VI pasa sus días inmerso en una vorágine de placeres, ajeno a las maquinaciones de Húguet Dashtalian, Cónsul de la provincia de Rex-Drebanin, que ha establecido alianzas impensables.  
Ecos de una guerra como El Continente no ha conocido, resuenan en el Este. Las tinieblas avanzan por el Norte y extinguen toda vida que encuentran a su paso. Y al Oeste, tras un letargo de milenios, un poder antiguo ha despertado, ávido de muerte y destrucción.  
Un mundo ficticio, varias facciones en conflicto y una fuerza sobrenatural que amenaza con desatarse. Estas son las premisas que toma el autor como punto de partida para construir un relato de conspiraciones, guerras, intriga y aventuras. Una historia de hombres, mujeres y monstruos; de amor y dolor. De fantasía épica.  
Presagios y grietas es la primera novela de Benjamín Van Ammers Velázquez (Valencia, 1974).
","spa","Fantasy","Subgenero · Fantasia epica, Tono · Oscuro","","Fantasía","100","Fantasía épica con imperio, guerra y fuerzas oscuras, sin romance central.","",""
"The Only Ones","Aaron Starmer","Fiction, Childrens, _Biblioteca.Fantasia.Contemporanea, New Experience, novel, Social Themes, Fantasy, Magic, Visionary & Metaphysical","","1.0","""Call it coincidence, call it fate. This is the place you come. There's no one else. This is the entire world.""These words welcome Martin Maple to the village of Xibalba. Like the other children who've journeyed there, he faces an awful truth. He was forgotten.When families and friends all disappeared one afternoon, these were the only ones left behind. There's Darla, who drives a monster truck, Felix, who uses string and wood to rebuild the Internet, Lane, who crafts elaborate contraptions, and nearly forty others, each equally brilliant and peculiar.Inspired by the prophesies of a mysterious boy who talks to animals, Martin believes he can reunite them with their loved ones. But believing and knowing are two different things, as he soon discovers with the push of a button, flip of a switch, turn of a dial . . .From the Hardcover edition.
","eng","Childrens, Fantasy, Fiction, Magic, New Experience, Social Themes, Visionary & Metaphysical","","","Ficción general","60","Supervivencia infantil post-desaparición; tono literario, sin género claro.","",""
"Age of Legend","Edited by Christian Dunn","Fantasy, Anthology, _Biblioteca.Fantasia.Contemporanea","","1.0","The dark origins of the Warhammer World are soaked in blood. Epic wars between kindred races reshaped continents, vast civilisations rose and fell, the dead walked the earth in legions. This is an age of mighty heroes whose like will never be seen again, such as the mangod Sigmar and Caledor, the Phoenix King of the elves. It is also an era of dread villains like the Witch-King Malekith and Nagash, the Lord of the undead. In these troubled times, dragons still flock the skies and magic exists that can doom or save the world.
  

CONTENTS
A Small Victory - Paul S. Kemp
Bloodraven - Sarah Cawkwell
City of Dead Jewels - Nick Kyme
The Last Charge - Andy Hoare
The Ninth Book - Gav Thorpe
The Gods Demand - Josh Reynolds
Plague Doktor - C.L. Werner
The City is Theirs - Philip Athans
The Second Sun - Ben Counter
Aenarion - Gav Thorpe
","eng","Fantasy, Anthology","Subgenero · Fantasia epica, Tono · Oscuro","","Fantasía","100","Antología de fantasía épica en el mundo de Warhammer","Warhammer","1.0"
"Web of the Spider Queen","John Grover","_Biblioteca.Fantasia.Contemporanea","Song of the Ancestors","1.0","THE REBIRTH OF EVIL. A REALM IN PERIL. AN UNSTABLE ALLIANCE TO SAVE IT ALL.  Her name is Sinnia, she is the Queen Mother of dark spiders and she has returned to Orum to finally conquer the one world that eludes her grasp.  Nix, the leader of the last nation of Elves, unites the people of Orum to make one last stand. Elves, Fairies and Amazons must work together to stop the monstrous queen from stealing the very essence of their beloved realm. It's a tale of fantasy action and adventure as massive armies make their last stand on bloodied battlefields and the leaders of the realm embark on a perilous quest of epic proportions and self-discovery.  Yet, the world of Orum is not all that it seems for it harbors an ancient secret that could shatter the uneasy alliance of its people and lead them down even darker paths that will change the realm forever.  The Orum Chronicles    Book 1: Web of the Spider Queen    Book 2: Ballad of the Fallen    Book 3: The Ashes of Orum","eng","","Subgenero · Fantasia epica","","Fantasía","95","Fantasía épica con elfos, hadas y amazonas; sin romance central.","The Orum Chronicles","1.0"
"Angelus","Mary C. Moore","Fantasy, Paranormal, Thriller, Suspense, Science Fiction, _Biblioteca.Fantasia.Contemporanea","","1.0","Angels. Demons. Creatures of myth and legend. Or so they would like you to believe. Look closely, that curly hair may be covering horns, or that long jacket could be hiding wings. They walk amongst us, and they are just as human. Genus: Homo, species: angelus. Just as mortal as you or I. Vulnerable. Endangered. But not yet extinct. And Sarah Connelly's job is to ensure they survive.","eng","Fantasy, Paranormal, Thriller, Suspense, Science Fiction","Subgenero · Fantasia urbana, Paranormal · Angeles y demonios","","Paranormal","80","Angels and demons living among us, protagonist ensures their survival.","",""
"The Darkest Midnight in December","Jana Denardo","Paranormal, Fantasy, _Biblioteca.Fantasia.Contemporanea","Soldiers of the Sun","1.0","The year is 1930, and something is hunting infants and young couples in Economy Village, PA. When a local priest begins to suspect a demon may be the culprit, the sheriff calls in a team of Soldiers from the Sun. Caleb, Agni, Temple, and Li specialize in demon hunting, but they can't rule out an old religious sect as the true culprit. Prejudice, distraught parents, and angry townspeople don't make the team's job any easier. And if something goes wrong, they're on their own, because by the time their backup arrives, it will be too late.","eng","","Subgenero · Fantasia urbana, Paranormal · Angeles y demonios","","Fantasía","90","Historical urban fantasy with demon hunters.","",""
"El valle de Laudine","Yolanda Cañizares Rodriguez","_Biblioteca.Fantasia.Contemporanea","","1.0","En lo mas profundo de un valle, una civilización oculta a los ojos del mundo, espera la llegada del Elegido. Ellos son los guardianes de un enigma que se ha mantenido en secreto desde hace siglos. Gilian se ve arrastrado hasta allí para ayudar a su familia que se encuentra en grave peligro. En su aventura hacia la libertad descubre que existe otro mundo, otra forma de vida, otra verdad en la que él tiene un papel muy importante. El protagonista debe elegir entre un sueño y la realidad. El dilema surge cuando el sueño se convierte en pesadilla y la realidad en un sueño.","spa","Fantasy","","","","50","Civilización oculta y elegido; sinopsis vaga, parece fantasía sin romance.","",""
"The Witch Hunter's Gauntlet","B. A. Schulte","Fantasy, _Biblioteca.Fantasia.Contemporanea, Young Adult","Age of Heroes","1.0","Not every hero is lucky enough to be born a mutant, wizard, or demi-god.  Five years ago Samantha Hathaway’s archaeologist parents died while saving the world and she left her life in the secret world of magic, monsters, and mad scientists behind for the quiet simplicity of suburbia. But now, at age fourteen, the world class couch potato finds out she has inherited a spot at the brand new Miller's Grove Academy, a school designed to train a wide range of the best and brightest teens into the leaders of the 21st Century.  Instead of the usual cliques of geeks, nerds, jocks, and cheerleaders she was prepared to deal with in high school, Sam finds herself the least talented student in a school full of video game champions, eccentric inventors, monster hunters, pop stars, and wannabe world emperors.  As if things weren't bad enough she is framed for the theft of a powerful magical artifact that could spark a war between the forces of science and magic. With both sides gearing up for battle it is up to Sam and her new friends to find the real thief, prevent a war, and confront the most powerful sorcerer in history.  Worst. Freshman Year. Ever.","eng","Fantasy, Young Adult","Subgenero · Young adult/Juvenil, Ambientacion · Academia magica/Dark academia","","Fantasía","90","Young adult fantasy adventure with magic and mystery.","",""
"Apprentice Cat","Virginia Ripple","magic cats, fantasy young adult, _Biblioteca.Fantasia.Contemporanea, Young Adult, fantasy books, Christian Fiction, christian fantasy, Amazon, Fantasy, talking cat, cat magic","Toby's Tale","1.0","Toby is a young tom who dreams of becoming an apprentice cat, a feline partnered with an apprentice human mage, at the King’s Academy of Mages. When he is partnered with Lorn Ribaldy, the nephew of known traitor Master Hecktor Ribaldy, he learns his dreams are in jeopardy. There are those who want to keep undesirables out and that includes Lorn and anyone associated with him. In a meeting with Head Master Cat Meredith and Head Master Mage Jalen, Toby and Lorn are offered a way to change their status from provisional to permanent: find out why Toby’s father disappeared during a standard recon mission for the High Council. Now all they have to do is keep up with their homework and survive a little espionage.
","eng","talking cat, cat magic, magic cats, Christian Fiction, Christian fantasy, fantasy books, fantasy young adult","Ambientacion · Academia magica/Dark academia, Tono · Cozy/Ligero","","Fantasía","80","Fantasy about a cat apprentice mage at an academy.","",""
"Summer of the Mariposas","Guadalupe Garcia McCall","butterfly, mariposas, butterflies, aztec, JUV037000 JUVENILE FICTION / Fantasy & Magic, JUV013070 JUVENILE FICTION / Family / Siblings, JUV011030 JUVENILE FICTION / People & Places / United States / Hispanic & Latino, _Biblioteca.Fantasia.Contemporanea","","1.0","""WHEN ODILIA AND HER FOUR SISTERS FIND A DEAD BODY IN THEIR SWIMMING HOLE, they embark on a hero’s journey to return the dead man to his family in Mexico. But returning home to Texas turns into an odyssey that would rival Homer’s original tale. 	With the supernatural aid of ghostly La Llorona via a magical earring, Odilia and her little sisters travel a road of tribulation to their long-lost grandmother’s house. Along the way, they must outsmart a witch and her Evil Trinity: a wily warlock, a coven of vicious half-human barn owls, and a bloodthirsty livestock-hunting chupacabras. Can these fantastic trials prepare Odilia and her sisters for what happens when they face their final test, returning home to the real world, where goddesses and ghosts can no longer help them?  	Summer of the Mariposas is not just a magical Mexican American retelling of The Odyssey, it is a celebration of sisterhood and maternal love.""","eng","butterfly, mariposas, butterflies, aztec, JUV037000 JUVENILE FICTION / Fantasy & Magic, JUV013070 JUVENILE FICTION / Family / Siblings, JUV011030 JUVENILE FICTION / People & Places / United States / Hispanic & Latino","Subgenero · Young adult/Juvenil, Paranormal · Brujas/Magos","","Paranormal","70","Sisters on a journey with La Llorona and chupacabras, set in real world with magic.","",""
"Forgotten","Lyn Lowe","_Biblioteca.Fantasia.Contemporanea, Epic, Literature & Fiction, Fantasy, Science Fiction & Fantasy","Blood and Fire","2.0","They stole his family, destroyed his home and made him a slave. They took his life away as if it were nothing. They burnt his destiny to ashes.  They tried to break him and make him Hollow.   That was a mistake.  Kaie won't let the Urazin Empire take anything else from him. Survival isn't enough anymore. He's going to be free.  He's kept count of every second of his enslavement. He will see them pay for every single one in blood. And Kaie will teach anyone who stands in his way what it means to cross the Catalyst.  Even the gods.  He will be free.","eng","Literature & Fiction, Science Fiction & Fantasy, Fantasy, Epic","Tono · Oscuro, Tono · Cautiverio/Trata","","Fantasía","90","Dark fantasy revenge story with magic.","",""
"Los viajeros de la noche","Helene Wecker","Ficción Histórica, Fantasy.Magical Realism, _Biblioteca.Fantasia.Contemporanea","The Golem and the Jinni","1.0","El impresionante debut de Helene Wecker narra la historia de dos criaturas sobrenaturales en el Nueva York de 1899. Chava es un golem, un ser hecho de arcilla al que dio vida un extraño hombre familiarizado con la magia negra cabalística. Cuando su amo muere a bordo en el trayecto transoceánico desde Europa, queda desorientada y a la deriva mientras el barco sigue su curso hasta el puerto de Nueva York. Ahmad es un genio, un ser de fuego nacido en el desierto de la antigua Siria. Atrapado en un viejo jarro de cobre por un hechicero beduino varios siglos atrás, es liberado por accidente en el taller de un hojalatero del Bajo Manhattan. En su lucha por abrirse camino en ese lugar nuevo y extraño, la golem y el genio procuran encajar con sus vecinos, todos ellos inmigrantes, encubriendo su verdadera naturaleza. Al conocerse por casualidad, las dos criaturas inician una improbable amistad, una unión quebradiza que desafía sus naturalezas opuestas, hasta la noche en que un horrible incidente las devuelve a sus universos respectivos. Sin embargo, una potente amenaza volverá a reunir pronto a ambos: estará en juego su existencia, lo que les obligará a tomar una fatídica decisión.
","spa","Fantasy, Magical Realism, Historical Fiction","","","Fantasía","95","Historical fantasy with golem and jinni in 1899 New York.","",""
"Acero y fuego","Abel Murillo","_Biblioteca.Fantasia.Contemporanea","El legado de la Profecia","2.0","La aventura de Velthen y el lobo blanco no ha hecho más que comenzar...   
Junto a los montaraces de Lagoscuro y su fiel amigo Dálfvar emprende un viaje hacia un destino incierto que le obligará a tener que aceptar el lugar que ocupa en esta historia.   
Mientras, el ejército del norte avanza de forma amenazante, poniendo como primer objetivo la tierra de Onun, sumida en el caos y la zozobra tras la muerte de su rey y la desaparición de su princesa.   
La Tierra Antigua afronta su hora más oscura sumida en traiciones, conjuras, intrigas y venganzas. La negra sombra de la decadencia oscurece el porvenir de todos los pueblos libres.   
¿Será cierta la Profecía de los elfos? ¿Aparecerá el Elegido? El fin comienza a acercarse... 
Con su segunda novela, y continuación de la trilogía El Legado de la Profecía, Abel Murillo nos muestra su progreso como escritor y cómo aprovecha la base y la experiencia que le dio El Lobo Blanco para seguir desarollando una historia que crece por momentos. 
""Si El Lobo Blanco nos prometía cosas muy buenas, Acero y Fuego hace esas promesas realidad y va tejiendo los argumentos como hilos de un tapiz magnífico"". Pedro Camacho, autor de Cuentos del Círculo de Bardos. 
""Acero y Fuego es un digno sucesor de El Lobo Blanco, superándole en muchos aspectos. Abel Murillo sigue con su progresión dando muestras de una gran narración y de ser capaz de jugar con la tensión y el ritmo de una manera magistral."" Josema Beza, Los Octaedriles y LiF. 
""En Acero y Fuego he vivido auténtica acción épica junto a memorables personajes, entre historias entrelazadas con maestría que te sumergen en una trama donde el bien y el mal persiguen lo mismo: triunfar"". Lorenn Tyr, ilustradora. 
Esta re-edición incluye:   
\- Nueva portada obra de Raquel Cornejo.   
\- Rediseño del mapa por Lorenn Tyr.   
\- Ilustraciones de los personajes diseñados por Nacho Tenorio.   
\- Texto revisado por Pedro Camacho.
","spa","Fantasy","Subgenero · Fantasia epica, Tono · Oscuro, Ambientacion · Corte/Intriga palaciega","","Fantasía","100","Mundo secundario de alta fantasía con elfos, profecías y guerra","El Legado de la Profecía","1.0"
"Demonworld","Kyle B. Stiff","demons, Fantasy, Fiction, horror, Monsters, Science Fiction, _Biblioteca.Fantasia.Contemporanea","Demonworld","1.0","Demonworld is the first in a ten-book series that chronicles the life of Wodan, a son of laborers and heir to an amazing destiny. Wodi grew up hearing tales of the outside world. Living in an isolated, technologically advanced city, it was hard to imagine that the rest of humanity suffered at the hands of sadistic, godlike monsters called flesh demons. Then Wodi finds himself exiled into the wasteland, victim of a death sentence handed out for no reason that he can understand. Moving boxes in his father's store and attending the local university did nothing to prepare him for the horrors that lay ahead. Unfortunately for the ones behind his exile, the wasteland turns Wodi into a force to be reckoned with. His journey through baking, wind-tortured deserts and poisoned oases wakes something up inside of him, and Wodi learns that the human spirit has strength that few can imagine... and also comes equipped with terrifying weapons that those who crossed him cannot even begin to comprehend.
","eng","demons, Fantasy, Fiction, Horror, Monsters, Science Fiction","Tono · Oscuro","","Fantasía","70","Mundo postapocalíptico con demonios, sin romance central.","Demonworld","1.0"
"Call Me Grim","Elizabeth Holloway","teen fantasy, young adult fantasy, teen fantasy and science fiction, grim reaper, death and dying, Friendship, creepy, _Biblioteca.Fantasia.Contemporanea","Call Me Grim","1.0","The truck should have turned Libbi Piper into a Libbi Pancake &#8212; and it would have, too, if Aaron hadn't shown up and saved her life. The problem? Aaron's the local Grim Reaper... and he only saved Libbi's life because he needs someone to take over his job. Now, Libbi has two days to choose between dying like she was supposed to, or living a lonely life as Death Incarnate. Talk about a rock and a hard place. And the choice goes from hard to sucktastic when her best friend shows up marked: condemned as a future murderer. Libbi could have an extra week to stop the murder and fix the mark... but only if she accepts Aaron's job as Reaper, trapping herself in her crappy town forever, invisible and inaudible to everyone except the newly dead. But, if she refuses? Her best friend is headed straight for Hell.","eng","teen fantasy, young adult fantasy, teen fantasy and science fiction, grim reaper, death and dying, Friendship, creepy","","","Paranormal","80","Mundo real con Grim Reaper. Sin romance central, trama de elección y misterio.","",""
"Burned","Krista Wayment","Fantasy, dragon, dragons, High Fantasy, Adventure, Magic, Friendship, teen, children, Coming of Age, _Biblioteca.Fantasia.Contemporanea","Dragons' Trust","2.0","Renick, apprentice dragonhand, discovers that nothing can stand in the way of a dragon’s thirst for revenge. Caught between an outcast dragon and his human prey, Renick and his friends must find a way to appease the dragon’s burning anger. Together, Renick, Thane and Lainey learn new magic, rescue a kidnapped friend, and evade the dragon hunters while the try to prevent a war. What they find is that not all burns can be healed.","eng","Fantasy, dragon, Dragons, high fantasy, Adventure, Magic, Friendship, Teen, children, Coming of Age","Paranormal · Dragones","","Fantasía","90","Fantasy with dragons, no romance central.","",""
"Dawn of Wonder","Jonathan Renshaw","Fiction, Fantasy, _Biblioteca.Fantasia.Contemporanea","Wakening","1.0","When a high-ranking officer gallops into the quiet Mistyvales, he brings a warning that shakes the countryfolk to their roots. But for Aedan, a scruffy young adventurer with veins full of fire and a head full of ideas, this officer is not what he seems. 
The events that follow propel Aedan on a journey that only the foolhardy or desperate would risk, leading him to the gates of the nation’s royal academy – a whole world of secrets in itself. 
But this is only the beginning of his discoveries. Something is stirring in the land, something more ominous than the rising threat of hostile nations. Fearful travellers whisper of an ancient power breathing over Thirna, changing it, waking it. In the very heart of these stirrings, Aedan encounters that which defies belief, leaving him speechless with terror – and wonder. 
","eng","Fiction, Fantasy","Subgenero · Fantasia epica","","Fantasía","100","Joven en academia real enfrentando un poder antiguo.","",""
