title,authors,tags,series,series_index,comments,identifiers,languages,library_name,#world,#subtitle,#subjects,#title_opf,#clasificacion,#libreria
"The Terrible Truth of Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","8.0","Marianne’s search for the dangerous beast hiding in Faerywood Forest comes to a sudden halt when a body is discovered in the lake near her aunt’s lodge. With no shortage of murder suspects, can Marianne ferret out the truth and capture the real killer, all while getting to the bottom of a local myth as old as the town itself?","goodreads:45794687,amazon:B07R975Q1J,mobi-asin:B07R975Q1J","eng","LFantasia","","","Paranormal Cozy Mystery","The Terrible Truth of Faerywood Falls","Subgenero · Cozy mystery, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"A Mysterious Murder in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","7.0","**There’s a new monster in town ...** The appearance of a new and deadly beast in Faerywood Forest is followed by the arrival of a mysterious monster hunter, a man who seems as dangerous as the creature he stalks. If that’s not bad enough, a local society has formed, dedicated to unmasking all of the magically gifted folk in town. When the society’s president turns up dead, can Marianne capture a murderer, without becoming the next target of the monster hunter and his silver-tipped arrows?","amazon:B07QDKFRQC,goodreads:44907177,mobi-asin:B07QDKFRQC","eng","LFantasia","","","Paranormal Cozy Mystery","A Mysterious Murder in Faerywood Falls","Subgenero · Cozy mystery, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"A Supernatural Secret in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","6.0","**How to lift a curse ...** Marianne has finally had a breakthrough in her quest to uncover the truth about her parentage and her own magical abilities. With help from a restless ghost, it looks like the truth is within her grasp. But when a lost book of spells reappears and a deal with a cunning spell weaver backfires, Marianne finds herself scrambling to solve yet another mysterious death – one that could reveal more than she wants to know about a man she’s come to care for...","goodreads:44312463,mobi-asin:B07P3SGM88,amazon:B07P3SGM88","eng","LFantasia","","","Paranormal Cozy Mystery","A Supernatural Secret in Faerywood Falls","Subgenero · Cozy mystery, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"The Songs of Sorrow","A. H. Anderson","English.Fantasy.Epic Fantasy, Themes.Fae, Themes.Marriage of Convenience, Themes.Morally Gray Characters, Themes.Betrayal, Themes.Magic","Tales of Lahan","3.0","**MILD DAWNS CRUMBLE TO BITTER DUSKS.**  
In the woodland realm of Silvrout, Cyril battles to safeguard his family while Celia clings desperately to a fading love.   
Far away on the Yellow Isle, Magni Kerr grapples with seismic changes in his mining camp, while Venali Heiren, who has traversed the treacherous Sand Sea and experienced a world unknown, now tenaciously forges his path amidst the mysteries of a powerful new realm.   
Amidst it all, Aela finds herself entangled in the web of grief as the haunting call of destiny tugs at her from every direction.   
Haven faces the imposing might of her father's power, embarking on a perilous expedition alongside a group of freedmen. Together, they traverse the Mainland's perils, meticulously planning an infiltration into Lahan.   
In this riveting third instalment, their relentless pursuit of deepest desires exacts a heavy toll, as losses are suffered and sacrifices made in an unwavering quest to claim that which is held dear.   
**THE SONGS OF SORROW is the third book in the TALES OF LAHAN series.**  
**Reading order for the TALES OF LAHAN**   
Book 1: In the Eye of the Crow   
Book 2: The Plight of the Isle   
Book 3: The Song of Sorrow   
Book 4: The Unyielding   
Book 5: The Shielded Place
","isbn:9781738869947,amazon:1738869946,goodreads:215607483","eng","LFantasia","","","Epic Fantasy, Young Adults (13-18)","The Songs of Sorrow","",""
"The Elder","Phillipa Albion","English.Fantasy.Dark Fantasy","Lights of the Seven Kingdoms","1.0","A dark fantasy series. Aurora is a foot soldier forged in brutality, who crosses over to the immortals realm to save her sister
","mobi-asin:B0D56ZF31V,amazon:B0D56ZF31V,goodreads:213856271","eng","LFantasia","","","dark fantasy","The Elder","",""
"The Plight of the Isle","A. H. Anderson","English.Fantasy.Epic Fantasy, Themes.Fae, Themes.Marriage of Convenience, Themes.Morally Gray Characters, Themes.Betrayal, Themes.Magic","Tales of Lahan","2.0","**WHERE SLAVES ARE KINGS AND KINGS ARE SLAVES.**  
Amidst the towering mountains of Tairia, Haven has sought refuge with a mysterious guardian for a year, but destiny beckons her to reclaim her family's stolen legacy. Time is slipping away, and her path leads her to the enigmatic Yellow Isle, where the secrets of the desert lands unfurl before her and Prince Felaern.   
On the Mainland, Vaeril grapples with newfound powers, while Aela is thrust into a world of treacherous politics, entangled in the machinations of ambitious lords. Bardia, bound by a fateful pact with King Venali of Ivaran, faces encroaching enemies from every direction.   
As danger looms, Cyril rises to protect those he loves in Lahan and ascends to a position of new authority, conflicted between subduing his king and pleasing the people he's been given to rule over.   
Where alliances shift like shadows and betrayal lurks at every turn, the journey of intertwined fates ignites a captivating tale of courage, sacrifice, and the unyielding pursuit of destiny.   
**THE PLIGHT OF THE ISLE is the second book in the TALES OF LAHAN series.**  
**Reading order for the TALES OF LAHAN**   
Book 1: In the Eye of the Crow   
Book 2: The Plight of the Isle   
Book 3: The Song of Sorrow   
Book 4: The Unyielding
","goodreads:201087208,amazon:B0CM4L4KZC","eng","LFantasia","","","Epic Fantasy, Young Adults (13-18)","The Plight of the Isle","Subgenero · Fantasia epica","Fantasía"
"In the Eye of the Crow","A. H. Anderson","English.Fantasy.Epic Fantasy, Themes.Fae, Themes.Marriage of Convenience, Themes.Morally Gray Characters, Themes.Betrayal, Themes.Magic","Tales of Lahan","1.0","AS A PRINCESS, SHE WAS A BRIDGE. AS A QUEEN, SHE'S A HAMMER.   
With her marriage mending the ancient divide between Elves and Humans, Nara Crawforde knows a thing or two about political prowess. From the moment the queen’s crown touched her head, Nara learned she had to be willing to sacrifice everything for the good of her kingdom.   
Now, unrest is brewing in Lahan. Despite her uncle's claim that the enemy lies in the rival land of Grunid, Nara fears the real threat lurks within her own family.   
When her eldest daughter, Princess Aela, disappears from her chambers, Nara struggles to hold onto her inheritance as traitors step out of the shadows and reveal themselves as some of her closest allies.   
Fans of The Folk of the Air and the Lord of the Rings will love In the Eye of the Crow and its immersive fantasy tale.   
IN THE EYE OF THE CROW is the first book in the TALES OF LAHAN series.   
Reading order for the TALES OF LAHAN series:   
Book 1: In the Eye of the Crow   
Book 2: The Plight of the Isle   
Book 3: The Song of Sorrow   
Book 4: The Unyielding
","amazon:B0BXT4SVNH,isbn:9781738869916,goodreads:123245500","eng","LFantasia","","","Young Adults (13-18), Epic Fantasy","In the Eye of the Crow","Ambientacion · Corte/Intriga palaciega","Fantasía"
"The Undetectables","Courtney Smyth","English.Fantasy.Urban Fantasy, Themes.Witches, Themes.World Within a World, Themes.Amateur Detective, Themes.Ragtag Team, Themes.Found Family, Themes.LGBTQIA","The Undetectables","1.0","Be gay, solve crime, take naps—A witty and quirky fantasy murder mystery if a folkloric world of witches, faeires, vampires, trolls and ghosts, for fans of Magic for Liars by Sarah Gailey and T. J. Klune's Under the Whispering Door.   
A magical serial killer is stalking the Occult town of Wrackton. Hypnotic whistling causes victims to chew their own tongues off, leading to the killer being dubbed the Whistler (original, right?). But outside the lack of taste buds and the strange magical carvings on the victims’ torsos, the murderer leaves no evidence. No obvious clues. No reason – or so it seems.   
Enter the Undetectables, a detective agency run by three witches and a ghost in a cat costume (don’t ask). They are hired to investigate the murders, but with their only case so far left unsolved, will they be up to the task? Mallory, the forensic science expert, is struggling with pain and fatigue from her recently diagnosed fibromyalgia. Cornelia, the team member most likely to go rogue and punch a police officer, is suddenly stirring all sorts of feelings in Mallory. Diana, the social butterfly of the group, is hitting up all of her ex-girlfriends for information. And not forgetting ghostly Theodore – deceased, dramatic, and also the agency’s first dead body and unsolved murder case.   
With bodies stacking up and the case leading them to mysteries at the very heart of magical society, can the Undetectables find the Whistler before they become the killer’s next victims?
","amazon:1803364785,google:LCykEAAAQBAJ,isbn:9781803364780,goodreads:63840324,fictiondb:the-undetectables~courtney-smyth~3175442,mobi-asin:8578f23b-2b77-4b01-a3a1-48192e53abb6,ff:s/courtney-smyth/undetectables","eng","LFantasia","","","Recomended Age.Adults (18+), English.Fantasy.Mystery Fantasy, Themes.LGTBIQ+, Themes.Explicit Sex","The Undetectables","Subgenero · Fantasia urbana, Paranormal · Brujas/Magos, Paranormal · Vampiros, Paranormal · Fae/Feerico, Subgenero · Policiaco/Detective, Representacion · LGBTQ+ (FF), Tono · Trauma/Salud mental, Tono · Cozy/Ligero","Fantasía"
"Mr. Yow Goes to the Island","J. B. Aspen","English.Fantasy.Urban Fantasy, English.Mystery / Thriller.Cozy Mystery, Themes.Magical Pets/Familiars","Magical Midlife in Retrograde","2.0","As Mercury's cat guardian, my main job has been to protect her from magic. Not that I remember why...   
So when she won a free trip to the Phoenix Inn on an Island in Wisconsin, I didn't worry. But now, I know better. The Phoenix Inn isn't a simple private hotel on a lake, no, it's so much more. Now, Mercury is discovering the one thing I know is dangerous...her magic! And I'm tangled like a kitten in a ball of string, embroiled in the middle of a brand new life of mystery, mayhem and possibly murder.   
Good thing a cat's got nine lives.   
Join Mercury and her cat Mr. Yow, as she discovers her hidden past and the world of magic waiting for her at the Phoenix Inn.
","goodreads:156686409,mobi-asin:B0BYQZK7B1,amazon:B0BYQZK7B1","eng","LFantasia","","","English.Fantasy.Mystery Fantasy, English.Fantasy.Witches","Mr. Yow Goes to the Island","Subgenero · Cozy mystery, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"Mercury Rising","J. B. Aspen","English.Fantasy.Urban Fantasy, English.Mystery / Thriller.Cozy Mystery, Themes.Magical Pets/Familiars","Magical Midlife in Retrograde","1.0","Midlife—when the magic really begins…   
Happy Birthday and hello Mid-life crisis to me. At forty-five, I thought life was over. Dead-end job, empty nest...it was just me and the cat. But when I lost my house and moved in with my senior citizen mom—that was the icing on my cake. Then, out of nowhere, my luck changed—or so I thought. I won a trip to an Inn...   
Who knew the prize would be learning I’m not just a broke, divorced, empty-nester—I’m a witch.   
Join Mercury a she discovers her hidden past and the world of magic waiting for her at the Phoenix Inn.   
Book one of the Magical Midlife in Retrograde series
","mobi-asin:B0BNLVBF8W,amazon:B0BNLVBF8W,goodreads:105484481","eng","LFantasia","","","English.Fantasy.Mystery Fantasy, English.Fantasy.Witches","Mercury Rising","","Paranormal"
"Witches, Histories, & Murders","Scarlett Moss","English.Mystery / Thriller.Cozy Mystery, English.Fantasy.Urban Fantasy, Themes.Inherited Powers, Themes.Magical Pets/Familiars, Themes.Communicating with the Dead","Paisley Island Cozy Mysteries","1.0","**Phoebe's life was a hot mess, but inheriting an island and the ability to chat with the dead? That's a whole new level of chaos. Not to mention the body in the attic.**  
Phoebe Ellis thought her life was already circling the drain, but attending the funeral of a wealthy author she’s never met with the hopes she was named in the will? That's a new low. Little did she know that this would be the start of a wild and wacky adventure complete with a houseful of familiars, discoveries, and danger.   
Inheriting an island was just the breath of ocean breeze Phoebe needed. But of course, there's always a catch. A family secret that sounds like it was pulled straight from a fantasy novel, and the dearly departed showing up in her dreams for help solving their murder? Sure, why not. And let's not forget about the mystically charged security service on the island willing to hide a body - because what's a good vacation without a little mayhem? Can she and her newfound cousins learn enough magic to help solve the crime?   
If you love a good midlife paranormal whodunnit with plenty of snark, magic, and animals with personality start reading *Witches, Histories, & Murders* before the bodies grow cold. So brew yourself a cup of tea, cozy up with this midlife paranormal mystery, Book One in the *Paisley Island Cozy Mysteries* and prepare to laugh out loud - or maybe just cackle like a witch.
","amazon:B0BWKD1XM7,goodreads:168375517,mobi-asin:B0BWKD1XM7","eng","LFantasia","","","Paranormal Cozy Mystery, Witches","Witches, Histories, & Murders","Subgenero · Cozy mystery, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"Witches, Fishes, & Deaths","Scarlett Moss","English.Mystery / Thriller.Cozy Mystery, English.Fantasy.Urban Fantasy, Themes.Inherited Powers, Themes.Magical Pets/Familiars, Themes.Communicating with the Dead","Paisley Island Cozy Mysteries","2.0","**With her new magical abilities and a budding romance, Phoebe's in a good place. But when a body washes up on the beach, could she lose it all?**  
The island is open for guests, and Phoebe feels like she’s finally found her place, writing a novel in her new beach house. But when a local fisherman’s boat washes ashore and the catch of the day is the fisherman, Phoebe and the Hadley witches are determined to make sure there’s no connection to them or the island. Phoebe attempts to use her powers as a medium to consult with the newly departed for answers. But the poor soul doesn’t even understand he’s dead, let alone know how he met his demise.   
While Phoebe and the others try to balance keeping the peace among the manor guests and searching for a killer, a suspicious storm blows in and Phoebe’s familiar goes missing. In the hunt for the owl, Phoebe discovers hidden cursed ancient treasures that lead her to believe there’s an evil force at work on the island. A hot lead lures her out to a remote part of the island where she’s faced with a power much stronger than her own. Will help arrive in time, or will her bravado leave her magic and potentially her life bound and gagged?   
Join Phoebe and her coven in Scarlett Moss's *Witches, Fishes, & Deaths*, a midlife paranormal cozy mystery that will have you laughing, gasping, and reaching for your wand. With a zoo of familiars, cursed artifacts, and more magic than you can shake a wand at, this book is the perfect potion for a cozy night in. So, grab your broomstick and your sense of humor, and get ready for a wild ride in Book 2 of the *Paisley Island Cozy Mysteries* series.
","goodreads:169109997,mobi-asin:B0C6QWR9D1,amazon:B0C6QWR9D1","eng","LFantasia","","","Paranormal Cozy Mystery, Witches","Witches, Fishes, & Deaths","Subgenero · Cozy mystery, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"Witches, Bridges, & Premonitions","Scarlett Moss","English.Mystery / Thriller.Cozy Mystery, English.Fantasy.Urban Fantasy, Themes.Inherited Powers, Themes.Magical Pets/Familiars, Themes.Communicating with the Dead","Paisley Island Cozy Mysteries","3.0","When premonitions clash with pandemonium, will Phoebe's magic save the day, or just ruffle a few more supernatural feathers?   
Juggling her newfound magic and island life, Phoebe Ellis is just getting comfortable in her new life. What was she thinking? Her latest challenge isn’t finishing the next book as she thought, but a murder on the island's bridge – in the future, no less! Can the Hadley witches outwit fate and save the victim, a sneaky reporter, before her latest article becomes a deadly exposé?   
In the midst of no less chaos than you'd expect at a supernatural convention, the island spirals into a storm of a misplaced manuscript, accusations of theft, and a hurricane that traps everyone faster than a binding spell. With a potential killer lurking and all electronics eerily kaput, it's a race against the clock in a time that isn't theirs.   
Can the witches bridge the gap between the present and the future, or will they be the next victims of this magical menace?   
In Witches, Bridges, & Premonitions , the third book of Scarlett Moss's Paisley Island Cozy Mysteries , expect the unexpected and be prepared for a brew of laughter, gasps, and an absolute magic storm of midlife adventures.   
Don't miss out on this bewitching tale of time-traveling witches and their supernatural shenanigans. Grab your copy today and fasten your seatbelt – this thrill ride is no broomstick flight!
","goodreads:169197521,mobi-asin:B0C6R37LLS,amazon:B0C6R37LLS","eng","LFantasia","","","Paranormal Cozy Mystery, Witches","Witches, Bridges, & Premonitions","Subgenero · Cozy mystery, Paranormal · Brujas/Magos, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"Debunked","Dito Abbott","English.Fantasy.Quest/Adventure Fantasy, English.Fantasy.Humorous Fantasy, English.Fantasy.Children's / Young Adult Fantasy","","1.0","Sometimes adventure knocks. Other times, it kicks the door in.  ""Dearest Alexandria and Ozymandias,   If you are reading this, I have perished. My demise likely involved some manner of spiked pit or curiously fanged beast, so it’s doubtful I suffered long. Do not try to find me—the path is too perilous, and I am lost to the mortal plane. ""  When Alex and Ozzie read their grandfather’s latest “death” letter, they barely blink. Dying six times in two years has to be a record, even for an explorer as incompetent as Sir Quidby Forsythe III.  Faster than you can say “kidnapped by a giant, glowing lizard,” the Forsythe twins are dragged into a world of ancient prophecies, sarcastic swords of legend, mutant slime beasts, and a growing awareness their grandfather might be the greatest explorer in history.  With Skhaar the Annihilator hot on their trail, Ozzie and Alex must solve the mystery of Sir Quidby’s disappearance before they become the final victims of the Forsythe Curse.","goodreads:60744496,amazon:B09Y64W8WF,isbn:9781958072004","eng","LFantasia","","","Action & Adventure, Young Adult Fantasy, Funny, Young Adults (13-18)","Debunked","Subgenero · Fantasia epica, Subgenero · Young adult/Juvenil","Fantasía"
"Shard","A. M. Pierre","English.Science Fiction.Dystopian Fiction, English.Fantasy.Children's / Young Adult Fantasy, Themes.Superpowers, Themes.Found Family","The Shard Trilogy","1.0","In our timeline, the Twin Towers attack was a horrific but isolated terrorist event.   
Not in Kaia's.   
Already living in a society of constant scrutiny and fear, Kaia finds her old life completely destroyed when a routine trip ends with her accused of terrorism and dragged into a new and high stakes world.   
It is a world of lost children and covert ops, and of people with the power to alter the elements themselves, from creating tornadoes of oxygen to shifting the carbon in pencil lead into diamonds..   
Dropped in the middle of this globe-spanning conflict, Kaia could find everything she ever wanted, or she could lose more than she ever thought possible.   
And so could everyone else.   
SHARD is the first volume in a YA Sci Fi/Teens with powers trilogy. Starring a diverse cast in a story filled with heart, humor, suspense, and action, Shard is perfect for fans of Marvel and Mission: Impossible.
","amazon:B091M9Q17K,goodreads:57963937,mobi-asin:B091M9Q17K,isbn:9781955204033","eng","LFantasia","","","Young Adult Fantasy, Young Adults (13-18)","Shard","Subgenero · Superpoderes","Fantasía"
"A Small Town in Southern Illvaria","Acaswell","English.Fantasy.LitRPG, English.Fantasy.Portal / Mirror World Fantasy, Themes.Coming of Age, Themes.Hidden Magic/Powers, Themes.Identity and Belonging","A Budding Scientist in a Fantasy World","1.0","**A young woman must navigate the dangers of a strange new world filled with magic and mystery in this imaginative and highly detailed LitRPG adventure.** When Alice Verianna went to sleep, she was just another teen from the Denver suburbs. She definitely didn’t expect to be transported to a magical alternate dimension, inhabited by monsters and presided over by a mysterious System. Here, people resemble RPG characters and everyone has access to their own status screens.Grappling with the mechanics of the elusive System isn’t the only challenge Alice faces. It seems an underground organization known as the Society of Starry Eyes has taken a particular interest in other dimensions. If they find out about Alice, they will stop at nothing to hunt her down and forcibly extract from her the secrets of her world.Now, in addition to pursuing her own scientific endeavors, as well as learning to harness the magic that surrounds her, Alice must determine the Society’s ultimate intention—and how she ended up here in first place. Before it’s too late . . . **The first volume of the hit LitRPG adventure series—with almost two million views on Royal Road—now available on Kindle, Kindle Unlimited, and Audible!**","isbn:9781039438422,mobi-asin:B0CFW34H98,amazon:B0CFW34H98,goodreads:197025499","eng","LFantasia","","","Action & Adventure, LitRPG Fantasy, Young Adults (13-18)","A Small Town in Southern Illvaria","Subgenero · LitRPG/GameLit","Fantasía"
