title,authors,comments,tags,languages,library_name,series,series_index,#language_code,#info,#world,#clasificacion,#subtitle,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Vendetta Road","Christine Feehan","# 1 New York Times bestselling author Christine Feehan pushes the limits in her next novel in the Torpedo Ink series.  
Isaak ‘Ice’ Koval is on a club mission when he sees a woman who stops him dead in his tracks. Soleil is a sweet, sexy, girl-next-door type. She’s an innocent who should be nowhere near the rough-and-ready world of the Torpedo Ink motorcycle club. But Ice knows Soleil belongs with himand he’ll do whatever it takes to keep her.   
After a life of drifting from one thing to the next, Soleil Brodeur is determined to take control of her life. When her breakup with her manipulative fiancé turns ugly, Soleil searches out the stranger who offered her a lifeline and ends up in a Las Vegas biker bar where she meets a gorgeous, dangerous man straight out of her most secret fantasies.   
High on adrenaline, she finds herself falling faster than she thought possible. But Soleil knows little about the territory she’s stumbled into, and even less about what it really means to be Ice’s woman.
","Ambientacion · Small town, Arquetipo · Mafia, Arquetipo · Moteros/MC, Dinamica · Familia encontrada, Genero · Romance contemporaneo, Paranormal · Vampiros, Publico · Adultos (+18), Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomance","Torpedo Ink","3.0","eng","","","Arquetipo · Moteros/MC, Tono · Picante/Erotico, Dinamica · Protector","","","Romance contemporáneo","95","Tercera entrega de Torpedo Ink, romance contemporáneo de club de moteros con una mujer que busca refugio en el mundo de las MC.","Torpedo Ink","1.0"
"Rocky Mountain Miracle","Christine Feehan","**No Christmas will ever be the same after Cole and Maia meet on a snowy western ranch… Find out why in #1 *New York Times* bestselling author Christine Feehan’s romantic holiday e-novel!** When Cole Steele, a womanizer rumored to have killed his father, meets Maia Armstrong, a veterinarian rumored to practice magic, the sizzling romance could melt all the snow on his Wyoming ranch. And when an injured horse brings them together, Cole can’t help but believe that Maia casts spells on animals—and men. What else could explain the burning passion he feels for her and the thawing of his heart just in time for Christmas?","Ambientacion · Small town, Arquetipo · Vaquero/Western, Dinamica · Familia encontrada, Dinamica · Padre/Madre soltero/a, Genero · Romance contemporaneo, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Ambientacion · Navideno/Festivo, Arquetipo · Vaquero/Western, Tono · Cozy/Ligero","","","Romance contemporáneo","75","Novela corta navideña de Christine Feehan ambientada en un rancho; las referencias a la magia son rumor y no se confirman como sobrenatural, por lo que se clasifica como romance contemporáneo.","",""
"Judgment Road","Christine Feehan","**An outlaw motorcycle club sets up shop next door to Sea Haven in the dangerously sexy new series from #1 *New York Times* bestselling author Christine Feehan.** **A brutal education in a Russian training facility for assassins has taught this group of men one thing:** * * * **It's a long road to redemption.** * * * **JUDGMENT ROAD** As the enforcer of the Torpedo Ink motorcycle club, Reaper lives for riding and fighting. He's a stone-cold killer who turns his wrath on those who deserve it. Feelings are a weakness he can't afford--until a gorgeous bartender gets under his skin...  Near Sea Haven, the small town of Caspar has given Anya Rafferty a new lease on life. And she's desperate to hold on to her job at the biker bar, even if the scariest member of the club seems to have it out for her. But Reaper's imposing presence and smoldering looks just ratchet up the heat.  Anya's touch is everything Reaper doesn't want--and it brands him to the bone. But when her secrets catch up to her, Reaper will have to choose between Anya and his club--his heart and his soul.","Ambientacion · Small town, Arquetipo · Mafia, Arquetipo · Moteros/MC, Dinamica · Familia encontrada, Genero · Romance contemporaneo, Paranormal · Vampiros, Publico · Adultos (+18), Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomance","Torpedo Ink","1.0","eng","","","Arquetipo · Moteros/MC, Tono · Picante/Erotico, Dinamica · Protector","","","Romance contemporáneo","95","Segunda entrega de Torpedo Ink, romance contemporáneo de moteros con elementos oscuros pero sin fantasía.","Torpedo Ink","1.0"
"Desolation Road","Christine Feehan","Take the ride of your life with the Torpedo Ink motorcycle club in this thrilling romance novel from #1 New York Times bestselling author Christine Feehan.   
Torpedo Ink is Aleksei 'Absinthe' Solokov's whole life. They're his brothers, his family and his everything. But that doesn't stop him from wanting something that only belongs to him. That's why the tough biker has spent the last six weeks at the library, reading every book he can get his hands on and watching the prim and proper librarian who makes his blood rush.   
For the past six weeks, Scarlet Foley has been fantasizing about the handsome, tattooed man whose eyes follow her every move. She senses he's dangerous. She wants him to get close enough to touch. She wishes she could let him know the real woman, not the one she pretends to be. But Scarlet has a plan to carry out, and she can't afford any distractions.   
Absinthe is well aware that Scarlet is hiding something. She's a puzzle he intends to solve, piece by intoxicating piece . . .   
Find out why readers are OBSESSED with Christine Feehan   
'The queen of paranormal romance' USA Today   
'After Bram Stoker, Anne Rice and Joss Whedon, Christine Feehan is the person most credited with popularizing the neck gripper' Time   
'Feehan has a knack for bringing vampiric Carpathians to vivid, virile life in her Dark Carpathian novels'Publishers Weekly   
'The erotic, gripping series that's defined an entire genre! Must reading that always satisfies!' J.R. Ward
","Ambientacion · Small town, Arquetipo · Mafia, Arquetipo · Moteros/MC, Dinamica · Familia encontrada, Genero · Romance contemporaneo, Paranormal · Vampiros, Publico · Adultos (+18), Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomance","Torpedo Ink","4.0","eng","","","Arquetipo · Moteros/MC, Tono · Picante/Erotico, Dinamica · Protector, Dinamica · Obsesion/Stalker","","","Romance contemporáneo","95","Primera entrega de la serie Torpedo Ink de Christine Feehan, romance contemporáneo de club de moteros sin elementos paranormales.","Torpedo Ink","1.0"
"Surrender","Lora Leigh","Book 1 in the Bound Hearts series Cole has wanted Tess for years. And he's warned her of this several times. He's also warned her HOW he wants her. Tied down in his bed, under his domination, surrendering to his desires...
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","1.0","eng","","","Tono · Picante/Erotico, Tono · Morally grey/Antiheroe","","","Romance contemporáneo","95","Primer libro de Bound Hearts, centrado en dominación y deseo.","Bound Hearts","1.0"
"Submission","Lora Leigh","Book 2 in the Bound Hearts series. 
In her desperation to repair the rift between herself and her daughter, Ella moves back to Virginia, and agrees to allow the ghost of her past back into her life. As a favor to her daughter, she allows James Wyman, Jesse's twin, to stay the week in her new home. James. Dominating. Sexy. Younger. The man that has filled her most secret fantasies, her most forbidden desires. And James is determined Ella won't escape him again. This time, she will submit.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","2.0","eng","","","Dinamica · Prohibido, Dinamica · Age gap, Tono · Picante/Erotico","","","Romance contemporáneo","95","BDSM contemporáneo, sin elementos sobrenaturales.","Bound Hearts","1.0"
"Seduction","Lora Leigh","Book 3 in the Bound Hearts series Jesse Wyman knows Terrie's reluctance to accept the desires that are a natural part of him. Desires he sees lurking in the darkest depths of her eyes. But Terrie must accept those needs herself. In a bold and risky turn, Jesse dares her to seduce him. Challenges her to accept her needs, to push her own boundaries. She must convince him. She must be willing to risk her heart, her very soul, for the ultimate prize. But is Terrie more daring than even Jesse knew?
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","3.0","eng","","","Tono · Picante/Erotico, Tono · Angst/Drama emocional","","","Romance contemporáneo","100","Romance contemporáneo erótico con desafío entre los protagonistas; tono picante y dramático.","Bound Hearts","1.0"
"Wicked Intent","Lora Leigh","Book 4 in the Bound Hearts series. Control has meant everything to Tally Raines. Control of the office she ran as Jesse Wyman's secretary, and now control of Lucian Conover's office as well. But Lucian isn't content to be controlled by his fiery secretary. As a matter of fact, Lucian thinks she needs to loosen up and let the sexy, sensual woman hiding beneath her cool exterior free. And he will dare her to do just that... With a little help.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","4.0","eng","","","Dinamica · Romance de oficina, Tono · Picante/Erotico","","","Romance contemporáneo","95","Secretaria y jefe, con dinámicas BDSM contemporáneas.","Bound Hearts","1.0"
"Sacrifice","Lora Leigh","Book 5 of the Bound Hearts series Kimberly has run from Jared for a year now, sensing the weakness he could be to her future. But she never expected the sacrifice he would make for her. One that will rock her soul, and destroy the very foundations of all her beliefs. Her sexuality, her heart, and all she's fought for in the last six years will be tested when an assignment takes her to Jared's farm, and into his bed. There she will learn the true meaning of hunger, of love...as well as the deception and the lies that have governed her life for so long. Anything worth having is worth sacrificing for. Kimberly is about to find out if she can pay the price, and risk not only the inheritance that should be hers, but also her heart to the one man who can still the fires that rage in her soul.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","5.0","eng","","","Tono · Picante/Erotico, Dinamica · Segunda oportunidad, Tono · Angst/Drama emocional, Dinamica · Proximidad forzada","","","Romance contemporáneo","100","Romance contemporáneo de la serie Bound Hearts, con segundas oportunidades, erotismo y drama.","Bound Hearts","1.0"
"Embraced","Lora Leigh","Marey has run from herself and from Sax for over three years. Lost years, hiding in the home her parents left her, living on the fantasy, too wary to reach out and make real the dreams of the life and man that torment her. Sax Brogan is the embodiment of sinful and sexy-tall, dark, handsome and every inch of him the fantasy of Marey's dreams come to hot, throbbing life. And he's more than ready to claim his woman. Now the time has come for Marey to stop running and embrace not just the fantasy he represents, but also the reality. That is, if her ex-husband will let her live long enough to enjoy it.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","6.0","eng","","","Tono · Picante/Erotico, Dinamica · Segunda oportunidad","","","Romance contemporáneo","95","Romance contemporáneo con segunda oportunidad y erotismo.","",""
"Shameless","Lora Leigh","""She's a temptation he can't afford."" Ian Sinclair, the man with no heart, the ultimate Trojan, the untouchable, the unreachable, may just have met his match. As wild as the untamed winds, as innocent as love itself, Courtney's vivacious spirit shines as brilliantly as the brightest star. And he wants nothing more in life than to see the sweet innocence that is so much a part of her survive. That can never happen if he allows her to be drawn into the wicked, sexual excesses of his life. ""He's a hunger she can't deny."" Courtney Mattlaw has understood her destiny her whole life. Her lifetime of happiness hangs on this moment in time, and forcing a man who feels he is unable to love, to trust his heart. Haunted. Filled with loneliness. Incomplete. Ian is the very breath of her soul. She knows the battle to steal his heart could ultimately destroy them both, but it's a risk she must take. When these two come together, sparks fly and the lust simmering between them ignites in a conflagration that will burn them to their souls and leave them.Shameless.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","7.0","eng","","","Dinamica · Grumpy/Sunshine, Tono · Picante/Erotico","","","Romance contemporáneo","90","Sinopsis describe romance contemporáneo con tensión sexual intensa, sin elementos fantásticos.","",""
"Forbidden Pleasure","Lora Leigh","People have heard fleeting rumors about The Club, located just outside Washington, D.C. And only its members know where men go when they want to indulge the desire to share their women with a carefully selected male partner... Former FBI agent John ""Mac"" McCoy resigned his membership from The Club when he married Keiley Hardin. Tempting and innocent, sweet and sexy, she would never accept Mac's desire to share her with another man. However, Keiley's growing curiosity and Mac's own fantasies of sharing his wife haunt his dreams. And his passions. Unable to wait any longer, Mac invites his best friend, Jethro Riggs, to their home with the intention of drawing Keiley into the pleasures that can only be achieved when two men love the same woman. But there's more going on in Mac's neck of the woods than a little additional pleasure. A past case involving a stalker who likes to play games has turned up again, but now Keiley is in the middle of it all. Passion and pleasure, danger and desire combine as the forbidden becomes an addiction none of them can escape.","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","8.0","eng","","","Tono · Picante/Erotico, Dinamica · Why choose / Haren inverso, Dinamica · Prohibido","","","Romance contemporáneo","95","Romance contemporáneo de la serie Bound Hearts, con ménage y erotismo.","Bound Hearts","1.0"
"Wicked Pleasure","Lora Leigh","**From** New York Times**bestselling author Lora Leigh comes the explosive new novel in her Bound Hearts series.**
Jaci Wright has been running from the Falladay twins, Chase and Cam, for seven years now. Fears of the desires they arouse in her, and the knowledge of the relationship they wanted with her, spurred her to run, to find a life that kept her traveling the globe and out of their reach. 
But now life has come full circle. A new job has placed Jaci in the Sinclair mansion with Chase and Cam. And they're tired of waiting. It's hard enough to face accepting a relationship with two men rather than just one, but gossip and the tattered tales of juicy secrets fill the society she now moves within. Can Jaci face the world knowing she's a lover to both men, or will her hesitancy and her fears destroy her chance of happiness forver?
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","9.0","eng","","","Dinamica · Why choose / Haren inverso, Tono · Picante/Erotico","","","Romance contemporáneo","95","Romance con dos hermanos, trío amoroso contemporáneo.","Bound Hearts","1.0"
"Only Pleasure","Lora Leigh","Since Chase Falladay came to her rescue two years ago, Kia Stanton has never been able to forget the powerful man or the kind of life he leads. So two years later when she runs into Chase and his friend, Khalid, and leaves with them that night, she knows exactly where it is all heading. However, little prepares her for what it is like to be in Chase's arms, and in his bed. After years of holding back, Kia is finally able to be the woman she's always dreamed of being in his arms. 
Kia is a dream Chase has not allowed himself to entertain. Now that he has her, it's her heart he's after and he's determined to win it, no matter the cost. And even though they both agreed that it would only be for pleasure, somewhere along the way it becomes and all-consuming love.   
*Only Pleasure* is a sizzling hot, sexy, erotic romance novel from bestselling author Lora Leigh.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","10.0","eng","","","Tono · Picante/Erotico, Dinamica · Amor a primera vista, Tono · Angst/Drama emocional","","","Romance contemporáneo","100","Romance contemporáneo autoconclusivo con atracción inmediata y tono erótico y dramático.","",""
"Guilty Pleasure","Lora Leigh","**The sizzling new erotic tale from New York Times bestselling author Lora Leigh**
Marty Mathews had always known about the secret, forbidden pleasures that the women she had grown up with enjoyed. Women whose husbands or lovers were members of the exclusive ""Club,"" where they took a selected ""third"" into their beds. And there is one man—a dangerous, forbidden man—who is part of this world and who has haunted Marty's dreams for years. But she had been the FBI agent assigned to shadow him, making him completely off limits. . .That is until Khalid is cleared and Marty is released from her assignment. Now, all bets are off. . . 
The beautiful, fierce Marty Mathews is the one woman Khalid hungers for like no other and is the one woman he dare not let himself have. His past dogs his every step and danger lurks around every corner. If he wants to keep her safe, he must stay away from her. But the power of their desire is something they cannot deny—and once Marty is his, Khalid will do whatever it takes to keep her in his bed and in his arms.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","11.0","eng","","","Tono · Picante/Erotico, Dinamica · Prohibido","","","Romance contemporáneo","95","Romance contemporáneo de la serie Bound Hearts, con relación prohibida.","Bound Hearts","1.0"
"Dangerous Pleasure","Lora Leigh","Get lost in Dangerous Pleasure, the explosive Bound Hearts novel by #1 New York Times bestselling author Lora Leigh. He was determined to satisfy her every need. . .Abram Mustafa faces the test of his life and his heart when his terrorist father kidnaps Paige Galbraithe, the one woman who has always been able to touch Abram’s soul. With Paige’s life now in danger, Abram knows that his plans for escape from the only home he has ever known have suddenly become more imperative than ever. . .Paige has always wondered if the dark, cool, and mysterious Abram el Hamid Mustafa is hiding a wicked side—one that will allow her to explore the kind of pleasure she has dreamed of. But when she is kidnapped by his father, she finds that she must trust Abram with more than her fantasies. Paige must trust him with her life...and her heart. Will secret, dangerous desires bind Abram and Paige together as the forces surrounding them try to tear them apart?
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","12.0","eng","","","Tono · Picante/Erotico, Dinamica · Protector","","","Romance contemporáneo","95","Romance contemporáneo de la serie Bound Hearts, con rescate y erotismo.","Bound Hearts","1.0"
"Secret Pleasure","Lora Leigh","Sebastian and Shane De Loren were born to love Alyssa Hampstead. No other woman on earth can burn for them, ignite with passion between them, the way Alyssa does. But after three sensual months of pleasure come to a crashing halt, Sebastian and Shane are left fighting with everything they’ve got, risking it all to have Alyssa one more time... 
Alyssa has closed off her heart. A senator’s daughter in the political spotlight, she’d rather be quiet and safe than feel the emotional intensity Sebastian and Shane roused within her years ago. But when the sexy cousins blaze their way back into her life, Alyssa cannot help but succumb to the heady pleasures the two men can give her. And as an unknown enemy draws near, Alyssa will need Sebastian and Shane to protect her...and satisfy every forbidden craving.
","Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Relacion secreta, Genero · Romance, Tono · Final feliz/HEA, Tono · Picante/Erotico","eng","LRomance","Bound Hearts","13.0","eng","","","Dinamica · Why choose / Haren inverso, Tono · Picante/Erotico, Tono · Angst/Drama emocional","","","Romance contemporáneo","100","Romance contemporáneo de dos primos con una mujer (menage); erótico y dramático.","Bound Hearts","1.0"
