title,authors,comments,tags,languages,library_name,series,series_index,#language_code,#info,#world,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"El Cazador De Sueños","Sherrilyn Kenyon","La doctora Geary Kafieri lleva seis años tras los pasos de la mítica civilización de la Atlántida. Cada vez está más cerca, pero comienza a sentir fuertes jaquecas, y tiene unos extraños sueños en los que se le aparece un hombre muy atractivo que hace realidad sus fantasías más íntimas. Se trata de Arik, una criatura de la noche que ha sellado un pacto con el Hades: vivirá una semana entre los mortales para poder sentir sus emociones, y a cambio deberá entregar el alma de Geary.","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","13.0","spa","Traducción de Ana Isabel Domínguez Palomo y María del Mar Rodríguez Barrena
Dream-Hunter[1]
","Hunter Legends","","Paranormal","90","Romance between Dream-Hunter and mortal archaeologist; modern Greece, part of Dream-Hunter sub-series.","Dream-Hunter","1.0"
"Fear the Darkness","Sherrilyn Kenyon","This is a special thank you to readers for all the great years. It’s a small story about Nick’s homecoming to New Orleans after his mother’s death and after Katrina. 
I knew from the beginning what was going to happen to Nick. I wanted the reader to see the birth of a Dark-Hunter, only to have it with a twist. And even though I knew what was going to happen, I still cried when I wrote the scene. 
The story is free and you can download it [here](http://officialsanctuary.com/)
*NOTE:* This story has been re-released in the [Dark Bites](https://www.goodreads.com/book/show/13508220-dark-bites) anthology
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","13.5","eng","","Hunter Legends","","Paranormal","70","Short story set in contemporary world with supernatural elements (Dark-Hunters), but romance not clearly central; classified as Paranormal due to worldbuilding.","Dark-Hunter","1.0"
"Devil May Cry","Sherrilyn Kenyon","As an ancient Sumerian god, Sin was one of the most powerful among his pantheon. . . Until the night Artemis brutally stole his godhood and left him for dead. For millennia, this ex-god turned Dark-Hunter has dreamed only of regaining his powers and seeking revenge on Artemis. If only life were that simple. 
Unfortunately he has bigger fish--or in Sin's case--demons, to fry. The lethal gallu that were buried by his pantheon are now stirring and they are hungry for human flesh. Their goal is to destroy mankind and anyone else who gets in their way. Sin is the only one who can stop them--that is if a certain woman doesn't kill him first. Unfortunately, Sin discovers that now he must rely on her or witness an annihilation of biblical proportions. 
Enemies have always made strange bedfellows, but never more so than when the fate of the world hangs in the balance. Now a man who knows only betrayal must trust the one person most likely to hand him to the demons. Artemis may have stolen his godhood, but this one has stolen his heart. The only question is will she keep it or feed it to the ones who want him dead? 
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","14.0","eng","","Hunter Legends","","Paranormal","95","Central romance between ex-god Dark-Hunter and servant of enemy goddess, set in contemporary New Orleans with supernatural creatures.","Dark-Hunter","1.0"
"El Diablo Puede Llorar","Sherrilyn Kenyon","Hace miles de años Sin fue engañado por Artemisa, que le arrebató sus poderes, lo convirtió en su esclavo y lo encadenó a la existencia solitaria, fría y letal de los Cazadores Oscuros.   Desde esa noche él no ha confiado en nadie y solamente ha alimentado un sueño: volver a ser quien fue para vengarse de la diosa.   Pero cuando parece que al fin podrá cumplirse su deseo, un mal de tiempos inmemoriales despierta de nuevo y una joven irrumpe en su vida. Es alta, pelirroja y la servidora más fiel de su odiada enemiga.   Hace miles de años Sin fue traicionado por una mujer, y ahora otra está a punto de robarle el corazón. La única pregunta es: ¿por qué? ¿Para quedárselo ella... o porque lo entregará a alguien que desea verlo muerto?","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","14.0","spa","","Hunter Legends","","Paranormal","95","Spanish edition of Devil May Cry, same content.","Cazadores Oscuros","1.0"
"Upon the Midnight Clear","Sherrilyn Kenyon","**Ever think Scrooge had it right before the ghosts ruined his life? Meet Aidan O'Conner.  
** At one time he was a world-renowned celebrity who gave freely of himself and his money without wanting anything in return...until those around him took without asking. Now Aidan wants nothing of the world--or anyone who's a part of it. 
**When a stranger appears at his doorstep, Aidan knows he's seen her before…in his dreams.**
Born on Olympus as a goddess, Leta knows nothing of the human world. But a ruthless enemy has driven her from the world of dreams and into the home of the only man who can help her: Aidan. Her immortal powers are derived from human emotions--and his anger is just the fuel she needs to defend herself… 
* * *
**One cold winter's night will change their lives forever…**  
Trapped together in a brutal winter storm, Aidan and Leta must turn to the only power capable of saving them--or destroying them both: trust.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","15.0","eng","Dream-Hunter[2]
","Hunter Legends","","Paranormal","95","English edition of La Luna De La Medianoche.","Dark-Hunter","1.0"
"La Luna De La Medianoche","Sherrilyn Kenyon","En el pasado fue un hombre famoso, que se daba a sí mismo y compartía su dinero sin pedir nada a cambio... hasta que las personas que lo rodeaban empezaron a tomarse demasiadas libertades. Ahora Aidan no quiere saber nada del mundo, ni de nadie que forme parte de él.  Nacida diosa en el Olimpo, Leta lo desconoce todo acerca del mundo. Pero un enemigo despiadado la ha obligado a salir de su mundo de ensueño. Perdida, ha llegado a las puertas de la casa del único hombre que puede ayudarla: Aidan. Los poderes inmortales de Leta tienen su origen en las emociones humanas, y el resentimiento de Aidan es el combustible que ella necesita para poner en marcha de nuevo sus defensas.  Cuando una brutal tormenta de invierno los acorrale, Aidan y Leta deberán servirse del único poder capaz de salvarlos... o matarlos a ambos: la confianza.","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","15.0","spa","Dream-Hunter[2]
Traducción de Ana Isabel Domínguez Palomo y María del Mar Rodríguez Barrena
","Hunter Legends","","Paranormal","95","Romance between a bitter ex-celebrity and a goddess from Olympus, forced together during a winter storm in our world.","Cazadores Oscuros","1.0"
"Shadow of the Moon","Sherrilyn Kenyon","Angelica has fought her entire life to make herself strong. Now, with her patria under fire, she has to protect her people from Fury and his werewolf clan. Vowing to bring him to justice, Angelica sets out alone...until the hunter becomes the hunter, and the only way for her to survive is to trust the very wolf she's sworn to kill.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","15.5","eng","","Hunter Legends","","Paranormal","90","Central romance between a werewolf hunter and a werewolf clan leader, set in contemporary world with lycanthropes.","Dark-Hunter","1.0"
"Dream Chaser","Sherrilyn Kenyon","**From #1 *New York Times* Bestselling Author Sherrilyn Kenyon **
The spellbinding Dream-Hunter series continues! 
**Hades doesn't often give second chances...**
Xypher has one month on Earth to redeem himself through one good deed or be condemned to eternal torture in Tarturus. But redemption means little to a demigod who only wants vengeance on the one who caused his downfall. 
**Until one day in a cemetery...**
Simone Dubois is a medical examiner with a real knack for the job. Those who are wrongfully killed appear to her and help her find the evidence the police need to convict their killers. But when a man appears and tells her that she's more than just a psychic, she's convinced he's insane. 
**Now the fate of the world hangs in her hands...**
It was bad enough when just the dead relied on her. Now's there's the seductive Dream-Hunter Xypher who needs Simone's help in opening a portal to the Atlantean hell realm to fight insatiable demons. The future of mankind is at stake—and so is her life. The only question now is: Who is the bigger threat: the demons out to kill her, or the man who has left her forever changed?  
**""Brisk, ironic, sexy, and relentlessly imaginative.""— *Boston ** Globe***
Hades doesn't often give second chances.... 
Xypher has one month on Earth to redeem himself through one good deed or be condemned to eternal torture in Tarturus. But redemption means little to a demigod who only wants vengeance on the one who caused his downfall.Until one day in a cemetery.... 
Simone Dubois is a medical examiner with a real knack for the job. Those who are wrongfully killed appear to her and help her find the evidence the police need to convict their killers. But when a man appears and tells her that she's more than just a psychic, she's convinced he's insane.Now the fate of the world hangs in her hands.... 
It was bad enough when just the dead relied on her. Now's there's the seductive Dream-Hunter Xypher who needs Simone's help in opening a portal to the Atlantean hell realm to fight insatiable demons. The future of mankind is at stake - and so is her life. The only question now is: Who is the bigger threat: the demons out to kill her, or the man who has left her forever changed?
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","16.0","eng","Dream-Hunter[3]
","Hunter Legends","","Paranormal","95","English edition of Atrapando un sueño.","Dark-Hunter","1.0"
"Atrapando un sueño","Sherrilyn Kenyon","Castigado por los dioses a vivir una vida exenta de sentimientos, Xypher eligió la senda de las sensaciones que resultó en una condena a muerte. Ahora tiene una última ocasión de redimirse: de vuelta entre los humanos, en tan solo un mes de tiempo podrá salvarse si realiza una buena acción. Si no, será condenado al suplicio eterno del Tártaro. Sin embargo, la redención significa bien poco para un semidiós que solo quiere vengarse de quien causó su caída. Simone Dubois es una médico forense que no se asusta con facilidad; sobre todo, porque también es vidente y puede comunicarse con las personas a quienes está practicando la autopsia. Pero todas sus convicciones se desmoronan cuando un extraño quiere convencerla de que en ella se concentran poderes mucho mayores que los de una vidente. El futuro de la humanidad está en juego y también la vida de Simone. Y ella solo hace que preguntarse qué es más peligroso: si los demonios atlantes que la persiguen, o Xypher, el hombre que la ha cambiado para siempre.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","16.0","spa","Dream-Hunter[3]
","Hunter Legends","","Paranormal","95","Romance between a demigod Dream-Hunter and a psychic medical examiner, fighting demons in modern New Orleans.","Cazadores Oscuros","1.0"
"Acheron","Sherrilyn Kenyon","***The most anticipated story in the blockbuster Dark-Hunter series. The never-before-revealed story of the Dark-Hunter leader, Acheron. He was made human in order to escape death, but in death he was reborn a god. . .***
Eleven thousand years ago a god was born. Cursed into the body of a human, Acheron spent a lifetime of shame. However, his human death unleashed an unspeakable horror that almost destroyed the earth. Then, brought back against his will, Acheron became the sole defender of mankind. 
Only it was never that simple. For centuries, he has fought for our survival and hidden a past he'll do anything to keep concealed. Until a lone woman who refuses to be intimidated by him threatens his very existence. 
Now his survival, and ours, hinges on hers and old enemies reawaken and unite to kill them both.   
War has never been more deadly... or more fun.
Eleven thousand years ago a god was born. Cursed into the body of a human, Acheron endured a lifetime of hatred. His human death unleashed an unspeakable horror that almost destroyed the earth. Brought back against his will, he became the sole defender of mankind. 
Only it was never that simple… 
For centuries, he has fought for our survival and hidden a past he never wants revealed. 
Now his survival, and ours, hinges on the very woman who threatens him. Old enemies reawaken and unite to kill them both. 
War has never been deadlier… or more fun.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","17.0","eng","","Hunter Legends","","Paranormal","95","Epic romance between the ancient leader of Dark-Hunters and a human woman, set in modern world with gods and immortals.","Dark-Hunter","1.0"
"Aquerón","Sherrilyn Kenyon","Aquerón fue el primer Cazador Oscuro y ahora es líder indiscutible de todos ellos. No responde ante nadie y sus órdenes se acatan sin discusión. Es poderoso. Es enigmático. Es inaccesible. Una leyenda entre las leyendas. Durante milenios, Aquerón ha luchado por la supervivencia de la humanidad al tiempo que ocultaba celosamente sus orígenes y su tormentoso pasado. Por fin, Sherrilyn Kenyon desvela en esta novela, la más larga y ambiciosa de la genial serie de los Cazadores Oscuros, la verdadera historia del personaje que, desde el primer libro, ha atrapado con mayor fuera la imaginación de los lectores. Una historia que comienza once mil años atrás, cuando una diosa oculta a su primogénito entre los humanos...
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","17.0","spa","","Hunter Legends","","Paranormal","95","Spanish edition of Acheron.","Cazadores Oscuros","1.0"
"One Silent Night","Sherrilyn Kenyon","It's the Christmas season and all hell's breaking loose. Literally. While humans shop, an angry demon lord is plotting an all-out onslaught against his enemies, which - unfortunately for us - includes the human race. But as Stryker gathers his forces, he discovers a grown daughter he never knew existed and an angry ex, Zephyra, who's as determined to end his existence as he is to end ours. 
The ultimate predator is about to meet his match as new battle lines are drawn and the Dark-Hunters are rallied for a blood bath on Christmas Eve. The only question is this: can Stryker survive his oldest enemy to fight the ones he really wants to kill - or will Zephyra finally have her shot at the husband who abandoned her?
While the world carries on unawares, Stryker, who leads an army of demons and vampires, is plotting an all out onslaught against his enemies—which, unfortunately for us, includes the entire human race. To avenge his sister, Stryker prepares to annihilate the Dark-Hunters. But things go awry when his oldest enemy returns. Enter his ex-wife. Zephyra. Just when he thought nothing could stop him, he's now embroiled in a centuries old war with a shrew who gives new meaning to pain.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","18.0","eng","","Hunter Legends","","Paranormal","95","English edition of El silencio de la noche.","Dark-Hunter","1.0"
"El silencio de la noche","Sherrilyn Kenyon","En el mundo de los Cazadores Oscuros está a punto de desatarse el infierno literalmente.  
La decimosexta novela de los Cazadores Oscuros. 
Stryker, el líder de los daimons, es un ser arrogante, leal con su gente y despiadado con los humanos. Los detesta con un ansia casi enfermiza y, su única razón para no masacrarlos es que los necesita para seguir viviendo. Por su causa, su raza está maldita y los Cazadores Oscuros diezman a su pueblo. Por culpa de un humano, su hermana está muerta. Por una humana, su hijo lo traicionó. Stryker está dispuesto a destruir el mundo entero si con ello consigue vengarse, salvar a los suyos y volver a ver de nuevo la luz del sol. Pero no contaba con la visita sorpresa de una mujer dispuesta a acabar con él El último predador está a punto de encontrar la horma de su zapato mientras una nueva batalla contra los Cazadores Oscuros se avecina...
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","18.0","spa","","Hunter Legends","","Paranormal","95","Romance between a demon lord and his ex-wife, set in modern world during Christmas, with demonic war.","Cazadores Oscuros","1.0"
"Dream Warrior","Sherrilyn Kenyon","We are the Dolophoni. Diligent. Vigilant. Fierce and inescapable. Servants of the Furies, we are the right hand of justice and no one stands before us.  The son of Warcraft and Hate, Cratus spent eternity battling for the ancient gods who birthed him. He was death to any who crossed him. Until the day he laid down his arms and was banished into exile.  Now an ancient enemy has been unleashed and our dreams are his chosen battlefield. The only hope we have is the one god who swears he will never fight again.  As a Dream-Hunter, Delphine has spent eternity protecting mankind from the predators who prey on our unconscious state. But now that her allies have been turned, she knows in order to survive, the Dream-Hunters need a new leader. Someone who can train them to fight their new enemies. Cratus is her only hope. But she is a bitter reminder of why he chose to lay down his arms.  Time is running out and if she can’t win him to her cause, mankind will be slaughtered and the world we know will soon cease to exist.","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","19.0","eng","Dream-Hunter[4]
","Hunter Legends","","Paranormal","95","Romance between an exiled god of war and a Dream-Hunter, set in our world with dream realm and Greek mythology.","Dark-Hunter","1.0"
"El guardián de los sueños","Sherrilyn Kenyon","Tras siglos de tortura, soledad y sufrimiento Cratus ve, por fin, una oportunidad de vengarse de los dioses que le condenaron por mostrar clemencia… y no piensa desaprovecharla.  
La decimoséptima novela de los CAZADORES OSCUROS  
El hijo de la guerra y el odio, Cratus, pasó la eternidad luchando para los dioses que le dieron la vida. Él era la muerte misma, y cualquiera que se interpusiera en su camino era aniquilado... hasta el día en que se opuso a Zeus y fue condenado al exilio. Pero ahora un antiguo enemigo ha sido liberado, y solo Cratus puede acabar con él.  
Como cazadora de sueños, Delphine ha dedicado su vida a proteger a los humanos de los depredadores que acechan nuestro inconsciente. Pero ahora su misión es otra muy diferente: tiene que convencer a Cratus de que luche en las filas del Olimpo. Pero seis mil años de castigo son difíciles de olvidar y Cratus ya ha tomado una decisión: luchará contra Zeus y consumará al fin su venganza.  
El tiempo se agota. Si Delphine no consigue atraer a Cratus hacia su causa, la humanidad será exterminada y el mundo tal como lo conocemos dejará de existir.  
Somos los Dolophoni. Feroces e inexorables. Siervos de las Furias.   
Somos la mano derecha de la justicia.  
Y nadie está por encima de nosotros.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","19.0","spa","Dream-Hunter[4]
","Hunter Legends","","Paranormal","95","Spanish edition of Dream Warrior.","Cazadores Oscuros","1.0"
"Bad Moon Rising","Sherrilyn Kenyon","*A stunning and suspenseful new landscape emerges in the thrilling Dark-Hunter world—a world where nothing will ever be the same again. . .*  
** 
Fang Kattalakis isn't just a wolf. He is the brother of two of the most powerful members of the Omegrion: the ruling council that enforces the laws of the Were-Hunters. And when war erupts among the lycanthropes, sides must be chosen. Enemies are forced into shaky alliances. And when the woman Fang loves is accused of betraying her people, her only hope is that Fang believes in her. Yet in order to save her, Fang must break the law of his people and the faith of his brothers. That breech could very well spell the end of both their races and change their world forever. 
The war is on and time is running out...
**A stunning and suspenseful new landscape emerges in the thrilling Dark-Hunter world—a world where nothing will ever be the same again. . .* * 
Fang Kattalakis isn't just a wolf. He is the brother of two of the most powerful members of the Omegrion: the ruling council that enforces the laws of the Were-Hunters. And when war erupts among the lycanthropes, sides must be chosen. Enemies are forced into shaky alliances. And when the woman Fang loves is accused of betraying her people, her only hope is that Fang believes in her. Yet in order to save her, Fang must break the law of his people and the faith of his brothers. That breech could very well spell the end of both their races and change their world forever. 
The war is on and time is running out...
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","20.0","eng","Were-Hunters[4]
","Hunter Legends","","Paranormal","95","Romance between a werewolf from omegrion council and a were-hunter, set in contemporary world, with war and forbidden love.","Dark-Hunter","1.0"
"La noche de la luna negra","Sherrilyn Kenyon","Una vertiginosa historia de amor imposible entre dos seres de especies diferentes. La decimoctava entrega de los Cazadores Oscuros. 
Fang Kattalakis no es un lobo cualquiera; es el hermano de dos de los miembros más poderosos del Omegrion, el consejo que dicta las leyes de los Cazadores Arcadios y Katagarios. Cuando la guerra estalla entre los licántropos, todos deberán escoger en qué bando luchar. Los enemigos se convertirán en aliados y Fang verá estrictamente prohibida su verdadera pasión... 
Cuando Aimée Peltier, la cazadora Arcadia a quien Fang ama, es acusada de traicionar a su gente él será su última esperanza. Pero para salvarla, tendrá que vulnerar las leyes de los suyos y quebrantar la confianza que sus hermanos han depositado en él 
Un nuevo horizonte emerge en el intrigante mundo de los Cazadores Oscuros, un mundo de lealtades y de amores imposibles donde se romperán reglas milenarias, donde surgirá un peligroso conflicto sin precedentes... y donde ya nada volverá a ser como antes.
","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","spa","LRomanceSciFan","Hunter Legends","20.0","spa","Were-Hunters[4]
Traducción de Ana Isabel Domínguez Palomo y María del Mar Rodríguez Barrena
","Hunter Legends","","Paranormal","95","Spanish edition of Bad Moon Rising.","Cazadores Oscuros","1.0"
"No Mercy","Sherrilyn Kenyon","Live fast, fight hard and if you have to die then take as many of your enemies with you as you can. That is the Amazon credo and it was one Samia lived and died by. Now in contemporary New Orleans, the immortal Amazon warrior is about to learn that there’s a worse evil coming to slaughter mankind than she’s ever faced before.  Shapeshifter Dev Peltier has stood guard at the front of Sanctuary for almost two hundred years and in that time, he’s seen it all. Or so he thought. Now their enemies have discovered a new source of power- one that makes a mockery of anything faced to date.  The war is on and Dev and Sam are guarding ground zero. But in order to win, they will have to break the most cardinal of all rules and pray it doesn’t unravel the universe as we know it.","Ambientacion · Piratas, Arquetipo · Bad boy, Dinamica · Familia encontrada, Dinamica · Grumpy/Sunshine, Dinamica · Prohibido, Dinamica · Proximidad forzada, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Brujas/Magos, Paranormal · Dragones, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Romance de monstruos, Paranormal · Vampiros, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Tono · Picante/Erotico, Tono · Profecia/Elegido","eng","LRomanceSciFan","Hunter Legends","21.0","eng","Were-Hunters[5]
","Hunter Legends","","Paranormal","95","Romance between an Amazon Dark-Hunter and a shapeshifter guarding Sanctuary, with war and forbidden rule breaking.","Dark-Hunter","1.0"
