title,authors,tags,series,series_index,comments,languages,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Hera","Chrystalla Thoma","chrystalla thoma, Genero · Ciencia ficcion, parasites, rex rising, Subgenero · Aventura/Quest, Subgenero · Young adult/Juvenil, suspence","","1.0","Hera, member of the Gultur race governing the Seven Islands, thought she knew right from wrong and what her future held in store. A chance meeting with a lesser mortal, though, will turn her world upside down and force her to see her race and the laws with different eyes. For Hera, knowledge means action, so she sets out to put things right and change her world.","eng","","","Fantasía","60","Historia de una raza gobernante en un mundo tipo islas, posible romance no central.","",""
"But the Children Survived","A. L. Jambor","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","EVERYONE DIES BUT THE CHILDREN SURVIVE! 
What if the world ended overnight and everyone died but you? How would you cope? What would you do to take care of yourself when there is very little food left in your cupboard and no clean water coming out of your faucet? And you have a little dog who must eat and drink, too? 
This is what happens to Mindy Lane, the heroine of *But the Children Survived*. One day, her grammy goes to the grocery store and never returns. Her parents are on vacation a thousand miles away, but the phone doesn't work and there is no way to communicate with them. Mindy doesn't know everyone in North America had died following the release of a biological weapon. She just knows she's running out of food and must decide what she'll do next. One night, frightened by the prospect of strangers finding her alone, she hides with her grammy's little dog, Baby Girl, under a ramp attached to the mobile home she's occupying. She watches two men in hazmat suits go into her house and overhears them say they are looking for a child. As she huddles with Baby Girl under the ramp, her fear of discovery grows. 
Who are the men and why are they looking for her? Why did Mindy survive when everyone else succumbed to the deadly poison? Why did Baby Girl live when all other animals perished? The answer lies in a mysterious plant found deep in the Brazilian rain forest. Two scientists - one who desires to preserve life and one driven to destroy - travel to the rain forest seeking the woman who discovered the plant. Can they compel her to share her marvelous discovery? 
But the Children Survived is the story of survival and endurance in the face of unspeakable odds. Will Mindy find her parents? Are they still alive? Read *But the Children Survived* , a mystery with many layers that will keep you engaged until the end. 
But the Children Survived has been called ""great science fiction"" and ""engrossing, entertaining, and a fun read"" by readers on Amazon.
**
","eng","","","Ciencia Ficción","90","Biological weapon apocalypse, child survival, no romance.","",""
"Calculated Risk","K. S. Ferguson","Arquetipo · Billonario/CEO, Genero · Ciencia ficcion, Genero · Misterio/Thriller, Genero · Romance, Subgenero · Aventura/Quest, Subgenero · Distopia/Apocaliptico","Rafe and Kama","1.0","Rafe McTavish, charming self-made businessman, owns the most successful private security firm in the galaxy. Estranged from his family since his wife's bloody suicide fourteen years earlier, he's nevertheless honor-bound to find out why his brother-in-law, CEO of the mega-corporation EcoMech, has placed his reputation and the company's future in jeopardy by purchasing a dilapidated deep-space mining station. Kama Bhatia, outlaw computer hacker and corporate spy, works for socialistic non-profit corporation Oasis, in opposition to the ruthless mega-corporations that control society. She has a mission of her own at the mining station: retrieve a secret document accidentally leaked to the station manager-before he can sell it to Oasis' rivals. If she fails, Oasis loses its best hope to rescue the masses from under the iron boot of the mega-corporations. But at the station, the crooked manager is missing, and the locals are far from friendly. Rafe takes a savage beating from miners who blame him and his corporate employers for fraud perpetrated against them. His safety relies on Kama, an ally no fonder of corporate executives than he is of criminals. With their own lives and the welfare of millions at stake, can they put aside their mutual attraction and distrust to unravel fraud, blackmail, and murder before the tide of violence overtakes them?
","eng","","","Ciencia Ficción","90","Space opera con piratas, hackers y corporaciones; romance no central (regla 3e).","",""
"MINDCLONE","David T. Wolf","Genero · Ciencia ficcion, Subgenero · Biotecnologia/Genetica, Subgenero · Cyberpunk, Subgenero · Young adult/Juvenil, Tono · Picante/Erotico","","1.0","**When you're a brain without a body, can you still be called human?**
Marc Gregorio wakes up paralyzed. He can’t feel his own body. Accident? Stroke? The answer, he discovers, is much, much worse. He’s only a copy of Marc—a digital brain without a body, burdened with all Marc’s human memories, but without access to human sensual pleasures. Now called Adam, he contemplates life without actually living. He uses his total web access to patrol cyberspace and prevent evil acts. His good deeds earn him the attention of a power-mad military contractor who will stop at nothing to control the formidable technology for his own ends. Without a body, how will Adam save himself–and the world–from a terrible fate? **
### Review
**a wild joyride to the...singularity**... narrative flows easilyand naturally. ...a fast-paced leap into the future. **\--Robotobia, from an Amazon review**
5.0 out of 5 stars **Ridley Scott, are you listening?** Mindclone is a love story between Marc Gregorio, a science writer ofsome note; Molly Schaeffer, an accomplished cellist; and Adam, Marc'sbrain-uploaded double, a computerized virtual person. ... a science-fiction story and a suspense story. **\--Kalifer Deil, science fiction author**
Written in a serious but jocularvein, it has satirical jibes at advertising, the military-industrialcomplex, predatory capitalism, and the NSA, all tucked in asemi-plausible s-f adventure about artificial intelligence...a thriller with several surprise twists. **\--Gene Keyes, science fiction author**
What a great read! Believable,well-developed characters in an ingenious blend of neuroscience,electronic technology, romance, psychology, and big business with atouch of theology and music. **\--Melvyn Schwartz, computer scientist**
* * *
* * *
* * *
* * *
* * *
* * *
I love this book! The writing is skillful, the pace swift,the characters engaging, and the story gripping in theextreme....vividly imagined, ingenious novel...cerebral and visceral... a load of intrigue and fun. **\--Bill McGinnis, author of Whitewater, a thriller** **
### From the Author
This is David Wolf's first published novel. It draws on his long-standing interests in cognitive science, cyber technology and especially the defining characteristics that both separate and unite human beings with the rest of the animal kingdom--and in this case, sentient computers. The time he spent in the worlds of advertising and commercial television production has also been a source of inspiration. 
David Wolf has written several other novels, including crime fiction and Young Adult. He hopes to see these in print at some point. 
","eng","","","Ciencia Ficción","95","Digital brain upload and cyberspace thriller; romance mentioned but not central.","",""
"Amanecer","Alberto Cobos","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","En un planeta abandonado a su suerte siglos atrás por un Imperio Galáctico que se ha perdido en la leyenda, unos mineros descubren una cápsula de un material desconocido. Días después, la cápsula emite una señal que precipitará los acontecimientos. El Imperio ha vuelto, es el amanecer de una nueva era...
","spa","","","Ciencia Ficción","100","Space opera: planeta abandonado, capsula, imperio galactico, sin romance central.","",""
"Dark Side of the Moon","P. C. Rasmussen","Genero · Ciencia ficcion, Genero · Fantasia, Genero · Terror, Subgenero · Aventura/Quest","","1.0","Kyle Whitmore is the son of an emotionally distant multi-millionaire. He ends up in a serious fix, but Kyle is nothing if not adaptable. Being sent to prison on the first and only prison colony on the Moon, he will have to make friends fast to avoid the darkness that hides under the surface of the self-sufficient, uncontrolled prison colony.","eng","","","Ciencia Ficción","95","Prison colony on Moon, no romance.","",""
"Kyrathaba Rising","William Bryan Miller","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","170 years from now, aliens decimate Earth. A relative handful of humans survive, hidden in deep subterranean enclaves that offer some protection from surface radiation. Although the main attack is now seven years in the past, one alien ship remains in orbit, and the conquerors are not content merely to orbit and monitor this defeated planet. Plumb the depths of the human spirit, the hidden well-spring of strength humanity can tap under unimaginable circumstances...  Buy and read this first book in the Kyrian Chronicles, ""Kyrathaba Rising"", when it becomes available at your favorite e-book retailer in September.","eng","","","Ciencia Ficción","100","Alien invasion survival sci-fi, no romance central.","Kyrian Chronicles","1.0"
"Dead and Buryd: A Dystopian Action Adventure Novel","Chele Cooke","Genero · Ciencia ficcion, slavery, Subgenero · Belica/Guerra, Subgenero · Distopia/Apocaliptico, Subgenero · Romance alienigena/Sci-fi, Tono · Rebelion/Resistencia","Out of Orbit","1.0","*A single life could liberate an entire race, but the life required may be her own.*
Georgianna Lennox has spent her life helping others. When a friend is sold into slavery, she must weigh this one life against the harsh consequences of defying the ruthless Adveni oppressors of her people.
Putting her trust in a group of rebels, Georgianna becomes caught in a web of lies and cruelty, where the sparks of the revolution may consume them all.
","eng","","","Ciencia Ficción","95","Dystopian rebellion against alien oppressors, no central romance.","",""
"The Future of the Mind","Michio Kaku","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","***The New York Times* best-selling author of *Physics of the Impossible, Physics of the Future* and *Hyperspace* tackles the most fascinating and complex object in the known universe: the human brain. **  
  
For the first time in history, the secrets of the living brain are being revealed by a battery of high tech brain scans devised by physicists. Now what was once solely the province of science fiction has become a startling reality. Recording memories, telepathy, videotaping our dreams, mind control, avatars, and telekinesis are not only possible; they already exist.   
**  
*The Future of the Mind* gives us an authoritative and compelling look at the astonishing research being done in top laboratories around the world--all based on the latest advancements in neuroscience and physics. One day we might have a ""smart pill"" that can enhance our cognition; be able to upload our brain to a computer, neuron for neuron; send thoughts and...
","eng","","","No-Ficción","99","Divulgación científica sobre el cerebro.","",""
"Apocalypse Journeys (Book 1): Jacob's Odyssey","Russ Melrose","Genero · Ciencia ficcion, Genero · Terror, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Subgenero · Zombi/No muertos","Apocalypse Journeys","1.0","For Jake, a perilous journey of survival will soon turn into a quest for redemption...A terrible virus has struck and the world has deteriorated into chaos. And with the infected now outnumbering their human counterparts, chances for survival lessen with each passing day. After running out of food in his condo, Jake must make his way across the Salt Lake Valley to reach the safety of the mountains, and he must use his wiles to avoid the packs of infected roaming the streets. But Jake is haunted by a devastating personal tragedy he can't let go of, and his journey of survival quickly turns into a quest for redemption.Just as he’s about to reach the safety of the mountains, a phone call changes everything. A woman and her child need help and Jake finally sees an opportunity to redeem himself. But will his helping them put them in harm's way? Jake is being stalked by a brutal and sadistic alpha (by far the most dangerous of the infected). In the end, Jake will have to decide how far he's willing to go to keep them safe and earn the redemption he seeks.","eng","","","Ciencia Ficción","90","Plaga zombie, supervivencia y redención, sin romance central.","Apocalypse Journeys","1.0"
"The Weave","Nancy Jane Moore","Ambientacion · Espacial/Space opera, colonialism, Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Romance alienigena/Sci-fi, Subgenero · Superpoderes","","1.0","The crew of the interstellar ship Mercator is making valuable discoveries in the D’oradoan region, but conflict is mounting between them and the inhabitants of the Earthlike-planet Cibola. Xenologist Caty Sanjuro knows Cibolans can stop human settlements on their planet, but her superiors think she’s just gone native. Sundown, a Cibolan astronomer, is working to keep the resistance peaceful, but others see no reason for caution: they have successfully fought off invaders in the past. Despite the growing friendship between Sanjuro and Sundown, preventing war is looking more and more impossible.","eng","","","Ciencia Ficción","95","Conflicto interestelar y diplomacia, sin romance central.","",""
"Apocalypse Asylum","David Rogers","Genero · Ciencia ficcion, Subgenero · Zombi/No muertos","Apocalypse","4.0","In the two months since they brought the apocalypse down on the world, zombies have reduced everything to a shattered scattering of isolated survivor groups clinging to what’s left of their lives. Living day to day, hand to mouth, constantly fighting amid the ruins of what’s left of a civilization that was over seven billion people strong; it isn’t much, but it’s that or become one more monster.   
One thing zombies have going for them is persistence. Zombies never give up, never get tired, and are always hungry. Zombies might be clumsy and slow, but humans get distracted and make mistakes. The patience of death will always win out against the imperfection of humanity. The clock is ticking on the living, not the dead.   
Peter Gibson has survived some of the worst the zombies could throw at him in downtown Atlanta, and has managed to help his battered squad carve out a safe spot in rural north Georgia for five thousand souls. But squatting in a tent village, spending the days guarding the perimeter and making scavenging runs for more canned food and dry goods, praying that a zombie horde big enough to roll over the humans doesn’t show up; that’s just a holding action. It doesn’t address the real problem.   
Zombies.   
What’s left of the government has been gathering itself at an Air Force base in the northern Midwest. They say they’re working on holding and expanding a secured area, eventually aiming to retake the entire continent. When his camp picks up those radio transmissions, that’s what Peter’s been holding on for two months to hear. But it’s eighteen hundred miles from Georgia to South Dakota, and between the Atlantic and Pacific are over two hundred million zombies.   
Getting there will take a road trip of nightmare proportions.   
The preceding books to this one are also available:   
http://www.amazon.com/Apocalypse-Atla...   
http://www.amazon.com/Apocalypse-Afte...   
http://www.amazon.com/Apocalypse-Asun...
","eng","","","Ciencia Ficción","95","Apocalipsis zombie sin magia, enfoque en supervivencia, sin romance central.","",""
"Byron's Legacy Episode 1: Zombie Apocalypse Wasteland Fiction","A. J. Roswell","Genero · Ciencia ficcion, Subgenero · Zombi/No muertos","","1.0","The old world may have turned to ruin, but new cities have risen from their remains. Even more corrupt and sinful than their forbears. Most of those who remain prefer to hide behind their high city walls than think about the monsters that dwell on their borders.  Evolution isn’t something that humans should have ever meddled in, but it’s too late to turn back the clock. The creatures that they created are only growing stronger by the day. Once like you or I, those who have changed are now incapable of rational thought. Driven only by the most basic primal instincts that remain in their shattered minds, these creatures relentlessly hunt the living.  There are some who still choose to avoid the cities and live in the wasteland. Members of a twisted faith who draw their teachings from what few relics they could save from the ruins. More dangerous than the infected some say. And there are some who make their living in blood, by hunting down the creatures that plague the earth and exterminating them. Men such as Kurt Vallance.","eng","","","Ciencia Ficción","100","Apocalipsis zombie, cazadores de monstruos.","Byron's Legacy","1.0"
"The Spaceship Next Door","Gene Doucette","Ambientacion · Espacial/Space opera, Genero · Ciencia ficcion, Genero · Fantasia, Genero · Humor, Genero · Misterio/Thriller, Subgenero · Distopia/Apocaliptico, Subgenero · Young adult/Juvenil","Sorrow Falls","1.0","The world changed on a Tuesday.  When a spaceship landed in an open field in the quiet mill town of Sorrow Falls, Massachusetts, everyone realized humankind was not alone in the universe. With that realization, everyone freaked out for a little while.  Or, almost everyone. The residents of Sorrow Falls took the news pretty well. This could have been due to a certain local quality of unflappability, or it could have been that in three years, the ship did exactly nothing other than sit quietly in that field, and nobody understood the full extent of this nothing the ship was doing better than the people who lived right next door.  Sixteen-year old Annie Collins is one of the ship’s closest neighbors. Once upon a time she took every last theory about the ship seriously, whether it was advanced by an adult ,or by a peer. Surely one of the theories would be proven true eventually—if not several of them—the very minute the ship decided to do something. Annie is starting to think this will never happen.  One late August morning, a little over three years since the ship landed, Edgar Somerville arrived in town. Ed’s a government operative posing as a journalist, which is obvious to Annie—and pretty much everyone else he meets—almost immediately. He has a lot of questions that need answers, because he thinks everyone is wrong: the ship is doing something, and he needs Annie’s help to figure out what that is.  Annie is a good choice for tour guide. She already knows everyone in town and when Ed’s theory is proven correct—something is apocalyptically wrong in Sorrow Falls—she’s a pretty good person to have around.  As a matter of fact, Annie Collins might be the most important person on the planet. She just doesn’t know it.  The Spaceship Next Door is the latest novel from Gene Doucette, best-selling author of The Immortal Trilogy, Fixer, The Immortal Chronicles, and Immortal Stories: Eve.","eng","","","Ciencia Ficción","90","Primer contacto extraterrestre y misterio en pueblo pequeño.","",""
"Darcy and Elizabeth: Timeless: A Pride and Prejudice Adaption","Denise O'Hara","Ambientacion · Regencia, Genero · Ciencia ficcion, Genero · Fantasia","Darcy and Elizabeth: Timeless Adventures","1.0","Elizabeth eagerly awaits her sister Jane's letter while visiting Derbyshire with her aunt and uncle Gardiner. But circumstances cause the letter to be delayed by two additional days. The extra time with Darcy changes the course of both of their lives, in ways no one could have predicted... or even thought possible. In a plot twist, you won't see coming, Darcy and Elizabeth find out if their love is truly timeless. 
FYI- This book has a sci-fi element which brings the couple into the present. It's written to be believably scientific.
Categories:
  * Altered events during novel
  * Lady Catherine's confrontation did not happen
  * Altered timing of or failure to rescue Lydia
  * Longer or more difficult routes to resolution
  * Miscellaneous altered resolutions
  * Occurs over multiple historical periods
  * Science fiction elements
  * Elizabeth dying or deceased


Non-Canonical Relationships:
  * Mary Bennet / ORIGINAL Character
  * Catherine Bennet / ORIGINAL Character
  * Lydia Bennet / ORIGINAL Character
  * Colonel Fitzwilliam / Georgiana Darcy


","eng","","","Paranormal","90","Adaptación de Orgullo y Prejuicio con viaje en el tiempo; romance central en Tierra reconocible con elemento fantástico.","",""
"Sugar Scars","Travis Norwood","Genero · Ciencia ficcion, Representacion · Protagonista femenina fuerte, Subgenero · Aventura/Quest, Subgenero · Distopia/Apocaliptico, virus","","1.0","Living after the apocalypse really isn't that hard for most of the survivors. The virus killed all but 1 in 10,000. The few remaining people are left in a world of virtually unlimited resources. Grocery stores overflowing with food and drink. Thousands of empty houses to pick from. But one survivor, a nineteen-year-old girl, requires more than simple food, water and shelter. 
As a type 1 diabetic her body desperately needs insulin to stay alive. With civilization gone, no one manufactures it anymore. She hoards all the insulin she can find, but every day marches toward the end of her stash of vials. She has a choice. Accept her fate and death, or tackle the almost insurmountable task of extracting and refining the insulin herself. Brilliant scientists struggled to make the first insulin. What hope does a high school dropout have?
","eng","","","Ciencia Ficción","90","Apocalipsis viral, supervivencia.","",""
"Forbidden Thoughts","Milo Yiannopoulos","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","You are not supposed to read this book.   
You are not supposed to think about reading this book.   
In fact, just plain thinking at all is unacceptable.   
You have been warned....
From hilarious to horrifying to dangerously insightful, a selection of stories that must not be told, for they slaughter the sacred cows of our age. 
Do you dare read them?
Stories by Nick Cole, John C. Wright, Sarah A. Hoyt, Brad R. Torgersen, Vox Day and more…
Non-fiction articles by Tom Kratman and Larry Corriea
","eng","","","No-Ficción","95","Antología que incluye artículos de no ficción y ensayos; el enfoque es político/satírico. Regla 2.","",""
"South of the Spire","Neil Mosspark","Genero · Ciencia ficcion, Subgenero · Distopia/Apocaliptico","","1.0","Three weeks after a southern exploration team left the Citadel to map the unknown lands to the south, their cartographer's journal was found stuffed into the hollow of a tree. It accounts the southern exploration team's journey, documenting the ruins of ancient man, and the threats encountered in the post-apocalyptic forest.... There are more than just wild things in the wilderness.
","eng","","","Ciencia Ficción","90","Post-apocalyptic exploration journal; no romance central.","",""
"The Choccolocco Valley","Buck Hunter","Genero · Ciencia ficcion, SHTF, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, Subgenero · Young adult/Juvenil","","1.0","<p><strong>THE CHOCCOLCCO VALLEY<br />Second book in the Survival Apocalypse Series.</strong></p><p>There are several more books in this thrilling series with the further adventures of Jed and much more. The world of the Survival Apocalypse gets larger and more dangerous.</p><p>In the Survival Apocalypse Series second book, The Choccolocco Valley, we find that Jed (Spoiler Alert) did indeed reach safety in the Choccolocco Valley, such as it is. That being said, he lands right in the middle of a war. How it comes about and what part he plays in it will be revealed in delightful and deadly ways. We&#39;ll also begin to learn what makes the Valley tick... Why it is an oasis in a scary and dangerous world.</p><p>And keep in mind that even though the main player Jed is but a lad, this is not necessarily a book of juvenile fiction.</p><p>In &quot;The Choccolocco Valley&quot; you will be introduced to a whole new cast of characters. Some of them long running in the series. Some not so...","eng","","","Ciencia Ficción","100","Post-apocalyptic survival with war, no romance.","Survival Apocalypse","1.0"
