title,authors,tags,series,series_index,comments,identifiers,#subtitle,#subjects,#clasificacion,#libreria,#clasificacion_ia,#confianza_ia,#libreria_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Claiming Starlight","Isoellen","Themes.Explicit Sex, Paranormal, Dystopia, Forced Proximity, Shapeshifters, Omegaverse, Paranormal Romance, _Biblioteca.Romance.Contemporaneo, Dark, Romance, Fantasy, Magic","","1.0","When Sophie’s younger brother Alexi doesn’t return from looking for work with his friends, she fears the worst.  Unable to bear the idea that something has happened, she sets out on her own to find her him. Now, everything has gone wrong and she’s alone in the worst part of town–shifter territory.  But the Alpha who comes to her rescue isn’t a hero, and he has no intention of taking her home…  Or ever letting her go.  Post-apocalyptic, paranormal erotic romance with shifters, creatures, adventures and plot. Trigger warnings for demanding alpha-holes and a professional virgin.","goodreads:60755124,amazon:B09VYFT4Q4","An Apocalypse Keys Story","","Dinamica · Proximidad forzada, Tono · Oscuro, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Omegaverse, Subgenero · Distopia, Subgenero · Apocaliptico/Postapocaliptico, Subgenero · Paranormal romance","Paranormal [REVISAR]","","","","","",""
"Redemption: Moon Fever Book Three","Olivia Concord","Paranormal Romance, Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","Redfern Shifters","3.0","**This is the third book in a rejected mate shifter romance trilogy by Olivia Concord, part of the REDFERN SHIFTERS universe.** **REDEMPTION: MOON FEVER BOOK THREE** **They’ll have to fight treachery, curses, and fate itself to stay together.** Stella knew it would be hard to live with the fated mate who’d rejected her, but she’d underestimated just how pleasurable it could be. Every day since returning to their pack, she’s fallen deeper in love with him. But soon she uncovers secrets that suggest their fate is more complicated than either suspected. Unless they destroy the hidden threats, their mate bond could be broken forever. She can’t let that happen. Just as Jasper realizes the depths of his feelings for Stella, the obstacles between them multiply. A rival pack is playing a long, violent game. Generations of bad luck might be an actual curse. And internal struggles continue threaten his young command as alpha. Confident he’ll win in the end, Jasper gathers his allies and launches a plan. He’ll do what’s right for his pack, his mate, and his heart. Whatever it takes. Both Stella and Jasper are prepared to do anything to stay together. But what if their biggest enemy is fate itself? **Redemption** *is a rejected-mate shifter romance filled with page-turning action, steamy love scenes, and a satisfying enemies-to-lovers romance.* *This is the third and last book in the Moon Fever trilogy. There will be other titles in the Redfern Shifters universe, but Stella and Jasper’s romance will be resolved in this book.*","isbn:9781939872326,goodreads:61713765,google:has6zwEACAAJ,amazon:B0B4BLX65X","","","Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Fated mates, Subgenero · Paranormal romance","Paranormal [REVISAR]","","","","","",""
"Shadows and Runes","Isla Davon","Themes.Explicit Sex, Paranormal, Shapeshifters, Booktok, Fae, Paranormal Romance, _Biblioteca.Romance.Contemporaneo, Why Choose, Fantasy, Romance, Magic, angels","","1.0","Another quiet day in the Fifth Sector library...   That is, until a group appears out of nowhere, talking about their Sectors being attacked.   Great! So there's an imminent attack heading my way.   And now I'm trapped with a group of whiny supes.   But I guess it's not all bad...   Especially when that group includes an arrogant Fae who knows he's attractive,   a possessive Shifter with a playful side, a Demon-hybrid with a soft spot...   and a Fallen Angel that embodies the word sin.","amazon:B0BGFMGYD9,goodreads:62815742","","","Dinamica · Harem inverso/Why choose, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Fae/Feerico, Paranormal · Angeles y demonios, Subgenero · Paranormal romance","Paranormal [REVISAR]","","","","","",""
"The Land of Jacob: An Mpreg Romance","Sarah Havan","_Biblioteca.Romance.Contemporaneo, Romance, Omegaverse","","1.0","As a Jacobian, omega Eli Miller has little say in his life. His parents have coupled him with Amos Kaufmann. Together they will have a child and wed, but Eli longs for Henry—the handsome farmer who brings his family bushels of corn.  Henry Schwartz is head over heels for Eli. Together they take part in many sinful acts in the barn, but when the high moon of Eli’s heat arises, he can hear Eli’s screams from the Miller’s house as the Ceremony of Copulation begins in cruelty and pain for his love.  Even though Eli is coupled with another, and mating has commenced, Henry can’t resist him. They’re caught in the midst of an unforgivable deed.  As Eli’s stomach grows, his family will do anything they can to keep him apart from Henry.  The Jacobians are a people of tradition that turned their backs on the outside world hundreds of years ago, but if Henry and Eli want to be together, they will have to buck the old ways and fight for what they believe in, fight for their love.","amazon:B0BNNZ5QW4,goodreads:63896986","","","Paranormal · Lobos/Shifters, Paranormal · Omegaverse","Romance contemporáneo [REVISAR]","","","","","",""
"Tasting Red: A Spicy Red Riding Hood Retelling","Holly Roberds","Themes.Explicit Sex, Paranormal, General, _Biblioteca.Romance.Contemporaneo, Fantasy, Fiction, Romance, Shifters","The Lost Girls","1.0","**I have a 6'5 scary wolf shifter following me around, saying it's his job to watch me.** *To grandmother’s house I go* , though I want nothing to do with magic or my former life. Especially not after being kicked out of the Fairy Fine Arts Academy. But when I find a dangerous, heavily scarred wolf shifter in my grandma’s bedroom, the fragile human lifestyle I've built from scratch is suddenly at stake. Magic, chaos, and my past is charging at me like a raging ogre on pixie sticks. My grandma is nowhere to be found, and I’m being hunted.  The big bad wolf is the only one I can trust to protect me until my grandmother resurfaces. Worst yet, I’m in heat. I’ve told the werewolf “no touchy,” but just my luck, he hasn’t been to obedience school. The longer we’re stuck together, the closer he is to killing me himself, or showing me just how really big and bad he is.... In this spicy, action-packed fairytale retelling, Red Riding Hood is more spicy than sweet, and the Big Bad wants a taste...","amazon:B0BSVNTC41,google:_Fy5zwEACAAJ,isbn:9781960961006","","","Dinamica · Proximidad forzada, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Fae/Feerico, Subgenero · Retelling de cuento","Paranormal [REVISAR]","","","","","",""
"A Court of Blood and Desire","Olivia Faye","Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","The Otherworld Realm","1.0","What will you do when the tales end in blood? Half human Kessia knows the tales of mates are all lies. Scorned by the Dark Fae Court, she's been groomed by her father to become queen. The Dark Fae prince covets her magic and is determined to soulbind her to him. If the ritual success, their souls will be intertwined and she will become a pure fae worthy of the throne. If the ritual fails, she'll be deformed or killed. When the prince gets everything he desires, the only option is to kill him. But when demons are involved nothing is simple. Prince of the demons, Merek has seen the consequences of the mate bond and soulbinding. When he learns his sister is to be soulbound to the demon general and turned into a monster, Merek will do anything to save her, even if it means striking a dangerous bargain with the very Fae he must kill. When he becomes ensnared by a sneaky dagger wielding half human, the tales from his youth haunt him. When their bargain awakens a centuries old bond their strength and magic are tested. Will Kessia and Merek follow the path to freedom or be consumed by blood within the Dark Fae's court?","amazon:B0BPMW3F15,goodreads:66124921","","","Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Fae/Feerico, Paranormal · Angeles y demonios","Romantasy [REVISAR]","","","","","",""
"Dark Hollow","Megan Motley","Themes.Explicit Sex, Paranormal, Werewolves, Witches, Shapeshifters, Slow Burn, Themes.Reverse Harem, Dark Romance, Why Choose, _Biblioteca.Romance.Contemporaneo","","1.0","Sunny Prescott is your average seventeen year old girl.  *Well,* if your average teenager was in the foster system, without friends or family, and often tossed and shipped around without notice.  Most of that changes when a new foster placement arises, and she finds herself plopped down in a quaint, green little town known as Forks. *Just kidding!* About the Forks part, anyway. Dark Hollow is the smallest, greenest place Sunny has ever seen. Trees, moss, jealous classmates. It's all so new to her.  The best part about all the newness is her new best friend, Cilla. And maybe the three guys who are mysteriously touchy and broody.  What happens, though, when things aren't quite what they seem? Cilla and the guys open a door for Sunny that she won't be able to forget about. Magick and shifters and queens, oh my!  Sunny has to battle through being rejected by mates she didn't know existed, class hierarchy that she wish didn't exist to begin with, and morbid visions foretelling a future she doesn't want.  Will Sunny make it in this new, scary world? *Read to find out.* ****Dark Hollow is a multi-POV why choose standalone romance with a HEA.** ****Due to mature scenes and content, 18+ is recommended. Please check trigger warning page for full disclosure.**","goodreads:85175026,amazon:B0BSJ8J5YV","","","Dinamica · Slow burn, Dinamica · Harem inverso/Why choose, Tono · Oscuro, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Brujas/Magos, Subgenero · Retelling de cuento","Paranormal [REVISAR]","","","","","",""
"The Alpha Triplets and the Rogue: Reverse Harem Werewolf Romance","Solange Daye","Themes.Explicit Sex, Themes.Reverse Harem, _Biblioteca.Romance.Contemporaneo","","1.0","""I was the first to kiss her,"" Bryce brags. ""I call her virginity,"" Ace yells out loudly. ""She will love me first,"" Chris responds angrily. Erica rolls her eyes and stomps her foot. ""I hate you! All of you!!"" *** Erica finds herself homeless and without a family after her parents are banished from the West Pack. She is forced to take the only option that is laid out before her. To go to the North Pack and live with the Alpha, Luna, and their Triplet sons. Being no stranger to the North Pack, Erica is aware of just how cruel Ace, Bryce, and Chris can be. But what she doesn't expect is to be stripped of her Beta status and considered a Rogue within the Pack. Shamed and tormented Erica becomes nothing more than a shell of the woman that she used to be. That is until the fateful night that she finds her mate. Will she accept the bond that has been given to her by the Moon Goddess or will she run as far away as she can get?","amazon:B0C2S7MJ9J,goodreads:142434377,isbn:9798890080189","","","Dinamica · Harem inverso/Why choose, Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Romantasy [REVISAR]","","","","","",""
"Saving the Alpha Gods","Maria Warren","Shapeshifters, Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","Academy Gods","3.0","**Against the Alpha God Trials, even my Alpha Gods must prove their worth** One by one, I've won their hearts—Elijah, Albedo, Sterling, and even Julian. But finding a happy ending at Silverton University? Not so easy.  The Dean and Inu are hell-bent on getting something from my men, even if it means putting me on the line.  Sterling, Albedo, Julian, and Elijah have to face these so-called Alpha God Trials, tests that could make or break them. But they're not going it alone. No way. They're a part of my life now, and I’m not losing them, not without a fight. I’m not a damsel in distress, and I’ll do whatever it takes to save them, even if I have to become an Alpha God myself.  So what if these Alpha God trials are meant to break us?  So what if no one has ever passed them?  We've got something no test can each other. But as the trials close in, the question looms—will our love be enough to conquer the impossible, or will we just be another failed chapter in Silverton University's twisted history?","goodreads:199119308,amazon:B0CJP9BBYZ","","","Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Romantasy [REVISAR]","","","","","",""
"Moonglow","Elyce de Reefe","English.Mystery / Thriller.Suspense Thriller, English.Romance.Contemporary Romance, _Biblioteca.Romance.Contemporaneo","The Rabbit River Saga","8.0","**The Thrilling Conclusion to the Rabbit River Saga   Wolf Shifter Romantic Fantasy Set in Present Day Upstate New York** **A fledgling pack struggles to survive during chaotic times, when mates are scarce and competition is fierce.** A surprise visit from the nearly defunct Council changes everything when Alpha Lucas Ardennes must refute their allegations and prove his fitness as a leader in order to protect his pack. But Lucas is uncomfortably aware that his greatest vulnerability lies in one area. Mari, the human who has captured his heart, still has no pack-bond.  Caught between duty and desire, Lucas knows Mari holds the key to their salvation, but can he convince her to accept him before it's too late?  Mari hates weakness. Her own, and the fact that she is Lucas’s greatest liability. She knows their connection is real, or at least she is beginning to believe so. But haunted by the trauma of her past, she is just not sure she can handle an Alpha like Lucas.  With time running out, can Mari find a way to face her fears before it’s too late? Because the fate of the entire pack just might hang in the balance.  If you enjoyed the suspenseful and captivating world of Patricia Briggs' Alpha & Omega series, you'll love this thrilling and romantic fantasy adventure! Don't miss this epic conclusion to the Rabbit River Saga. Get your copy today.  Author's This series is best enjoyed in order. It is one complete saga told over 8 separate books. Enjoy!","amazon:B0CHRJQSKJ,goodreads:198923261","","","Paranormal · Lobos/Shifters, Paranormal · Omegaverse","Paranormal [REVISAR]","","","","","",""
"Riding the Shifter Shadows","Colbie Clarke","Paranormal, Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","Shattered Realms","9.0","**Eris is no ordinary human. In fact, she’s not human.**   This beautiful, unaware mage knows only a life of privilege. Until the night I rescue her—twice—and lead her into my shadowed realm of shifters, magic, and rebellion.  Eris holds the key to finding the man who murdered my family. I hold the key to unlocking her hidden past to uncover the truth about her heritage and why so many want her dead.    The foes aligned against us are determined to keep their secrets.  As her courage rises, so does her magic and our passion. Her soft skin tempts the beast and the man in me.   No shifter can resist the lure of a mate, and Eris is mine, no matter how hard I fight the pull. She is the missing piece I never knew was missing.  I can’t replace her stolen past, but I will destroy anyone who dares attempt to steal her future.","amazon:B0CHVKFST3,goodreads:199217374","","Paranormal","Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Paranormal [REVISAR]","","","","","",""
"Black & White: The Gray Wolves MC Cascade of Lies Series","R. B. Cariad","Themes.Explicit Sex, Enemies to Lovers Romance, _Biblioteca.Romance.Contemporaneo","","1.0","**Black & White** **The Sunnyville chapter starts here!** One woman caught the eye of the cold-hearted Vice President of the Gray Wolves MC.One picture of her was enough to captivate him.They called her Dragon.No man has ever tamed her.His Prez promised to introduce them, only Zander fears he wants her for himself.Never gonnae happen! No one can claim her but me!B detested her nickname. Her fierce nature was undeniable, yet she was no dragon.She was a born survivor, keeping everyone at bay and placing no trust in others.Fearless and formidable, the MC’s future was at her mercy.There was only one Dragon despised criminals. **Tropes** Enemies to loversMC RomanceTwisted love triangleMorally gray menPossessive AlphaForbidden love **Editorial Review** **""You have a terrific story sense and you are a great storyteller! The plot sure is thickening!!!"" Kay Springsteen**","amazon:B0CK852PNM,goodreads:199274610","","","Dinamica · Enemigos a amantes, Dinamica · Prohibido, Dinamica · Triangulo amoroso, Dinamica · Posesivo/Celoso, Tono · Picante/Erotico, Tono · Morally grey/Antiheroe, Paranormal · Lobos/Shifters, Paranormal · Dragones","Romance contemporáneo [REVISAR]","","","","","",""
"Fight for Me: Wolf Valley Duet","Taylor Jade","Themes.Explicit Sex, Contemporary, _Biblioteca.Romance.Contemporaneo, Romance, Fiction","","1.0","I'm not interested in dating...until she shows up at my shop, needing my help. After getting burned by my first wife and my ex-best friend, I uprooted my entire life and moved to a small town in North Carolina.
I swore off women and dating. Any fun was only supposed to last a night. Nothing more.
But then she shows up on my shop step. Sweaty, disheveled, and so angry, she's the most stunning woman I've ever laid my eyes on.
There's pain in her eyes. She's running from something that hurt her. And that pain calls to something deep inside me.
I do my best to stay away. To keep my distance. To only fix her truck so she can be on her way out of this town and out of my life.
But fate keeps pulling us closer, and a man like me can only deny myself for so long.
Winnie may be what I need to heal and move on from my failed marriage...Or she may be what completely shatters me.
Tropes: Enemies to loversHe falls firstSecond Chance at loveOpposites attractBlue collar manSmall townSworn off relationshipsGrumpy MMC
","isbn:9798878752978,google:ZaCM0AEACAAJ,goodreads:200173055,amazon:B0CL9S6Q1B","","","Dinamica · Enemigos a amantes, Dinamica · Segunda oportunidad, Dinamica · Opuestos se atraen, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Ambientacion · Small town","Romance contemporáneo [REVISAR]","","","","","",""
"Pack Deception: Part Two","Wren White","Themes.Explicit Sex, Contemporary, Adult, Dark, M M Romance, Omegaverse, Polyamory, Why Choose, _Biblioteca.Romance.Contemporaneo, Romance, Fantasy","Passion Pack Series","2.0","They are my pack. My fated mates. Four people destined to love me no matter what.  That’s what the Goddess blessed me with. Mates to love me as much as I love them.  Maverick, Hudson, Mason, and Brooklyn.  Despite our bump in the road, life hasn’t been this great in as long as I can remember.  But everyone’s past catches up to them.  Can we survive it when my past catches up to me?  Or rather, when I invite—cough, provoke— my past into making a move.  But Pack Monroe needs to understand one thing…  I will never be theirs.","goodreads:201164656,amazon:B0CJJVCWV5","","","Dinamica · Harem inverso/Why choose, Dinamica · Poliamor/Trio, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Fated mates, Paranormal · Omegaverse","Paranormal [REVISAR]","","","","","",""
"Rough Heat","Marina Vivancos","Themes.Explicit Sex, Paranormal, Contemporary, M M Romance, LGBT, gay, Omegaverse, Polyamory, Novella, _Biblioteca.Romance.Contemporaneo, Romance, M M M, Fantasy","","1.0","Leo is used to taking Omegas through their heats, what with being a sex worker and an Alpha. When he gets hired by a couple to help with the Omega’s rougher-than-normal heats, he doesn’t think much of it.   It’s just another job, after all.   Omega Josh and Alpha Damon are obviously in love. They have everything Leo has ever wanted—safety, acceptance, tenderness. There is no way there’s space for Leo in what they have.   There’s no way Leo is good enough for either of them.   Falling in love with clients is a terrible idea, let alone two…Leo just doesn’t know how to stop.  Note: This was previously released through a giveaway. It now contains an extra chapter (5K)","amazon:B0CN43XGHZ,goodreads:201967503","","","Dinamica · Poliamor/Trio, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Omegaverse","Paranormal [REVISAR]","","","","","",""
